model_label,pooling,layer,metric,family,mean,ci95_low,ci95_high,exact_sign_flip_p,seed_units,scope
Qwen3-8B,span_end,13,accuracy_damage_specificity,retention,0.4000000059604645,0.30000000447034836,0.4999999985471368,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,13,relative_rms_specificity,deformation,1.007015024125576,0.9799367694184185,1.0313385470118372,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,13,cosine_specificity,deformation,0.5124678719017538,0.49460862397038,0.5285934158986493,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,14,correct_distance_specificity,retention,3.865955078601837,3.6029680556058885,4.055601646155119,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,14,margin_damage_specificity,retention,0.6515647329390049,0.5867299124598503,0.6965264763124288,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,14,accuracy_damage_specificity,retention,0.40000000447034834,0.29000000208616256,0.5000000044703483,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,14,relative_rms_specificity,deformation,0.9513765195384621,0.9235405905172229,0.9758657939825207,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,14,cosine_specificity,deformation,0.47584212422079875,0.45858949332352494,0.49218668299894486,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,15,correct_distance_specificity,retention,3.741576021909714,3.4922093018889426,3.9244931638240814,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,15,margin_damage_specificity,retention,0.539344547688961,0.47870149463415146,0.5798960894346237,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,15,accuracy_damage_specificity,retention,0.41000000610947607,0.31000000685453416,0.5000000059604645,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,15,relative_rms_specificity,deformation,1.0150693388655783,0.9858399683376775,1.0418906747456642,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,15,cosine_specificity,deformation,0.5022319066512864,0.4819836128296447,0.5198657682379416,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,16,correct_distance_specificity,retention,3.257852077484131,3.0262471255660057,3.4195608377456663,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,16,margin_damage_specificity,retention,0.5975771956145763,0.531871098279953,0.6421946481056512,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,16,accuracy_damage_specificity,retention,0.360000005364418,0.2700000017881393,0.4500000044703484,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,16,relative_rms_specificity,deformation,1.0417241532355548,1.0122272361814977,1.0684491190593688,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,16,cosine_specificity,deformation,0.5482298141345382,0.5294951925281202,0.5652625303989044,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,17,correct_distance_specificity,retention,3.0023698687553404,2.7923848961293696,3.1573279905319214,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,17,margin_damage_specificity,retention,0.5920676067471504,0.5238573151268066,0.6378216336481273,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,17,accuracy_damage_specificity,retention,0.39999999925494195,0.3000000022351742,0.4899999961256981,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,17,relative_rms_specificity,deformation,0.9214812308549881,0.8950749367196112,0.9461979230307044,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,17,cosine_specificity,deformation,0.4794042181572877,0.4599178593955003,0.49825928079735604,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,18,correct_distance_specificity,retention,2.943190670013428,2.734308879673481,3.0960759103298185,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,18,margin_damage_specificity,retention,0.5598208263516427,0.491331568043679,0.6073651395738124,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,18,accuracy_damage_specificity,retention,0.4100000008940697,0.29000000208616256,0.5300000019371509,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,18,relative_rms_specificity,deformation,0.9985515080392361,0.9703498584777116,1.0262169060483575,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,18,cosine_specificity,deformation,0.509173203149112,0.4914689163790899,0.5257647056538554,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,19,correct_distance_specificity,retention,2.7584161520004273,2.5587482333183287,2.9059093058109284,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,19,margin_damage_specificity,retention,0.3864911884069443,0.33045254390686746,0.42437763277441265,0.001953125,10,exploratory_layerwise_no_layer_selection
