model_label,mode_native,layer,occurrence,metric,value_native,quality_direction_native,quality_value_native,mode_nonthinking,value_nonthinking,quality_direction_nonthinking,quality_value_nonthinking,native_minus_nonthinking_quality
Qwen3-8B,native_thinking,0,6,silhouette_cosine,-0.2661837041378021,higher,-0.2661837041378021,non_thinking,-0.2044738233089447,higher,-0.2044738233089447,-0.06170988082885742
Qwen3-8B,native_thinking,0,6,within_trace,855.715576171875,lower,-855.715576171875,non_thinking,1930.889892578125,lower,-1930.889892578125,1075.17431640625
Qwen3-8B,native_thinking,0,6,class_nc1_ratio,37.20838171565671,lower,-37.20838171565671,non_thinking,7.750829195397821,lower,-7.750829195397821,-29.457552520258886
Qwen3-8B,native_thinking,0,6,centroid_nearest_squared,50.70792007446289,higher,50.70792007446289,non_thinking,180.08053588867188,higher,180.08053588867188,-129.37261581420898
Qwen3-8B,native_thinking,0,6,fisher_nearest,0.05925791406218126,higher,0.05925791406218126,non_thinking,0.09326297505666067,higher,0.09326297505666067,-0.03400506099447941
Qwen3-8B,native_thinking,0,6,min_bhattacharyya,0.6840870603919029,higher,0.6840870603919029,non_thinking,0.5283684432506561,higher,0.5283684432506561,0.1557186171412468
Qwen3-8B,native_thinking,0,6,mean_bhattacharyya,1.3268814691238933,higher,1.3268814691238933,non_thinking,1.5273832976818085,higher,1.5273832976818085,-0.2005018285579152
Qwen3-8B,native_thinking,0,6,nc2_class_cosine_deviation,0.2533620619847451,lower,-0.2533620619847451,non_thinking,0.695526806568658,lower,-0.695526806568658,0.44216474458391286
Qwen3-8B,native_thinking,0,7,logistic_precision,0.1111111111111111,higher,0.1111111111111111,non_thinking,0.36363636363636365,higher,0.36363636363636365,-0.25252525252525254
Qwen3-8B,native_thinking,0,7,logistic_recall,0.1111111111111111,higher,0.1111111111111111,non_thinking,0.4444444444444444,higher,0.4444444444444444,-0.3333333333333333
Qwen3-8B,native_thinking,0,7,logistic_f1,0.1111111111111111,higher,0.1111111111111111,non_thinking,0.4,higher,0.4,-0.2888888888888889
Qwen3-8B,native_thinking,0,7,ncc_recall,0.0,higher,0.0,non_thinking,0.0,higher,0.0,0.0
Qwen3-8B,native_thinking,0,7,silhouette_cosine,-0.2543381452560425,higher,-0.2543381452560425,non_thinking,-0.21279548108577728,higher,-0.21279548108577728,-0.0415426641702652
Qwen3-8B,native_thinking,0,7,within_trace,2617.90673828125,lower,-2617.90673828125,non_thinking,2037.72607421875,lower,-2037.72607421875,-580.1806640625
Qwen3-8B,native_thinking,0,7,class_nc1_ratio,21.40542237812381,lower,-21.40542237812381,non_thinking,6.171994780658016,lower,-6.171994780658016,-15.233427597465793
Qwen3-8B,native_thinking,0,7,centroid_nearest_squared,143.72900390625,higher,143.72900390625,non_thinking,180.08053588867188,higher,180.08053588867188,-36.351531982421875
Qwen3-8B,native_thinking,0,7,fisher_nearest,0.054902262866939736,higher,0.054902262866939736,non_thinking,0.08837327949376783,higher,0.08837327949376783,-0.033471016626828096
Qwen3-8B,native_thinking,0,7,min_bhattacharyya,0.7238576412200928,higher,0.7238576412200928,non_thinking,0.5283684432506561,higher,0.5283684432506561,0.19548919796943665
Qwen3-8B,native_thinking,0,7,mean_bhattacharyya,2.0329602145486407,higher,2.0329602145486407,non_thinking,1.5577739758623972,higher,1.5577739758623972,0.47518623868624355
Qwen3-8B,native_thinking,0,7,nc2_class_cosine_deviation,0.27187646391951004,lower,-0.27187646391951004,non_thinking,0.5631777533778438,lower,-0.5631777533778438,0.2913012894583338
Qwen3-8B,native_thinking,0,8,logistic_precision,0.1,higher,0.1,non_thinking,0.2,higher,0.2,-0.1
Qwen3-8B,native_thinking,0,8,logistic_recall,0.1111111111111111,higher,0.1111111111111111,non_thinking,0.2222222222222222,higher,0.2222222222222222,-0.1111111111111111
Qwen3-8B,native_thinking,0,8,logistic_f1,0.10526315789473684,higher,0.10526315789473684,non_thinking,0.21052631578947367,higher,0.21052631578947367,-0.10526315789473684
Qwen3-8B,native_thinking,0,8,ncc_recall,0.5555555555555556,higher,0.5555555555555556,non_thinking,0.2222222222222222,higher,0.2222222222222222,0.33333333333333337
Qwen3-8B,native_thinking,0,8,silhouette_cosine,-0.2174742966890335,higher,-0.2174742966890335,non_thinking,-0.058764178305864334,higher,-0.058764178305864334,-0.15871011838316917
Qwen3-8B,native_thinking,0,8,within_trace,798.2775268554688,lower,-798.2775268554688,non_thinking,1647.70849609375,lower,-1647.70849609375,849.4309692382812
Qwen3-8B,native_thinking,0,8,class_nc1_ratio,12.335910194041075,lower,-12.335910194041075,non_thinking,3.084103927120156,lower,-3.084103927120156,-9.25180626692092
Qwen3-8B,native_thinking,0,8,centroid_nearest_squared,45.88054275512695,higher,45.88054275512695,non_thinking,258.3720703125,higher,258.3720703125,-212.49152755737305
Qwen3-8B,native_thinking,0,8,fisher_nearest,0.05747442613830942,higher,0.05747442613830942,non_thinking,0.15680690542351816,higher,0.15680690542351816,-0.09933247928520875
Qwen3-8B,native_thinking,0,8,min_bhattacharyya,0.6840870603919029,higher,0.6840870603919029,non_thinking,0.5599231719970703,higher,0.5599231719970703,0.12416388839483261
Qwen3-8B,native_thinking,0,8,mean_bhattacharyya,1.4828096363279555,higher,1.4828096363279555,non_thinking,2.031393807795313,higher,2.031393807795313,-0.5485841714673574
Qwen3-8B,native_thinking,0,8,nc2_class_cosine_deviation,0.4001178585084868,lower,-0.4001178585084868,non_thinking,0.5617518012446386,lower,-0.5617518012446386,0.16163394273615184
Qwen3-8B,native_thinking,0,9,logistic_precision,0.0625,higher,0.0625,non_thinking,0.14285714285714285,higher,0.14285714285714285,-0.08035714285714285
Qwen3-8B,native_thinking,0,9,logistic_recall,0.1111111111111111,higher,0.1111111111111111,non_thinking,0.1111111111111111,higher,0.1111111111111111,0.0
Qwen3-8B,native_thinking,0,9,logistic_f1,0.08,higher,0.08,non_thinking,0.125,higher,0.125,-0.045
Qwen3-8B,native_thinking,0,9,ncc_recall,0.0,higher,0.0,non_thinking,0.1111111111111111,higher,0.1111111111111111,-0.1111111111111111
Qwen3-8B,native_thinking,0,9,silhouette_cosine,-0.27115464210510254,higher,-0.27115464210510254,non_thinking,-0.08181166648864746,higher,-0.08181166648864746,-0.18934297561645508
Qwen3-8B,native_thinking,0,9,within_trace,1402.044677734375,lower,-1402.044677734375,non_thinking,1411.202392578125,lower,-1411.202392578125,9.15771484375
Qwen3-8B,native_thinking,0,9,class_nc1_ratio,29.30131461774218,lower,-29.30131461774218,non_thinking,2.5844187059825248,lower,-2.5844187059825248,-26.716895911759654
Qwen3-8B,native_thinking,0,9,centroid_nearest_squared,52.21282196044922,higher,52.21282196044922,non_thinking,228.02830505371094,higher,228.02830505371094,-175.81548309326172
Qwen3-8B,native_thinking,0,9,fisher_nearest,0.037240483694729466,higher,0.037240483694729466,non_thinking,0.1615844093327578,higher,0.1615844093327578,-0.12434392563802835
Qwen3-8B,native_thinking,0,9,min_bhattacharyya,0.6151764392852783,higher,0.6151764392852783,non_thinking,0.6070717424154282,higher,0.6070717424154282,0.008104696869850159
Qwen3-8B,native_thinking,0,9,mean_bhattacharyya,1.1331452652812004,higher,1.1331452652812004,non_thinking,1.9597859498527315,higher,1.9597859498527315,-0.8266406845715311
Qwen3-8B,native_thinking,0,9,nc2_class_cosine_deviation,0.23332524642256308,lower,-0.23332524642256308,non_thinking,0.5854021136039569,lower,-0.5854021136039569,0.3520768671813938
Qwen3-8B,native_thinking,0,10,logistic_precision,0.0,higher,0.0,non_thinking,0.25,higher,0.25,-0.25
Qwen3-8B,native_thinking,0,10,logistic_recall,0.0,higher,0.0,non_thinking,0.3333333333333333,higher,0.3333333333333333,-0.3333333333333333
Qwen3-8B,native_thinking,0,10,logistic_f1,0.0,higher,0.0,non_thinking,0.2857142857142857,higher,0.2857142857142857,-0.2857142857142857
Qwen3-8B,native_thinking,0,10,ncc_recall,0.0,higher,0.0,non_thinking,0.4444444444444444,higher,0.4444444444444444,-0.4444444444444444
Qwen3-8B,native_thinking,0,10,silhouette_cosine,-0.22692102193832397,higher,-0.22692102193832397,non_thinking,-0.10285387188196182,higher,-0.10285387188196182,-0.12406715005636215
Qwen3-8B,native_thinking,0,10,within_trace,1651.2935791015625,lower,-1651.2935791015625,non_thinking,2406.32568359375,lower,-2406.32568359375,755.0321044921875
Qwen3-8B,native_thinking,0,10,class_nc1_ratio,18.721652486933987,lower,-18.721652486933987,non_thinking,3.986422090222811,lower,-3.986422090222811,-14.735230396711176
Qwen3-8B,native_thinking,0,10,centroid_nearest_squared,104.89664459228516,higher,104.89664459228516,non_thinking,211.57199096679688,higher,211.57199096679688,-106.67534637451172
Qwen3-8B,native_thinking,0,10,fisher_nearest,0.06352392204501724,higher,0.06352392204501724,non_thinking,0.0879232567766233,higher,0.0879232567766233,-0.024399334731606062
Qwen3-8B,native_thinking,0,10,min_bhattacharyya,0.8475297540426254,higher,0.8475297540426254,non_thinking,0.6070717424154282,higher,0.6070717424154282,0.24045801162719727
