model_label,seed,gold_count,patch_layer,normalized_recovery_full_minus_endpoint,expected_absolute_error_reduction_full_minus_endpoint,strict_absolute_error_reduction_full_minus_endpoint,clean_strict_correct
Gemma4-E4B,1234,5,0,1.0271115392830443,3.5430702327617416,10.0,True
Gemma4-E4B,1234,5,1,1.0374181009179029,3.5786232085914955,10.0,True
Gemma4-E4B,1234,5,2,1.0398419738954923,3.5869844740105243,10.0,True
Gemma4-E4B,1234,5,3,0.9948915585540268,3.4319258728212194,10.0,True
Gemma4-E4B,1234,5,4,1.145253134933423,3.6415255490942724,10.0,True
Gemma4-E4B,1234,5,5,0.9892513501789276,3.4124697050769286,10.0,True
Gemma4-E4B,1234,5,6,1.0066981774335633,3.472653367646999,10.0,True
Gemma4-E4B,1234,5,7,1.0677724845326593,3.6833321023250294,10.0,True
Gemma4-E4B,1234,5,8,1.1057281863589827,3.7424235372214243,10.0,True
Gemma4-E4B,1234,5,9,1.1592666511439056,3.449817450514904,10.0,True
Gemma4-E4B,1234,5,10,1.0416093494312757,3.5930811201988404,10.0,True
Gemma4-E4B,1234,5,11,0.8017877556909614,2.765805096654302,9.0,True
Gemma4-E4B,1234,5,12,0.7930912536782586,2.735806098267167,9.0,True
Gemma4-E4B,1234,5,13,0.8480477550436969,2.92538117033824,9.0,True
Gemma4-E4B,1234,5,14,0.7703942263520065,2.6575116201932887,9.0,True
Gemma4-E4B,1234,5,15,0.6765686563714398,2.3338558424555598,8.0,True
Gemma4-E4B,1234,5,16,0.832904230012658,2.873142858621863,9.0,True
Gemma4-E4B,1234,5,17,0.016137237529856505,0.05566617036641475,0.0,True
Gemma4-E4B,1234,5,18,0.04121397439808219,0.1421695699822232,0.0,True
Gemma4-E4B,1234,5,19,0.06045371487347202,0.20853797220268522,0.0,True
Gemma4-E4B,1234,5,20,-0.0018765256814634217,-0.006473164820684385,0.0,True
Gemma4-E4B,1234,5,21,-0.011083906292867318,-0.03823446329537994,0.0,True
Gemma4-E4B,1234,5,22,0.006570661394200554,0.02266580980250632,0.0,True
Gemma4-E4B,1234,5,23,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,24,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,25,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,26,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,27,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,28,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,29,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,30,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,31,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,32,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,33,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,34,0.0,0.0,0.0,True
