model_label,population,patch_layer,rows,seeds,mean_normalized_recovery_specificity,median_normalized_recovery_specificity,mean_expected_absolute_error_reduction_specificity,median_expected_absolute_error_reduction_specificity,mean_strict_absolute_error_reduction_specificity,median_strict_absolute_error_reduction_specificity
Gemma4-E4B,confirmation,19,100,10,0.4514496507742023,-0.07515435106178905,-0.10206146519295071,-0.1591908350578788,-0.01,0.0
Gemma4-E4B,confirmation,20,100,10,0.4874108004669459,-0.07722805327711474,-0.11738783845536499,-0.13392870378218147,0.0,0.0
Gemma4-E4B,confirmation,21,100,10,0.0063543524452330516,-0.03245238955094969,-0.10473615350845933,-0.11674836608981887,-0.01,0.0
Gemma4-E4B,confirmation,22,100,10,0.005976135455056037,-0.05444171589267757,-0.09900071411608961,-0.09343501683452415,0.0,0.0
Gemma4-E4B,confirmation,23,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,24,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,25,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,26,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,27,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,28,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,29,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,30,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,31,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,32,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,33,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,34,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,35,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,36,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,37,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,38,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,39,100,10,-0.000938210276967428,0.0,-0.0009347787015938835,0.0,0.0,0.0
Gemma4-E4B,confirmation,40,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,confirmation,41,100,10,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,confirmation,0,100,10,0.054702562755534465,0.0708623014531996,2.7034109688575088,2.7412563201549704,8.92,9.0
Qwen3-8B,confirmation,1,100,10,-0.00920657350829551,0.11861502410882502,2.6922264128942874,2.7904935240169833,8.87,9.0
Qwen3-8B,confirmation,2,100,10,-0.003907430707059523,0.137744740284636,2.6613136089528884,2.783492318037928,8.88,9.0
Qwen3-8B,confirmation,3,100,10,0.23777475516548885,0.21601598489582258,2.6587249088831033,2.7398820410377933,8.85,9.0
Qwen3-8B,confirmation,4,100,10,0.5760653990773682,0.1520704577652276,2.673268060037388,2.7262727892032332,8.87,9.0
Qwen3-8B,confirmation,5,100,10,0.04094052140624673,0.26031762747925125,2.661902174376954,2.6972190819960007,8.88,9.0
Qwen3-8B,confirmation,6,100,10,0.17087055869590576,0.2620086824089321,2.6525337763954115,2.6435194988119166,8.88,9.0
Qwen3-8B,confirmation,7,100,10,0.5960105650632105,0.4685105742546087,2.6843755544978434,2.79544135030324,8.86,9.0
Qwen3-8B,confirmation,8,100,10,0.6493766967979688,0.5073814781222159,2.6651054521848145,2.8061593329632024,8.81,9.0
Qwen3-8B,confirmation,9,100,10,0.3319631539310983,0.3880635117442013,2.5664339002017527,2.648970473409321,8.75,9.0
Qwen3-8B,confirmation,10,100,10,0.5950866617884738,0.480046501006548,2.5767798680451217,2.5654897486476584,8.71,9.0
Qwen3-8B,confirmation,11,100,10,0.48872583231164485,0.5049341784453616,2.5636589252982867,2.5777866554855167,8.68,9.0
Qwen3-8B,confirmation,12,100,10,0.5679091037824198,0.6343306510732419,2.5505829406760707,2.5923637104515236,8.63,9.0
Qwen3-8B,confirmation,13,100,10,0.9437127880606377,0.725402995591799,2.518968390463407,2.5518760048984888,8.69,9.0
Qwen3-8B,confirmation,14,100,10,0.8022226255306338,0.660787494775244,2.5366714195152307,2.565491194968588,8.72,9.0
Qwen3-8B,confirmation,15,100,10,0.49911566194278495,0.7150614424011799,2.4604386313490823,2.5421841307570934,8.64,9.0
Qwen3-8B,confirmation,16,100,10,0.7797624918318294,0.6775617045190874,2.3026846420567204,2.3424447132162354,8.4,9.0
