scope,feature_set,target,model,rows,groups,heldout_r2_log1p,heldout_mae_log1p,numeric_factors,categorical_factors,post_outcome_diagnostic,feature_order,incremental_r2
Gemma4-E4B/marker_end,plus_trace_form,count_axis_deviation_abs,hist_gradient_boosting,1323,10,0.6153197448842223,0.27764709981612695,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.14472709413326046
Gemma4-E4B/marker_end,plus_outcome_diagnostic,count_axis_deviation_abs,hist_gradient_boosting,1323,10,0.6153197448842223,0.27764709981612695,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/marker_end,count_only,noise_total_rms,elastic_net,1323,10,0.2472073648376394,0.10199126604673736,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/marker_end,plus_trace_position,noise_total_rms,elastic_net,1323,10,0.28517116554880384,0.09952347365900653,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.03796380071116445
Gemma4-E4B/marker_end,plus_trace_form,noise_total_rms,elastic_net,1323,10,0.6410559550233953,0.06429750473228205,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.35588478947459146
Gemma4-E4B/marker_end,plus_outcome_diagnostic,noise_total_rms,elastic_net,1323,10,0.6410559550233953,0.06429750473228205,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/marker_end,count_only,noise_total_rms,hist_gradient_boosting,1323,10,0.28578892694777314,0.0965545955489473,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/marker_end,plus_trace_position,noise_total_rms,hist_gradient_boosting,1323,10,0.5048257810378147,0.07170329120504712,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.2190368540900416
Gemma4-E4B/marker_end,plus_trace_form,noise_total_rms,hist_gradient_boosting,1323,10,0.846019139995006,0.034082271069654654,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.3411933589571913
Gemma4-E4B/marker_end,plus_outcome_diagnostic,noise_total_rms,hist_gradient_boosting,1323,10,0.846019139995006,0.034082271069654654,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
