scheme,held_out,converged,model_label,log_kappa,kappa,tau,query_last_log_neff_effect
length,L=5000,True,Gemma4-E4B,0.009601168516013866,1.0096474075990498,0.7388962673960087,0.0
length,L=5000,True,Llama3.1-8B,-0.9932102433371427,0.3703857520501887,0.7388962673960087,0.0
length,L=5000,True,Llama3.2-3B,-0.7135038598676091,0.48992455953283776,0.7388962673960087,0.0
length,L=5000,True,OLMo-Hybrid-7B,-0.9020351956918002,0.40574305235988717,0.7388962673960087,0.0
length,L=5000,True,Qwen3-1.7B,0.19998739763195816,1.221387365690075,0.7388962673960087,0.0
length,L=5000,True,Qwen3-32B,0.6398599543538238,1.8962153040115142,0.7388962673960087,0.0
length,L=5000,True,Qwen3-8B,-2.164962752581655,0.11475420881569909,0.7388962673960087,0.0
length,L=10000,True,Gemma4-12B,-0.4666605887158138,0.6270928967012797,0.6379598312285554,0.0
length,L=10000,True,Gemma4-E4B,0.5294632957836154,1.698020729131322,0.6379598312285554,0.0
length,L=10000,True,Llama3.1-8B,-0.5891867391129392,0.5547782807976843,0.6379598312285554,0.0
length,L=10000,True,Llama3.2-3B,-0.7592556411997874,0.4680146682225445,0.6379598312285554,0.0
length,L=10000,True,OLMo-Hybrid-7B,-0.6875164965031432,0.502823283076653,0.6379598312285554,0.0
length,L=10000,True,Qwen3-1.7B,0.3946560350901271,1.483873702646527,0.6379598312285554,0.0
length,L=10000,True,Qwen3-32B,-9.724414575014647,5.980540149911727e-05,0.6379598312285554,0.0
length,L=10000,True,Qwen3-8B,-1.0505157975199333,0.3497572986299888,0.6379598312285554,0.0
needle,N=1,True,Gemma4-12B,-0.16675816945289573,0.8464042729978807,0.7338810421838777,0.0
needle,N=1,True,Gemma4-E4B,0.3602235543986587,1.4336498774748045,0.7338810421838777,0.0
needle,N=1,True,Llama3.1-8B,-0.9839033128332899,0.3738489975984315,0.7338810421838777,0.0
needle,N=1,True,Llama3.2-3B,-0.7236549790915549,0.48497643391480805,0.7338810421838777,0.0
needle,N=1,True,OLMo-Hybrid-7B,-0.8517764064930816,0.42665634326878604,0.7338810421838777,0.0
needle,N=1,True,Qwen3-1.7B,0.25380821003433485,1.2889245777602667,0.7338810421838777,0.0
needle,N=1,True,Qwen3-32B,0.2695299648447153,1.3093488660737786,0.7338810421838777,0.0
needle,N=1,True,Qwen3-8B,-1.5642416374402903,0.20924663783405725,0.7338810421838777,0.0
needle,N=2,True,Gemma4-12B,-0.2278844344957631,0.7962162696534549,0.7698927156312222,0.0
needle,N=2,True,Gemma4-E4B,0.26780065866184183,1.3070865576598887,0.7698927156312222,0.0
needle,N=2,True,Llama3.1-8B,-0.9555681420266842,0.38459357869538335,0.7698927156312222,0.0
needle,N=2,True,Llama3.2-3B,-0.8022606717117402,0.4483143261525689,0.7698927156312222,0.0
needle,N=2,True,OLMo-Hybrid-7B,-1.0392452466860544,0.3537215537498338,0.7698927156312222,0.0
needle,N=2,True,Qwen3-1.7B,0.13766613656003024,1.147592347180274,0.7698927156312222,0.0
needle,N=2,True,Qwen3-32B,0.20072054994871916,1.2222831570025066,0.7698927156312222,0.0
needle,N=2,True,Qwen3-8B,-1.528964988962158,0.21675990014347396,0.7698927156312222,0.0
needle,N=3,True,Gemma4-12B,-0.14190507291411183,0.8677036211527039,0.7384814397216426,0.0
needle,N=3,True,Gemma4-E4B,0.3390096486214972,1.4035568875365512,0.7384814397216426,0.0
needle,N=3,True,Llama3.1-8B,-0.8964111142628715,0.4080314132578052,0.7384814397216426,0.0
needle,N=3,True,Llama3.2-3B,-0.6927757466665285,0.5001857514417635,0.7384814397216426,0.0
needle,N=3,True,OLMo-Hybrid-7B,-0.9316111236138803,0.3939185473723228,0.7384814397216426,0.0
needle,N=3,True,Qwen3-1.7B,0.24096723091176261,1.2724793366373566,0.7384814397216426,0.0
needle,N=3,True,Qwen3-32B,0.2879571301084883,1.3337001273180442,0.7384814397216426,0.0
needle,N=3,True,Qwen3-8B,-1.5208594259521468,0.2185240010291088,0.7384814397216426,0.0
needle,N=4,True,Gemma4-12B,-0.2041014455841708,0.8153796503265822,0.7539739895289359,0.0
needle,N=4,True,Gemma4-E4B,0.18328127790714685,1.2011522181514351,0.7539739895289359,0.0
needle,N=4,True,Llama3.1-8B,-0.918855246251939,0.3989755084719971,0.7539739895289359,0.0
needle,N=4,True,Llama3.2-3B,-0.7420920627025828,0.47611680666428713,0.7539739895289359,0.0
needle,N=4,True,OLMo-Hybrid-7B,-0.974232470523111,0.37748197094369423,0.7539739895289359,0.0
needle,N=4,True,Qwen3-1.7B,0.21422427332010482,1.2389004759613733,0.7539739895289359,0.0
needle,N=4,True,Qwen3-32B,0.26327601610983753,1.3011858176384934,0.7539739895289359,0.0
needle,N=4,True,Qwen3-8B,-1.6000358752114259,0.20188927504430818,0.7539739895289359,0.0
needle,N=5,True,Gemma4-12B,-0.22697158038460563,0.7969434307941015,0.7495862972060705,0.0
