mode,target,candidate,link,term,estimate,kind
direct,log1p_relative_error,log_burden,identity,Llama3.2-3B::query_last,-0.5439590043701071,continuous
direct,log1p_relative_error,log_burden,identity,Llama3.2-3B::log_burden,-0.0120263506481839,continuous
direct,log1p_relative_error,log_burden,identity,OLMo-Hybrid-7B::intercept,0.11155151179287147,continuous
direct,log1p_relative_error,log_burden,identity,OLMo-Hybrid-7B::query_last,0.022895507258374928,continuous
direct,log1p_relative_error,log_burden,identity,OLMo-Hybrid-7B::log_burden,0.02700601821779512,continuous
direct,log1p_relative_error,log_burden,identity,Qwen3-1.7B::intercept,0.43099230211485606,continuous
direct,log1p_relative_error,log_burden,identity,Qwen3-1.7B::query_last,-0.15865818947392105,continuous
direct,log1p_relative_error,log_burden,identity,Qwen3-1.7B::log_burden,0.10206660317985475,continuous
direct,log1p_relative_error,log_burden,identity,Qwen3-32B::intercept,0.061526560786421707,continuous
direct,log1p_relative_error,log_burden,identity,Qwen3-32B::query_last,0.06018799547259252,continuous
direct,log1p_relative_error,log_burden,identity,Qwen3-32B::log_burden,0.06764504544229268,continuous
direct,log1p_relative_error,log_burden,identity,Qwen3-8B::intercept,0.12835921280515636,continuous
direct,log1p_relative_error,log_burden,identity,Qwen3-8B::query_last,0.03817734330957501,continuous
direct,log1p_relative_error,log_burden,identity,Qwen3-8B::log_burden,0.08173684549345417,continuous
direct,signed_relative_error,intercept_only,identity,Gemma4-12B::intercept,0.0,continuous
direct,signed_relative_error,intercept_only,identity,Gemma4-12B::query_last,0.0,continuous
direct,signed_relative_error,intercept_only,identity,Gemma4-E4B::intercept,-0.11201199570502508,continuous
direct,signed_relative_error,intercept_only,identity,Gemma4-E4B::query_last,0.06899555892130026,continuous
direct,signed_relative_error,intercept_only,identity,Llama3.1-8B::intercept,-0.5148147405581407,continuous
direct,signed_relative_error,intercept_only,identity,Llama3.1-8B::query_last,0.5544813702593827,continuous
direct,signed_relative_error,intercept_only,identity,Llama3.2-3B::intercept,1.3243475959443887,continuous
direct,signed_relative_error,intercept_only,identity,Llama3.2-3B::query_last,-1.322291952236036,continuous
direct,signed_relative_error,intercept_only,identity,OLMo-Hybrid-7B::intercept,-0.031222218203704393,continuous
direct,signed_relative_error,intercept_only,identity,OLMo-Hybrid-7B::query_last,0.029055549600001083,continuous
direct,signed_relative_error,intercept_only,identity,Qwen3-1.7B::intercept,-0.5765554630666828,continuous
direct,signed_relative_error,intercept_only,identity,Qwen3-1.7B::query_last,0.810777631237063,continuous
direct,signed_relative_error,intercept_only,identity,Qwen3-32B::intercept,0.06486486578778052,continuous
direct,signed_relative_error,intercept_only,identity,Qwen3-32B::query_last,0.0785240178661738,continuous
direct,signed_relative_error,intercept_only,identity,Qwen3-8B::intercept,-0.14178078944403347,continuous
direct,signed_relative_error,intercept_only,identity,Qwen3-8B::query_last,0.33233632284383413,continuous
direct,asinh_signed_error,exponential_separable,identity,Gemma4-12B::intercept,0.0,continuous
direct,asinh_signed_error,exponential_separable,identity,Gemma4-12B::query_last,0.0,continuous
direct,asinh_signed_error,exponential_separable,identity,Gemma4-12B::raw_L,0.0,continuous
direct,asinh_signed_error,exponential_separable,identity,Gemma4-12B::raw_N,0.0,continuous
direct,asinh_signed_error,exponential_separable,identity,Gemma4-E4B::intercept,-0.4218683997002317,continuous
direct,asinh_signed_error,exponential_separable,identity,Gemma4-E4B::query_last,0.314064664402248,continuous
direct,asinh_signed_error,exponential_separable,identity,Gemma4-E4B::raw_L,-0.2972021272897649,continuous
direct,asinh_signed_error,exponential_separable,identity,Gemma4-E4B::raw_N,-0.4323182769466125,continuous
direct,asinh_signed_error,exponential_separable,identity,Llama3.1-8B::intercept,-1.395721404361603,continuous
direct,asinh_signed_error,exponential_separable,identity,Llama3.1-8B::query_last,1.7762437365930421,continuous
direct,asinh_signed_error,exponential_separable,identity,Llama3.1-8B::raw_L,-0.23012245176585308,continuous
direct,asinh_signed_error,exponential_separable,identity,Llama3.1-8B::raw_N,-0.22888244125403867,continuous
