draw,sampled_seeds,converged,model_label,log_kappa,kappa,tau,query_last_log_neff_effect
116,"1236,1235,1237,1238,1236",True,Qwen3-32B,-0.5224660688354482,0.5930562256767037,0.7264298789535354,0.0
116,"1236,1235,1237,1238,1236",True,Qwen3-8B,-1.2606101242095145,0.28348101509566664,0.7264298789535354,0.0
117,"1234,1235,1235,1237,1235",True,Gemma4-12B,-0.46415010566658427,0.6286691805778362,0.7568516240513762,0.0
117,"1234,1235,1235,1237,1235",True,Gemma4-E4B,-0.09982569724245967,0.9049951474389846,0.7568516240513762,0.0
117,"1234,1235,1235,1237,1235",True,Llama3.1-8B,-0.39584816573191817,0.6731088891744996,0.7568516240513762,0.0
117,"1234,1235,1235,1237,1235",True,Llama3.2-3B,-0.66161337092371,0.5160181338882959,0.7568516240513762,0.0
117,"1234,1235,1235,1237,1235",True,OLMo-Hybrid-7B,-0.9991696263279345,0.3681850454391942,0.7568516240513762,0.0
117,"1234,1235,1235,1237,1235",True,Qwen3-1.7B,-0.02229660853715887,0.9779501236729843,0.7568516240513762,0.0
117,"1234,1235,1235,1237,1235",True,Qwen3-32B,0.3630464294511366,1.4377026094346639,0.7568516240513762,0.0
117,"1234,1235,1235,1237,1235",True,Qwen3-8B,-1.4049835244613347,0.24537109904065393,0.7568516240513762,0.0
118,"1238,1237,1237,1235,1234",True,Gemma4-12B,-0.31587511930044,0.7291505013069283,0.6974811343602254,0.0
118,"1238,1237,1237,1235,1234",True,Gemma4-E4B,0.024430855970692535,1.024731734576486,0.6974811343602254,0.0
118,"1238,1237,1237,1235,1234",True,Llama3.1-8B,-0.831398634293345,0.435439839132316,0.6974811343602254,0.0
118,"1238,1237,1237,1235,1234",True,Llama3.2-3B,-0.6617404147772409,0.5159525811202013,0.6974811343602254,0.0
118,"1238,1237,1237,1235,1234",True,OLMo-Hybrid-7B,-0.8489507665077433,0.4278636253613325,0.6974811343602254,0.0
118,"1238,1237,1237,1235,1234",True,Qwen3-1.7B,0.1118918928511795,1.1183919479446431,0.6974811343602254,0.0
118,"1238,1237,1237,1235,1234",True,Qwen3-32B,0.3200052197801149,1.377134952658838,0.6974811343602254,0.0
118,"1238,1237,1237,1235,1234",True,Qwen3-8B,-1.3584599546887404,0.25705635070225274,0.6974811343602254,0.0
119,"1235,1235,1235,1235,1236",True,Gemma4-12B,-0.39716257317228504,0.6722247310416999,0.788707287488014,0.0
119,"1235,1235,1235,1235,1236",True,Gemma4-E4B,0.2829679505259208,1.3270626294762464,0.788707287488014,0.0
119,"1235,1235,1235,1235,1236",True,Llama3.1-8B,-0.04096541513554558,0.9598623260821961,0.788707287488014,0.0
119,"1235,1235,1235,1235,1236",True,Llama3.2-3B,-0.6486110638558625,0.5227713687931058,0.788707287488014,0.0
119,"1235,1235,1235,1235,1236",True,OLMo-Hybrid-7B,-1.0071709880789312,0.36525081826040956,0.788707287488014,0.0
119,"1235,1235,1235,1235,1236",True,Qwen3-1.7B,0.21735427944129035,1.2427843170871085,0.788707287488014,0.0
119,"1235,1235,1235,1235,1236",True,Qwen3-32B,0.02423993578086941,1.0245361112740161,0.788707287488014,0.0
119,"1235,1235,1235,1235,1236",True,Qwen3-8B,-1.388050450212262,0.24956136298247236,0.788707287488014,0.0
120,"1234,1236,1238,1234,1235",True,Gemma4-12B,-0.09981619122067173,0.9050037503834639,0.8218216818077732,0.0
120,"1234,1236,1238,1234,1235",True,Gemma4-E4B,0.034166045436611794,1.0347564090439545,0.8218216818077732,0.0
120,"1234,1236,1238,1234,1235",True,Llama3.1-8B,-1.198365419909759,0.3016869405668058,0.8218216818077732,0.0
120,"1234,1236,1238,1234,1235",True,Llama3.2-3B,-0.9033229738571177,0.4052208816085377,0.8218216818077732,0.0
120,"1234,1236,1238,1234,1235",True,OLMo-Hybrid-7B,-1.170995370257128,0.3100581649422313,0.8218216818077732,0.0
120,"1234,1236,1238,1234,1235",True,Qwen3-1.7B,0.07292641809074811,1.0756513855200478,0.8218216818077732,0.0
120,"1234,1236,1238,1234,1235",True,Qwen3-32B,0.5353146791473814,1.7079856251584447,0.8218216818077732,0.0
120,"1234,1236,1238,1234,1235",True,Qwen3-8B,-1.8746538824363852,0.1534080548792416,0.8218216818077732,0.0
121,"1234,1237,1238,1236,1235",True,Gemma4-12B,-0.23279456076616523,0.7923163296652144,0.7474684310931273,0.0
121,"1234,1237,1238,1236,1235",True,Gemma4-E4B,0.24243827370294194,1.2743525856693798,0.7474684310931273,0.0
121,"1234,1237,1238,1236,1235",True,Llama3.1-8B,-0.8941886893581232,0.4089392408482123,0.7474684310931273,0.0
121,"1234,1237,1238,1236,1235",True,Llama3.2-3B,-0.7627085824570695,0.466401427880555,0.7474684310931273,0.0
121,"1234,1237,1238,1236,1235",True,OLMo-Hybrid-7B,-0.9282981959255933,0.3952257351485459,0.7474684310931273,0.0
