scheme,fold,candidate,link,n_rows,rmse,nrmse,mae,r2,mode,target,direction
cell,cell_fold=4,log_density,identity,16,0.07257272956441703,0.9360238418492572,0.06422791293852675,-0.13193409720923155,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1234,log_burden,identity,24,0.060652390966921835,0.7822784722436175,0.04940483828124548,0.08099368017028186,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1235,log_burden,identity,33,0.08287960317727118,1.0689591674800119,0.06601664539509997,-0.010710757082424527,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1236,log_burden,identity,36,0.07286589059569598,0.9398049551741274,0.06104765328719085,0.21251555485664986,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1237,log_burden,identity,19,0.08353019865252759,1.0773503755811034,0.07302211230688296,-0.3861995245543304,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1238,log_burden,identity,33,0.07512059217601082,0.9688854989003572,0.06311052641967323,-0.10383070616433687,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=0,log_burden,identity,34,0.06338643382835017,0.817541432839073,0.05335230360522089,0.3036416039761164,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=1,log_burden,identity,27,0.07231133440165906,0.9326524362819862,0.06037293567560024,0.003180281719378786,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=2,log_burden,identity,36,0.0819866084965609,1.057441558637045,0.06662377069933408,0.16349686650878337,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=3,log_burden,identity,32,0.0651791881674153,0.8406639034146656,0.05098056637060877,0.12725407628975693,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=4,log_burden,identity,16,0.07947596673446193,1.0250599662431534,0.07329074420476839,-0.357518839304946,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1234,power_separable,identity,24,0.06968576186960168,0.8987884972616299,0.055778440806649066,-0.21313952169721184,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1235,power_separable,identity,33,0.08201738330613767,1.057838483978907,0.06495923142963081,0.010209273178986455,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1236,power_separable,identity,36,0.07086825706740311,0.9140400070871207,0.059644503836242424,0.2551017858961755,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1237,power_separable,identity,19,0.0904990484892798,1.1672327547697958,0.07839899349354265,-0.6271468250780237,native_thinking,under_log1p_relative_magnitude,under
seed,seed=1238,power_separable,identity,33,0.07599240090736971,0.9801298569806186,0.061710777706250976,-0.12960029488656266,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=0,power_separable,identity,34,0.06206889516739039,0.800548168197954,0.05263094754007696,0.3322894952830706,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=1,power_separable,identity,27,0.06973292850978494,0.8993968400925588,0.057560742547478415,0.07300012198426864,native_thinking,under_log1p_relative_magnitude,under
cell,cell_fold=2,power_separable,identity,36,0.08245921765757774,1.0635371464045613,0.06621348410105125,0.153825079592268,native_thinking,under_log1p_relative_magnitude,under
