mode,target,model_label,candidate,link,intercept,query_last,length_order_log,needle_order_log,log_interaction,density_order,burden_order,raw_length_order,raw_needle_order
enumeration,exact_correct,Llama3.2-3B,log_burden,logistic,-2.7939466265298623,-1.1431079088049247,,,,,0.22553971955280516,,
enumeration,exact_correct,OLMo-Hybrid-7B,log_burden,logistic,-0.31794355664730994,-0.16977326083886254,,,,,-0.8940631455806467,,
enumeration,exact_correct,Qwen3-1.7B,log_burden,logistic,-2.4511641803752173,1.4934053290609848,,,,,-1.3900835670590757,,
enumeration,exact_correct,Qwen3-32B,log_burden,logistic,0.056732002165662584,4.457192358346677,,,,,-0.5268937948431337,,
enumeration,exact_correct,Qwen3-8B,log_burden,logistic,-0.8028755282488126,4.0585243912568165,,,,,-0.5863142433473549,,
enumeration,exact_given_parsed,Gemma4-12B,log_burden,logistic,15.805345832764084,-12.936388303096791,,,,,-2.1357156233115573,,
enumeration,exact_given_parsed,Gemma4-E4B,log_burden,logistic,3.3747459935908783,-2.048582406094571,,,,,-0.7322465760557976,,
enumeration,exact_given_parsed,Llama3.1-8B,log_burden,logistic,1.264462336459556,-0.4195604145713317,,,,,-0.3494342630108121,,
enumeration,exact_given_parsed,Llama3.2-3B,log_burden,logistic,-2.028959767683336,0.09209658315524206,,,,,0.521041971616469,,
enumeration,exact_given_parsed,OLMo-Hybrid-7B,log_burden,logistic,-0.19803595334888963,-0.18866336021393176,,,,,-0.9678877690166526,,
enumeration,exact_given_parsed,Qwen3-1.7B,log_burden,logistic,-2.3854709920044495,1.5641930418607288,,,,,-1.3622919808781049,,
enumeration,exact_given_parsed,Qwen3-32B,log_burden,logistic,0.0567320021656627,4.457192358346679,,,,,-0.5268937948431337,,
enumeration,exact_given_parsed,Qwen3-8B,log_burden,logistic,-0.8111465801293883,4.258722159841462,,,,,-0.6258260146457233,,
enumeration,list_length_exact,Gemma4-12B,power_interaction,logistic,16.628133490539206,-14.128581562914858,-1.2072143348285038,-1.9297301687806148,-1.8474956721788514,,,,
enumeration,list_length_exact,Gemma4-E4B,power_interaction,logistic,5.489606655770028,-4.115856716798259,-0.8559772423169802,-0.7353023568248382,-0.2571446584729041,,,,
enumeration,list_length_exact,Llama3.1-8B,power_interaction,logistic,2.294421113257043,-0.8669081022232302,-0.17150110146212508,-0.42713362708533337,-0.962203693777913,,,,
enumeration,list_length_exact,Llama3.2-3B,power_interaction,logistic,0.013797928902149008,-0.8089422608324692,-1.2934287407385412,-0.42231256219969493,-0.6886397942635406,,,,
enumeration,list_length_exact,OLMo-Hybrid-7B,power_interaction,logistic,-0.515117903167861,-0.46430898095479445,-0.5435018467064866,-0.6937956308528307,-0.5661140929824424,,,,
enumeration,list_length_exact,Qwen3-1.7B,power_interaction,logistic,0.054923489104924915,0.5104275811473464,0.23187348679387,-1.6112448793703666,-0.04905563042462897,,,,
enumeration,list_length_exact,Qwen3-32B,power_interaction,logistic,13.358122399867616,9.064466089805981e-05,-7.326083613367173,-0.5827186909739163,-5.200837476860402,,,,
enumeration,list_length_exact,Qwen3-8B,power_interaction,logistic,3.64885976599693,-2.7012025207333106,-0.6898958118864629,-0.06323016990574545,0.016004408949871828,,,,
