candidate,link,complexity,description,selection_score,selection_se,seed_rmse,seed_nrmse,seed_mae,seed_r2,cell_rmse,cell_nrmse,cell_mae,cell_r2,mode,target,direction,selected_one_se
intercept_only,identity,0,Model and query-order baselines only,0.8906205545038979,0.04729977920037823,1.0396437996630994,0.8738298965576948,0.7087375143554553,0.23642131188196858,1.0795973501076426,0.9074112124501008,0.722853349686895,0.17660489151983805,enumeration,over_log1p_relative_magnitude,over,False
log_density,identity,1,log(N/L) density coordinate,0.7899708861972465,0.040412506942022086,0.9132285525689251,0.7675767526179968,0.6011280290413197,0.41082592884041047,0.9665156333067421,0.8123650197764961,0.6123818562237736,0.340063074643533,enumeration,over_log1p_relative_magnitude,over,False
log_burden,identity,1,log(N×L) burden coordinate,0.8386018769580816,0.04534868717654819,0.9754785264444297,0.8198984114880623,0.6573949027033319,0.327766594839352,1.0199836228818908,0.857305342428101,0.674611449275721,0.2650275498442364,enumeration,over_log1p_relative_magnitude,over,False
power_separable,identity,2,separate log L and log N orders,0.7414653848666575,0.03405314287254925,0.885969613697365,0.7446653711023983,0.5768584519210795,0.44547348508092743,0.8783552121711623,0.7382653986309166,0.5764403825434326,0.4549642011843338,enumeration,over_log1p_relative_magnitude,over,False
power_interaction,identity,3,power surface plus log L × log N,0.7547653019978985,0.029618156405397975,0.9002877425752495,0.7566998862703009,0.5857372096829446,0.4274052821185137,0.8956843785757982,0.752830717725496,0.5809187245396905,0.4332459104489146,enumeration,over_log1p_relative_magnitude,over,False
power_quadratic,identity,5,quadratic response surface in log coordinates,0.7495705571684934,0.03180370464746722,0.909584432946128,0.7645138375368272,0.5626332766856732,0.41551859221471377,0.874026737237236,0.7346272768001596,0.5487776769554582,0.46032276418118157,enumeration,over_log1p_relative_magnitude,over,False
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.7433485991924866,0.028050872938881737,0.9075821245020453,0.762830879411038,0.5569220070655686,0.41808904941698233,0.8612238300277874,0.7238663189739353,0.5422617736101112,0.4760175522551251,enumeration,over_log1p_relative_magnitude,over,False
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,0.8025314719468352,0.04934717434071255,0.9910134942048038,0.8329556906018067,0.5903996738578426,0.30618481749406723,0.9186187400110231,0.7721072532918636,0.5627757048977821,0.403850389414094,enumeration,over_log1p_relative_magnitude,over,False
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",0.7692931694843308,0.039574000211795066,0.8986505518550607,0.7553238128515671,0.5714982582804304,0.4294859377393708,0.931890785602491,0.7832625261170943,0.5746713654998928,0.3864998151806681,enumeration,over_log1p_relative_magnitude,over,False
root_separable,identity,2,separate square-root L and N coordinates,0.7281835123247213,0.03141999921585789,0.8947945863601076,0.7520828394232864,0.5718972388967103,0.4343714026450073,0.8379258815194442,0.7042841852261562,0.5522522653132924,0.5039837864403292,enumeration,over_log1p_relative_magnitude,over,True
inverse_separable,identity,2,separate inverse L and N coordinates,0.8539093154211248,0.051719697257030926,0.9963391366726494,0.8374319406484947,0.6396064975823887,0.29870774478169615,1.035547226449786,0.8703866901937549,0.6525740706095045,0.24242700953356056,enumeration,over_log1p_relative_magnitude,over,False
logL_rawN,identity,2,log length plus raw/scaled needle count,0.8503746927585195,0.06847720280132259,1.1021545339838799,0.926370726910335,0.6030006083724183,0.14183727632361764,0.921321156650003,0.7743786586067041,0.5671066181862713,0.40033769309448175,enumeration,over_log1p_relative_magnitude,over,False
rawL_logN,identity,2,raw/scaled length plus log needle count,0.7338354018700818,0.03256230185922767,0.8715597746535776,0.7325537727211775,0.5721297307244705,0.4633649700719694,0.8746094249422087,0.7351170310189861,0.5726520679010909,0.4596029507058311,enumeration,over_log1p_relative_magnitude,over,False
intercept_only,identity,0,Model and query-order baselines only,0.9666375219044737,0.03018091607183819,0.07659950502566884,0.9879601250802698,0.06434097237976176,0.02393479125137765,0.073293094558967,0.9453149187286777,0.06071536829823868,0.10637970442899358,native_thinking,under_log1p_relative_magnitude,under,True
log_density,identity,1,log(N/L) density coordinate,0.969023332645276,0.030818974737952275,0.07705031284631828,0.9937745249347691,0.06408650875846943,0.012412193590673692,0.07321224483114146,0.9442721403557827,0.06036162802894834,0.10835012494790908,native_thinking,under_log1p_relative_magnitude,under,False
log_burden,identity,1,log(N×L) burden coordinate,0.952298224375262,0.034307024938726075,0.07542513129796503,0.9728133638247703,0.06228998924694519,0.0536341591639351,0.07224393098942579,0.9317830849257536,0.059631264566417375,0.13178028264624575,native_thinking,under_log1p_relative_magnitude,under,False
power_separable,identity,2,separate log L and log N orders,0.9645709335192457,0.03332523834493344,0.07725984529524982,0.9964770189572228,0.06314190272638424,0.0070335506901263445,0.07231229672560045,0.9326648480812686,0.059265096855933015,0.13013628115354425,native_thinking,under_log1p_relative_magnitude,under,False
power_interaction,identity,3,power surface plus log L × log N,1.0134230930381554,0.04083769119828863,0.08254446659478996,1.064636664614802,0.06550744986428744,-0.13345122764213047,0.07460298366692572,0.9622095214615088,0.061257621984295844,0.07415283680881413,native_thinking,under_log1p_relative_magnitude,under,False
power_quadratic,identity,5,quadratic response surface in log coordinates,1.0726834409340626,0.0477727426104667,0.08905083951577056,1.1485541390511813,0.06929426875682321,-0.3191766103316005,0.07728587497076721,0.9968127428169442,0.06213905817320097,0.006364355757760731,native_thinking,under_log1p_relative_magnitude,under,False
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.9748764387737905,0.0373443460447595,0.079429685665229,1.0244630452717596,0.06413791321044297,-0.049524531127487226,0.07174048968003995,0.9252898322758215,0.05808220796163725,0.14383872628698213,native_thinking,under_log1p_relative_magnitude,under,False
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,1.0226863365358159,0.03694890368978028,0.08177975217038999,1.0547735805370693,0.06496555215802843,-0.11254730619898923,0.07680411206966391,0.9905990925345625,0.06121425477254954,0.018713437869701255,native_thinking,under_log1p_relative_magnitude,under,False
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",1.0556987936744902,0.03693849366258303,0.08525364087909158,1.0995788768900112,0.06697463477971283,-0.2090737065026984,0.07844933254828523,1.0118187104589689,0.06255256382202307,-0.023777102834851016,native_thinking,under_log1p_relative_magnitude,under,False
