scheme,fold,candidate,link,n_rows,rmse,nrmse,mae,r2,mode,target,kind
cell,cell_fold=2,exponential_interaction,identity,402,0.6044195909079413,0.6767440595191899,0.42378542790093454,0.5410650338858745,direct,log1p_absolute_error,continuous
cell,cell_fold=3,exponential_interaction,identity,404,0.5036467251918657,0.5639127759871075,0.40341387125379874,0.6472395688366726,direct,log1p_absolute_error,continuous
cell,cell_fold=4,exponential_interaction,identity,403,0.5434041578678991,0.6084275580854557,0.42581074352499876,0.6526106379138619,direct,log1p_absolute_error,continuous
seed,seed=1234,root_separable,identity,405,0.5251638125220426,0.5880045844723005,0.3761395946652221,0.6510232951703403,direct,log1p_absolute_error,continuous
seed,seed=1235,root_separable,identity,407,0.5602441016709604,0.6272825589867989,0.41516853463232356,0.6296166986905308,direct,log1p_absolute_error,continuous
seed,seed=1236,root_separable,identity,403,0.5070161637584639,0.5676853994562358,0.40272154228839796,0.6670330665163475,direct,log1p_absolute_error,continuous
seed,seed=1237,root_separable,identity,399,0.5214295395373792,0.5838234707277945,0.3866868936796551,0.6519332854001171,direct,log1p_absolute_error,continuous
seed,seed=1238,root_separable,identity,399,0.4584920204640359,0.5133548876532792,0.345770173216279,0.7327943910001908,direct,log1p_absolute_error,continuous
cell,cell_fold=0,root_separable,identity,405,0.48123845811663407,0.5388231497483178,0.3699299048836885,0.5373547830811323,direct,log1p_absolute_error,continuous
cell,cell_fold=1,root_separable,identity,399,0.5272115593281712,0.5902973633750579,0.4066014608933063,0.7155126168964867,direct,log1p_absolute_error,continuous
cell,cell_fold=2,root_separable,identity,402,0.5626722095673535,0.6300012127489765,0.3863680960939289,0.6022730550934687,direct,log1p_absolute_error,continuous
cell,cell_fold=3,root_separable,identity,404,0.4925183873586022,0.5514528282384404,0.37618399448425294,0.6626561993984545,direct,log1p_absolute_error,continuous
cell,cell_fold=4,root_separable,identity,403,0.5099583412174425,0.57097963602197,0.3825400467695268,0.6940573666299279,direct,log1p_absolute_error,continuous
seed,seed=1234,inverse_separable,identity,405,0.6610335115378377,0.7401323663323767,0.5330283121934614,0.44709081273776907,direct,log1p_absolute_error,continuous
seed,seed=1235,inverse_separable,identity,407,0.6833961823632384,0.7651709403027197,0.5471072375714799,0.4488854090659222,direct,log1p_absolute_error,continuous
seed,seed=1236,inverse_separable,identity,403,0.6265254265314185,0.701495065548666,0.5146595654932543,0.49156563329774716,direct,log1p_absolute_error,continuous
seed,seed=1237,inverse_separable,identity,399,0.6728070482657175,0.7533147170701394,0.5472461358215587,0.42050152515255135,direct,log1p_absolute_error,continuous
seed,seed=1238,inverse_separable,identity,399,0.6544034293546067,0.7327089326794641,0.5341404989416326,0.45565637626682454,direct,log1p_absolute_error,continuous
cell,cell_fold=0,inverse_separable,identity,405,0.6208153256026901,0.6951016975293285,0.5061744382420831,0.23006815596804153,direct,log1p_absolute_error,continuous
cell,cell_fold=1,inverse_separable,identity,399,0.7728986509498582,0.865383218063788,0.6276046365794407,0.3885819419224391,direct,log1p_absolute_error,continuous
cell,cell_fold=2,inverse_separable,identity,402,0.6693172681917061,0.7494073521044077,0.5375866094752801,0.43722066468813137,direct,log1p_absolute_error,continuous
cell,cell_fold=3,inverse_separable,identity,404,0.6314853430027174,0.7070484825095901,0.5042605151986416,0.44543253683098394,direct,log1p_absolute_error,continuous
cell,cell_fold=4,inverse_separable,identity,403,0.6908098455781596,0.7734717178014061,0.5785222062721008,0.438580312471904,direct,log1p_absolute_error,continuous
seed,seed=1234,logL_rawN,identity,405,0.5499615112983989,0.6157695603087662,0.40970925376765016,0.6172885585160894,direct,log1p_absolute_error,continuous
seed,seed=1235,logL_rawN,identity,407,0.5825909370909954,0.6523034026971165,0.44430869553722613,0.5994799504422159,direct,log1p_absolute_error,continuous
seed,seed=1236,logL_rawN,identity,403,0.5297169734907131,0.5931025738226354,0.4285834803050895,0.6365494966203193,direct,log1p_absolute_error,continuous
seed,seed=1237,logL_rawN,identity,399,0.5376584993066538,0.6019943776296279,0.41133087486493947,0.6299296733458671,direct,log1p_absolute_error,continuous
seed,seed=1238,logL_rawN,identity,399,0.4870979253757385,0.545383757179307,0.3777971532978322,0.6984116462224197,direct,log1p_absolute_error,continuous
