request_id,stimulus_id,model_label,seed,target_passage_tokens,num_needles,query_order,observed_all_pairs_found,predicted_probability,predicted_neff,selected_candidate
Qwen3-8B/enumeration/query_first/T2000_N6_seed1238,T2000_N6_seed1238,Qwen3-8B,1238,2000,6,query_first,1.0,0.9987248603890848,0.7775112995951377,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N8_seed1234,T2000_N8_seed1234,Qwen3-8B,1234,2000,8,query_first,1.0,0.9964135762500819,1.0757517546044337,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N8_seed1235,T2000_N8_seed1235,Qwen3-8B,1235,2000,8,query_first,0.0,0.9964135762500819,1.0757517546044337,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N8_seed1236,T2000_N8_seed1236,Qwen3-8B,1236,2000,8,query_first,1.0,0.9964135762500819,1.0757517546044337,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N8_seed1237,T2000_N8_seed1237,Qwen3-8B,1237,2000,8,query_first,1.0,0.9964135762500819,1.0757517546044337,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T2000_N8_seed1238,T2000_N8_seed1238,Qwen3-8B,1238,2000,8,query_first,1.0,0.9964135762500819,1.0757517546044337,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N10_seed1234,T5000_N10_seed1234,Qwen3-8B,1234,5000,10,query_first,1.0,0.9950364167715996,1.2670684918756918,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N10_seed1235,T5000_N10_seed1235,Qwen3-8B,1235,5000,10,query_first,1.0,0.9950364167715996,1.2670684918756918,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N10_seed1236,T5000_N10_seed1236,Qwen3-8B,1236,5000,10,query_first,1.0,0.9950364167715996,1.2670684918756918,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N10_seed1237,T5000_N10_seed1237,Qwen3-8B,1237,5000,10,query_first,1.0,0.9950364167715996,1.2670684918756918,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N10_seed1238,T5000_N10_seed1238,Qwen3-8B,1238,5000,10,query_first,1.0,0.9950364167715996,1.2670684918756918,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N1_seed1234,T5000_N1_seed1234,Qwen3-8B,1234,5000,1,query_first,1.0,0.9989522410201558,0.17654274938393855,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N1_seed1235,T5000_N1_seed1235,Qwen3-8B,1235,5000,1,query_first,1.0,0.9989522410201558,0.17654274938393855,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N1_seed1236,T5000_N1_seed1236,Qwen3-8B,1236,5000,1,query_first,1.0,0.9989522410201558,0.17654274938393855,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N1_seed1237,T5000_N1_seed1237,Qwen3-8B,1237,5000,1,query_first,1.0,0.9989522410201558,0.17654274938393855,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N1_seed1238,T5000_N1_seed1238,Qwen3-8B,1238,5000,1,query_first,1.0,0.9989522410201558,0.17654274938393855,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N20_seed1234,T5000_N20_seed1234,Qwen3-8B,1234,5000,20,query_first,1.0,0.9924288601431411,2.1909624119212827,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N20_seed1235,T5000_N20_seed1235,Qwen3-8B,1235,5000,20,query_first,1.0,0.9924288601431411,2.1909624119212827,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N20_seed1236,T5000_N20_seed1236,Qwen3-8B,1236,5000,20,query_first,1.0,0.9924288601431411,2.1909624119212827,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N20_seed1237,T5000_N20_seed1237,Qwen3-8B,1237,5000,20,query_first,1.0,0.9924288601431411,2.1909624119212827,model_scale_shared_order
