mode,target,kind,candidate,link,formula,n_rows,n_trials,converged_full,seed_log_loss,seed_brier,seed_cell_r2,seed_cell_rmse,seed_fold_log_loss_sd,cell_log_loss,cell_brier,cell_cell_r2,cell_cell_rmse,cell_fold_log_loss_sd,length_log_loss,length_brier,length_cell_r2,length_cell_rmse,length_fold_log_loss_sd,needle_log_loss,needle_brier,needle_cell_r2,needle_cell_rmse,needle_fold_log_loss_sd,seed_rmse,seed_mae,seed_r2,cell_rmse,cell_mae,cell_r2,length_rmse,length_mae,length_r2,needle_rmse,needle_mae,needle_r2
enumeration,pair_recall_continuous,continuous,exponential_separable,identity,E[target] = model-specific exponential_separable surface plus query-order nuisance,2400,,,,,,,,,,,,,,,,,,,,,,,0.2839414534938256,0.18102560012856442,0.3189806953096892,0.27984777491287555,0.17799995667720905,0.3384761036157582,0.32700073982544264,0.21625763475349236,0.0967680508022235,0.2814572852996033,0.1793746510913891,0.3308448732879431
native_thinking,exact_correct,binary,root_separable,logistic,logit(p) = model-specific root_separable surface plus query-order nuisance,1500,1500.0,True,0.32875923664571344,0.09369896672216159,0.8906973182179909,0.08936221434154318,0.06568537532173324,0.2965371211245116,0.08782623676397582,0.8566991739515627,0.1023205485806385,0.036612477029729806,0.8847929454102841,0.17007514583466243,-0.22276359179865723,0.29888888331004326,0.8559024452294608,0.2954056517747716,0.08852983180422921,0.8471202144314454,0.10568504713093162,0.08076572777532363,,,,,,,,,,,,
native_thinking,parse_success,binary,log_burden,survival_loglog,p = exp[-exp(a_m + b_m log[(N/5)(L/5000)] + o_m I(query-last))],1500,1500.0,True,0.1710547651515584,0.04429714758298572,0.8205684388629086,0.08325839035538175,0.08594672303094743,0.14782131288865144,0.04089640749838072,0.8023290042631116,0.08738765138656171,0.02842560316979756,0.2096094094489875,0.05058471459915286,0.5690778951434701,0.1290262213532135,0.10150636093022886,0.15078037762536636,0.041183314723171466,0.7934296996080389,0.08933312634620506,0.05284949654512866,,,,,,,,,,,,
native_thinking,truncated,binary,log_burden,logistic,logit(p) = a_m + b_m log[(N/5)(L/5000)] + o_m I(query-last),1500,1500.0,True,0.17205157057622875,0.044244559680757474,0.8237541778577747,0.08251596975102132,0.08889605147691972,0.14710731062628005,0.04083184604739977,0.8038580983995673,0.08704899936808519,0.027153597636637616,0.20644484255427592,0.049375068353629425,0.6033899860094143,0.12378283646256845,0.10192532661843706,0.14938523992669625,0.041100770500060745,0.7964399861896119,0.08867982519016043,0.05081979530360988,,,,,,,,,,,,
native_thinking,exact_given_parsed,binary,log_burden,survival_loglog,p = exp[-exp(a_m + b_m log[(N/5)(L/5000)] + o_m I(query-last))],1376,1376.0,True,0.2831812429832796,0.07119222511998775,0.6922981916185886,0.12388073155988136,0.07403058753567965,0.2486591105118981,0.06994294068385905,0.6674470597940579,0.12878614188492488,0.031971559422250065,0.4232157884904131,0.08299962579174336,0.43466453794713533,0.16791591150255325,0.1930766126948588,0.25358348495557453,0.07206690120795463,0.6243762696314292,0.13687219995255895,0.08703584885780015,,,,,,,,,,,,
native_thinking,within_one,binary,log_density,logistic,logit(p) = a_m + d_m log[(N/5)/(L/5000)] + o_m I(query-last),1376,1376.0,True,0.16769090231679226,0.04080689827367253,0.7003455843586641,0.10264687048531851,0.044569256775035454,0.1863397573444637,0.04216971831032961,0.6398161128381881,0.11253756462907237,0.11783433370690022,0.25907372802130135,0.05736990489170957,0.2659180540968308,0.16065995602331376,0.09469849370388117,0.17066151975793142,0.04244067639281864,0.6337152458443123,0.11348665446818494,0.09669958160272195,,,,,,,,,,,,
native_thinking,undercount,binary,inverse_separable,logistic,logit(p) = model-specific inverse_separable surface plus query-order nuisance,1376,1376.0,True,0.19978957767282052,0.04884917708390637,0.9099704403728202,0.06551670615308876,0.10571872556334748,0.17211691991079267,0.04775038668550858,0.8614185667160149,0.08128530069398186,0.041249466705535226,1.5453641461494945,0.12154447993231232,-1.1437274247507583,0.3197012057629509,2.0390092407576015,0.17062036688243365,0.047439085642647136,0.8685329630784977,0.0791713279733645,0.12931605277276323,,,,,,,,,,,,
native_thinking,overcount,binary,intercept_only,logistic,logit(p) = a_m + o_m I(query-last),1376,1376.0,True,0.12520046951982614,0.019228577384362885,0.050442785365131027,0.05203326968319511,0.0636525106286938,0.11143925160010545,0.019028371861909962,-0.0023051149782209457,0.05345896194906351,0.029192734459652255,0.1589772401510524,0.020263223286065588,-0.26827109894392875,0.06013490042124621,0.11863265472866978,0.11455905449299048,0.01924203697362444,-0.033697119741408654,0.05428966993098781,0.08540476816941396,,,,,,,,,,,,
native_thinking,log1p_absolute_error,continuous,logL_rawN,identity,E[target] = model-specific logL_rawN surface plus query-order nuisance,1376,,,,,,,,,,,,,,,,,,,,,,,0.29689095348270994,0.15032791636590812,0.5615364142385377,0.2909641218909174,0.14627723533154316,0.5788677669819304,0.3015588218384661,0.1660345899796415,0.5476405388795982,0.2950629230580977,0.15003950301710278,0.5669192470474272
native_thinking,log1p_relative_error,continuous,intercept_only,identity,E[target] = a_m + o_m I(query-last),1376,,,,,,,,,,,,,,,,,,,,,,,0.10457303356410642,0.04183546278158876,0.06954481072595264,0.10399101977194485,0.04128616323690095,0.07987310929395652,0.10655923146652121,0.04334862468183187,0.03386412643585812,0.10465599452718302,0.04178463753687944,0.06806790840928523
native_thinking,signed_relative_error,continuous,intercept_only,identity,E[target] = a_m + o_m I(query-last),1376,,,,,,,,,,,,,,,,,,,,,,,0.18002331860046186,0.050604611534591455,-0.00032238407679230363,0.17936109164644418,0.049472785382630564,0.007023575729199649,0.18255316612579947,0.052262097533334,-0.02863476816414834,0.18080777572961593,0.05035319099107523,-0.00905924917572154
native_thinking,asinh_signed_error,continuous,exponential_separable,identity,E[target] = model-specific exponential_separable surface plus query-order nuisance,1376,,,,,,,,,,,,,,,,,,,,,,,0.4183580077920716,0.18015113297987073,0.4991936055149071,0.4118543632581208,0.1753401060351896,0.5146432926732181,0.4154551531080548,0.19003485943720716,0.5061193702467306,0.41563845195812077,0.17878172256260513,0.5056834737546438
native_thinking,signed_log_count_ratio,continuous,log_density,identity,E[target] = a_m + d_m log[(N/5)/(L/5000)] + o_m I(query-last),1376,,,,,,,,,,,,,,,,,,,,,,,0.10092680214753383,0.03919184130364898,0.1613707469299378,0.09910510641086667,0.037971124698378246,0.1913714962577493,0.102197052754037,0.04102163302710316,0.14012816399255112,0.09930163541335695,0.0378760831995488,0.1881612373720808
native_thinking,log1p_output_tokens,continuous,logL_rawN,identity,E[target] = model-specific logL_rawN surface plus query-order nuisance,1500,,,,,,,,,,,,,,,,,,,,,,,0.48517781039565183,0.330107228114734,0.653864399652256,0.4583910562386703,0.3155603686830579,0.6910297390665672,0.4888418286132693,0.34786134273683955,0.6486166906223528,0.47029576332419704,0.3274292883294146,0.6747730385673657
