candidate,link,complexity,description,selection_score,selection_se,seed_rmse,seed_nrmse,seed_mae,seed_r2,cell_rmse,cell_nrmse,cell_mae,cell_r2,mode,target,kind
inverse_separable,identity,2,separate inverse L and N coordinates,0.8434945185715255,0.03167622395453908,0.3749850941187678,0.8363418049142192,0.200279328746249,0.300532385352826,0.38139912481346605,0.8506472322288317,0.20319067421609688,0.27639928630142807,native_thinking,log1p_absolute_error,continuous
logL_rawN,identity,2,log length plus raw/scaled needle count,0.655556424077814,0.03677828828542678,0.29689095348270994,0.6621658295030499,0.15032791636590812,0.5615364142385377,0.2909641218909174,0.6489470186525781,0.14627723533154316,0.5788677669819304,native_thinking,log1p_absolute_error,continuous
rawL_logN,identity,2,raw/scaled length plus log needle count,0.7207120320322289,0.02684689712351038,0.3237379204023956,0.7220435183025165,0.16983927335167134,0.4786531576773235,0.32254394085611937,0.7193805457619412,0.16934000528766494,0.4824916303792516,native_thinking,log1p_absolute_error,continuous
intercept_only,identity,0,Model and query-order baselines only,0.9619167503038568,0.07977556598340568,0.10457303356410642,0.9646010518727663,0.04183546278158876,0.06954481072595264,0.10399101977194485,0.9592324487349474,0.04128616323690095,0.07987310929395652,native_thinking,log1p_relative_error,continuous
log_density,identity,1,log(N/L) density coordinate,0.954497813549182,0.07739737839071746,0.10393602615710958,0.958725177434609,0.040983936307731235,0.0808460341529772,0.10301944356657604,0.9502704496637548,0.04015982792572885,0.0969860724958449,native_thinking,log1p_relative_error,continuous
log_burden,identity,1,log(N×L) burden coordinate,0.9521324565111007,0.0793918056331664,0.10346165205321747,0.9543494627402944,0.040526773226860054,0.08921710296731133,0.10298095785043343,0.9499154502819068,0.039992821720571496,0.09766063731572217,native_thinking,log1p_relative_error,continuous
power_separable,identity,2,separate log L and log N orders,0.9495237587225052,0.07644416042604145,0.10346985639278866,0.9544251410897747,0.04117900694489811,0.08907265005576337,0.10240713222965847,0.9446223763552357,0.0401852694871647,0.10768856608898736,native_thinking,log1p_relative_error,continuous
power_interaction,identity,3,power surface plus log L × log N,0.9547848208183295,0.0740633698930518,0.10380167184197205,0.9574858683193593,0.04128178708180033,0.08322081196872233,0.10321602717481135,0.9520837733172997,0.040730951187129265,0.09353648858589281,native_thinking,log1p_relative_error,continuous
power_quadratic,identity,5,quadratic response surface in log coordinates,0.9408944808895783,0.07715765547560165,0.1026885887870634,0.9472185838293438,0.04151888945440962,0.10277695444833246,0.10131738848057607,0.9345703779498127,0.04092633131325762,0.12657820865874425,native_thinking,log1p_relative_error,continuous
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.9441466799602822,0.07758758653984407,0.10292868173690077,0.9494332457174718,0.04179811214833956,0.09857651192638672,0.10178244160520669,0.9388601142030927,0.04071371757492898,0.11854168595855574,native_thinking,log1p_relative_error,continuous
