request_id,model_label,seed,target_passage_tokens,num_needles,query_order,exact_correct,mode,p_parse_oof,p_exact_given_parse_oof,p_exact_product_oof
Qwen3-8B/direct/query_first/T2000_N30_seed1234,Qwen3-8B,1234,2000,30,query_first,0,direct,0.999999999,0.0022572997362384876,0.002257299733981188
Qwen3-8B/direct/query_first/T2000_N30_seed1235,Qwen3-8B,1235,2000,30,query_first,0,direct,0.999999999,0.0022572997362384876,0.002257299733981188
Qwen3-8B/direct/query_first/T2000_N30_seed1236,Qwen3-8B,1236,2000,30,query_first,0,direct,0.999999999,0.0022572997362384876,0.002257299733981188
Qwen3-8B/direct/query_first/T2000_N30_seed1237,Qwen3-8B,1237,2000,30,query_first,0,direct,0.999999999,0.0022572997362384876,0.002257299733981188
Qwen3-8B/direct/query_first/T2000_N30_seed1238,Qwen3-8B,1238,2000,30,query_first,0,direct,0.999999999,0.0022572997362384876,0.002257299733981188
Qwen3-8B/direct/query_first/T2000_N3_seed1234,Qwen3-8B,1234,2000,3,query_first,1,direct,0.999999999,0.8351682175525244,0.8351682167173562
Qwen3-8B/direct/query_first/T2000_N3_seed1235,Qwen3-8B,1235,2000,3,query_first,1,direct,0.999999999,0.8351682175525244,0.8351682167173562
Qwen3-8B/direct/query_first/T2000_N3_seed1236,Qwen3-8B,1236,2000,3,query_first,1,direct,0.999999999,0.8351682175525244,0.8351682167173562
Qwen3-8B/direct/query_first/T2000_N3_seed1237,Qwen3-8B,1237,2000,3,query_first,1,direct,0.999999999,0.8351682175525244,0.8351682167173562
Qwen3-8B/direct/query_first/T2000_N3_seed1238,Qwen3-8B,1238,2000,3,query_first,1,direct,0.999999999,0.8351682175525244,0.8351682167173562
Qwen3-8B/direct/query_first/T2000_N4_seed1234,Qwen3-8B,1234,2000,4,query_first,1,direct,0.999999999,0.7233808693376791,0.7233808686142983
Qwen3-8B/direct/query_first/T2000_N4_seed1235,Qwen3-8B,1235,2000,4,query_first,1,direct,0.999999999,0.7233808693376791,0.7233808686142983
Qwen3-8B/direct/query_first/T2000_N4_seed1236,Qwen3-8B,1236,2000,4,query_first,1,direct,0.999999999,0.7233808693376791,0.7233808686142983
Qwen3-8B/direct/query_first/T2000_N4_seed1237,Qwen3-8B,1237,2000,4,query_first,0,direct,0.999999999,0.7233808693376791,0.7233808686142983
Qwen3-8B/direct/query_first/T2000_N4_seed1238,Qwen3-8B,1238,2000,4,query_first,1,direct,0.999999999,0.7233808693376791,0.7233808686142983
Qwen3-8B/direct/query_first/T2000_N5_seed1234,Qwen3-8B,1234,2000,5,query_first,0,direct,0.999999999,0.626654192647159,0.6266541920205049
Qwen3-8B/direct/query_first/T2000_N5_seed1235,Qwen3-8B,1235,2000,5,query_first,0,direct,0.999999999,0.626654192647159,0.6266541920205049
Qwen3-8B/direct/query_first/T2000_N5_seed1236,Qwen3-8B,1236,2000,5,query_first,0,direct,0.999999999,0.626654192647159,0.6266541920205049
Qwen3-8B/direct/query_first/T2000_N5_seed1237,Qwen3-8B,1237,2000,5,query_first,0,direct,0.999999999,0.626654192647159,0.6266541920205049
Qwen3-8B/direct/query_first/T2000_N5_seed1238,Qwen3-8B,1238,2000,5,query_first,1,direct,0.999999999,0.626654192647159,0.6266541920205049
Qwen3-8B/direct/query_first/T2000_N6_seed1234,Qwen3-8B,1234,2000,6,query_first,1,direct,0.999999999,0.4565503636054328,0.4565503631488824
Qwen3-8B/direct/query_first/T2000_N6_seed1235,Qwen3-8B,1235,2000,6,query_first,0,direct,0.999999999,0.4565503636054328,0.4565503631488824
Qwen3-8B/direct/query_first/T2000_N6_seed1236,Qwen3-8B,1236,2000,6,query_first,0,direct,0.999999999,0.4565503636054328,0.4565503631488824
Qwen3-8B/direct/query_first/T2000_N6_seed1237,Qwen3-8B,1237,2000,6,query_first,0,direct,0.999999999,0.4565503636054328,0.4565503631488824
Qwen3-8B/direct/query_first/T2000_N6_seed1238,Qwen3-8B,1238,2000,6,query_first,0,direct,0.999999999,0.4565503636054328,0.4565503631488824
Qwen3-8B/direct/query_first/T2000_N8_seed1234,Qwen3-8B,1234,2000,8,query_first,0,direct,0.999999999,0.1484337906655651,0.14843379051713132
Qwen3-8B/direct/query_first/T2000_N8_seed1235,Qwen3-8B,1235,2000,8,query_first,1,direct,0.999999999,0.1484337906655651,0.14843379051713132
Qwen3-8B/direct/query_first/T2000_N8_seed1236,Qwen3-8B,1236,2000,8,query_first,1,direct,0.999999999,0.1484337906655651,0.14843379051713132
Qwen3-8B/direct/query_first/T2000_N8_seed1237,Qwen3-8B,1237,2000,8,query_first,1,direct,0.999999999,0.1484337906655651,0.14843379051713132
Qwen3-8B/direct/query_first/T2000_N8_seed1238,Qwen3-8B,1238,2000,8,query_first,1,direct,0.999999999,0.1484337906655651,0.14843379051713132
Qwen3-8B/direct/query_first/T5000_N10_seed1234,Qwen3-8B,1234,5000,10,query_first,0,direct,0.9999999766997677,0.05706291027755289,0.05706290894797383
Qwen3-8B/direct/query_first/T5000_N10_seed1235,Qwen3-8B,1235,5000,10,query_first,0,direct,0.9999999766997677,0.05706291027755289,0.05706290894797383
Qwen3-8B/direct/query_first/T5000_N10_seed1236,Qwen3-8B,1236,5000,10,query_first,0,direct,0.9999999766997677,0.05706291027755289,0.05706290894797383
Qwen3-8B/direct/query_first/T5000_N10_seed1237,Qwen3-8B,1237,5000,10,query_first,1,direct,0.9999999766997677,0.05706291027755289,0.05706290894797383
Qwen3-8B/direct/query_first/T5000_N10_seed1238,Qwen3-8B,1238,5000,10,query_first,0,direct,0.9999999766997677,0.05706291027755289,0.05706290894797383
Qwen3-8B/direct/query_first/T5000_N1_seed1234,Qwen3-8B,1234,5000,1,query_first,1,direct,0.999999999,0.9967454304654597,0.9967454294687144
Qwen3-8B/direct/query_first/T5000_N1_seed1235,Qwen3-8B,1235,5000,1,query_first,1,direct,0.999999999,0.9967454304654597,0.9967454294687144
Qwen3-8B/direct/query_first/T5000_N1_seed1236,Qwen3-8B,1236,5000,1,query_first,1,direct,0.999999999,0.9967454304654597,0.9967454294687144
Qwen3-8B/direct/query_first/T5000_N1_seed1237,Qwen3-8B,1237,5000,1,query_first,1,direct,0.999999999,0.9967454304654597,0.9967454294687144
Qwen3-8B/direct/query_first/T5000_N1_seed1238,Qwen3-8B,1238,5000,1,query_first,1,direct,0.999999999,0.9967454304654597,0.9967454294687144
Qwen3-8B/direct/query_first/T5000_N20_seed1234,Qwen3-8B,1234,5000,20,query_first,0,direct,0.9999837882509857,0.01315800850677788,0.01315779519244644
Qwen3-8B/direct/query_first/T5000_N20_seed1235,Qwen3-8B,1235,5000,20,query_first,0,direct,0.9999837882509857,0.01315800850677788,0.01315779519244644
Qwen3-8B/direct/query_first/T5000_N20_seed1236,Qwen3-8B,1236,5000,20,query_first,0,direct,0.9999837882509857,0.01315800850677788,0.01315779519244644
Qwen3-8B/direct/query_first/T5000_N20_seed1237,Qwen3-8B,1237,5000,20,query_first,0,direct,0.9999837882509857,0.01315800850677788,0.01315779519244644
Qwen3-8B/direct/query_first/T5000_N20_seed1238,Qwen3-8B,1238,5000,20,query_first,0,direct,0.9999837882509857,0.01315800850677788,0.01315779519244644
Qwen3-8B/direct/query_first/T5000_N2_seed1234,Qwen3-8B,1234,5000,2,query_first,1,direct,0.999999999,0.9001550964024753,0.9001550955023202
Qwen3-8B/direct/query_first/T5000_N2_seed1235,Qwen3-8B,1235,5000,2,query_first,1,direct,0.999999999,0.9001550964024753,0.9001550955023202
Qwen3-8B/direct/query_first/T5000_N2_seed1236,Qwen3-8B,1236,5000,2,query_first,1,direct,0.999999999,0.9001550964024753,0.9001550955023202
Qwen3-8B/direct/query_first/T5000_N2_seed1237,Qwen3-8B,1237,5000,2,query_first,1,direct,0.999999999,0.9001550964024753,0.9001550955023202
Qwen3-8B/direct/query_first/T5000_N2_seed1238,Qwen3-8B,1238,5000,2,query_first,1,direct,0.999999999,0.9001550964024753,0.9001550955023202
Qwen3-8B/direct/query_first/T5000_N30_seed1234,Qwen3-8B,1234,5000,30,query_first,0,direct,0.9993066222203709,0.002250308527393474,0.0022487482134632693
Qwen3-8B/direct/query_first/T5000_N30_seed1235,Qwen3-8B,1235,5000,30,query_first,0,direct,0.9993066222203709,0.002250308527393474,0.0022487482134632693
