scheme,fold,candidate,link,n_rows,n_trials,log_loss,brier,converged,iterations,mode,target,kind
cell,cell_fold=3,piecewise_power,survival_loglog,480,480.0,0.4369713669875736,0.12559519764241006,True,167,direct,exact_correct,binary
cell,cell_fold=4,piecewise_power,survival_loglog,480,480.0,0.3951730371722076,0.12145923707180299,True,193,direct,exact_correct,binary
seed,seed=1234,exponential_separable,logistic,480,480.0,0.4436942149833898,0.13859964712504091,True,19,direct,exact_correct,binary
seed,seed=1235,exponential_separable,logistic,480,480.0,0.40973937470587046,0.12006780065180615,True,19,direct,exact_correct,binary
seed,seed=1236,exponential_separable,logistic,480,480.0,0.38449196354164955,0.124394789069533,True,19,direct,exact_correct,binary
seed,seed=1237,exponential_separable,logistic,480,480.0,0.4953206339320663,0.14148197935036144,True,19,direct,exact_correct,binary
seed,seed=1238,exponential_separable,logistic,480,480.0,0.3814076429574882,0.1179547332450371,True,19,direct,exact_correct,binary
cell,cell_fold=0,exponential_separable,logistic,480,480.0,0.4203491814742203,0.13627113701771087,True,18,direct,exact_correct,binary
cell,cell_fold=1,exponential_separable,logistic,480,480.0,0.37833638471070485,0.12052806237107731,True,18,direct,exact_correct,binary
cell,cell_fold=2,exponential_separable,logistic,480,480.0,0.5955977228349916,0.13091382868230073,True,19,direct,exact_correct,binary
cell,cell_fold=3,exponential_separable,logistic,480,480.0,0.4400380995045452,0.13881695547264203,True,23,direct,exact_correct,binary
cell,cell_fold=4,exponential_separable,logistic,480,480.0,0.4267279296732287,0.11846954416573631,True,19,direct,exact_correct,binary
seed,seed=1234,exponential_separable,survival_loglog,480,480.0,0.493246821964215,0.15239978951659588,True,114,direct,exact_correct,binary
seed,seed=1235,exponential_separable,survival_loglog,480,480.0,0.4374132054290779,0.13286126914405189,True,132,direct,exact_correct,binary
seed,seed=1236,exponential_separable,survival_loglog,480,480.0,0.39655053033554355,0.13153895421143633,True,57,direct,exact_correct,binary
seed,seed=1237,exponential_separable,survival_loglog,480,480.0,0.5102070617247566,0.1544238686533649,True,74,direct,exact_correct,binary
seed,seed=1238,exponential_separable,survival_loglog,480,480.0,0.40988556031770984,0.1333739107226649,True,121,direct,exact_correct,binary
cell,cell_fold=0,exponential_separable,survival_loglog,480,480.0,0.46375399869684497,0.1533064385885573,True,123,direct,exact_correct,binary
cell,cell_fold=1,exponential_separable,survival_loglog,480,480.0,0.4238938312309373,0.12990319245494222,True,115,direct,exact_correct,binary
cell,cell_fold=2,exponential_separable,survival_loglog,480,480.0,0.7716852622258111,0.14599140866125163,True,61,direct,exact_correct,binary
cell,cell_fold=3,exponential_separable,survival_loglog,480,480.0,0.48148972589528005,0.14581508515256492,True,98,direct,exact_correct,binary
cell,cell_fold=4,exponential_separable,survival_loglog,480,480.0,0.42582690821705377,0.1299576324151991,True,63,direct,exact_correct,binary
seed,seed=1234,exponential_interaction,logistic,480,480.0,0.42965060210471945,0.13611588279523784,True,22,direct,exact_correct,binary
seed,seed=1235,exponential_interaction,logistic,480,480.0,0.4018902021728187,0.1206117264806802,True,19,direct,exact_correct,binary
seed,seed=1236,exponential_interaction,logistic,480,480.0,0.3792272484012563,0.12238918380464087,True,22,direct,exact_correct,binary
seed,seed=1237,exponential_interaction,logistic,480,480.0,0.46328714602383153,0.13961490002101135,True,22,direct,exact_correct,binary
seed,seed=1238,exponential_interaction,logistic,480,480.0,0.35907146770403137,0.11594968602903208,True,22,direct,exact_correct,binary
cell,cell_fold=0,exponential_interaction,logistic,480,480.0,0.45181552687412413,0.13802617454583968,True,22,direct,exact_correct,binary
cell,cell_fold=1,exponential_interaction,logistic,480,480.0,0.3980991329505091,0.12785490247622328,True,20,direct,exact_correct,binary
cell,cell_fold=2,exponential_interaction,logistic,480,480.0,0.5822776292352964,0.12938531065556577,True,22,direct,exact_correct,binary
cell,cell_fold=3,exponential_interaction,logistic,480,480.0,0.4646543820785857,0.1425068208956264,True,23,direct,exact_correct,binary
cell,cell_fold=4,exponential_interaction,logistic,480,480.0,0.43060918800326764,0.12151700127606269,True,19,direct,exact_correct,binary
seed,seed=1234,exponential_interaction,survival_loglog,480,480.0,0.49148906093635697,0.14235126053916217,False,250,direct,exact_correct,binary
seed,seed=1235,exponential_interaction,survival_loglog,480,480.0,0.4119598630607647,0.12445222291316144,True,77,direct,exact_correct,binary
seed,seed=1236,exponential_interaction,survival_loglog,480,480.0,0.39145975374314473,0.1265307229888952,True,138,direct,exact_correct,binary
seed,seed=1237,exponential_interaction,survival_loglog,480,480.0,0.4837822423299984,0.1480234503027586,True,237,direct,exact_correct,binary
seed,seed=1238,exponential_interaction,survival_loglog,480,480.0,0.37767313025305627,0.12450759745830518,True,235,direct,exact_correct,binary
cell,cell_fold=0,exponential_interaction,survival_loglog,480,480.0,0.5695531015321864,0.14557852873229243,True,138,direct,exact_correct,binary
cell,cell_fold=1,exponential_interaction,survival_loglog,480,480.0,0.43525032876954195,0.132613242469256,True,184,direct,exact_correct,binary
cell,cell_fold=2,exponential_interaction,survival_loglog,480,480.0,0.6981859794193963,0.1385133071370737,True,129,direct,exact_correct,binary
cell,cell_fold=3,exponential_interaction,survival_loglog,480,480.0,0.49962636429318935,0.14528857944536355,True,129,direct,exact_correct,binary
cell,cell_fold=4,exponential_interaction,survival_loglog,480,480.0,0.4864695179458913,0.12680725867567913,True,93,direct,exact_correct,binary
seed,seed=1234,root_separable,logistic,480,480.0,0.4119267063443496,0.13028804219751527,True,19,direct,exact_correct,binary
seed,seed=1235,root_separable,logistic,480,480.0,0.3895337174759054,0.1141019055650704,True,19,direct,exact_correct,binary
seed,seed=1236,root_separable,logistic,480,480.0,0.37030405970184893,0.12054248092478513,True,19,direct,exact_correct,binary
seed,seed=1237,root_separable,logistic,480,480.0,0.4523929753784802,0.13528844934783288,True,19,direct,exact_correct,binary
seed,seed=1238,root_separable,logistic,480,480.0,0.3470986053843557,0.10802780060059455,True,18,direct,exact_correct,binary
cell,cell_fold=0,root_separable,logistic,480,480.0,0.38627195598907044,0.1254862465793403,True,18,direct,exact_correct,binary
cell,cell_fold=1,root_separable,logistic,480,480.0,0.36448102559456214,0.11767860815673797,True,18,direct,exact_correct,binary
cell,cell_fold=2,root_separable,logistic,480,480.0,0.4790113958833968,0.12301582868511517,True,19,direct,exact_correct,binary
cell,cell_fold=3,root_separable,logistic,480,480.0,0.4251474496048306,0.13378473737909738,True,19,direct,exact_correct,binary
cell,cell_fold=4,root_separable,logistic,480,480.0,0.39412093786679114,0.11278722823326334,True,19,direct,exact_correct,binary
seed,seed=1234,root_separable,survival_loglog,480,480.0,0.46216381964586684,0.1408699177919455,True,131,direct,exact_correct,binary
seed,seed=1235,root_separable,survival_loglog,480,480.0,0.41367238314858795,0.12378972521556193,True,132,direct,exact_correct,binary
seed,seed=1236,root_separable,survival_loglog,480,480.0,0.3764587085122904,0.12435842145108934,True,107,direct,exact_correct,binary
seed,seed=1237,root_separable,survival_loglog,480,480.0,0.48906615755948857,0.14495941144943197,True,122,direct,exact_correct,binary
seed,seed=1238,root_separable,survival_loglog,480,480.0,0.37682793340758014,0.12010140521616999,True,100,direct,exact_correct,binary
cell,cell_fold=0,root_separable,survival_loglog,480,480.0,0.4245244795544424,0.1399530915279189,True,99,direct,exact_correct,binary
cell,cell_fold=1,root_separable,survival_loglog,480,480.0,0.4102478683784999,0.12424702420510411,True,116,direct,exact_correct,binary
cell,cell_fold=2,root_separable,survival_loglog,480,480.0,0.6686625463106954,0.13322645406060432,True,77,direct,exact_correct,binary
cell,cell_fold=3,root_separable,survival_loglog,480,480.0,0.4569079389767392,0.13814122692500977,True,109,direct,exact_correct,binary
cell,cell_fold=4,root_separable,survival_loglog,480,480.0,0.4022527230703123,0.12011908967424766,True,99,direct,exact_correct,binary
seed,seed=1234,inverse_separable,logistic,480,480.0,0.38331758146116923,0.12295385367049506,True,18,direct,exact_correct,binary
seed,seed=1235,inverse_separable,logistic,480,480.0,0.3794856604093942,0.11583063210922558,True,19,direct,exact_correct,binary
seed,seed=1236,inverse_separable,logistic,480,480.0,0.36889002496203216,0.1196564836876315,True,18,direct,exact_correct,binary
seed,seed=1237,inverse_separable,logistic,480,480.0,0.4202891993166096,0.13324551990066197,True,18,direct,exact_correct,binary
seed,seed=1238,inverse_separable,logistic,480,480.0,0.33336114876082257,0.10677509540390903,True,18,direct,exact_correct,binary
cell,cell_fold=0,inverse_separable,logistic,480,480.0,0.3734085669800553,0.11702981000102329,True,18,direct,exact_correct,binary
cell,cell_fold=1,inverse_separable,logistic,480,480.0,0.36884513290478155,0.12158217747317052,True,18,direct,exact_correct,binary
cell,cell_fold=2,inverse_separable,logistic,480,480.0,0.36839082275536783,0.11794350408366792,True,18,direct,exact_correct,binary
cell,cell_fold=3,inverse_separable,logistic,480,480.0,0.4274952210740466,0.13121038963671222,True,19,direct,exact_correct,binary
cell,cell_fold=4,inverse_separable,logistic,480,480.0,0.39434417332657323,0.12190046624321914,True,19,direct,exact_correct,binary
seed,seed=1234,inverse_separable,survival_loglog,480,480.0,0.3962999895530572,0.12396010283419151,True,67,direct,exact_correct,binary
seed,seed=1235,inverse_separable,survival_loglog,480,480.0,0.38925752184851314,0.11598761000455195,True,56,direct,exact_correct,binary
seed,seed=1236,inverse_separable,survival_loglog,480,480.0,0.36761068651083423,0.1200511863857621,True,67,direct,exact_correct,binary
seed,seed=1237,inverse_separable,survival_loglog,480,480.0,0.41667005468745166,0.13333146205472154,True,83,direct,exact_correct,binary
seed,seed=1238,inverse_separable,survival_loglog,480,480.0,0.3296949566070861,0.10587792835606313,True,70,direct,exact_correct,binary
cell,cell_fold=0,inverse_separable,survival_loglog,480,480.0,0.3615174383223685,0.11591894374328678,True,68,direct,exact_correct,binary
cell,cell_fold=1,inverse_separable,survival_loglog,480,480.0,0.36497851484163757,0.11962890285871028,True,83,direct,exact_correct,binary
cell,cell_fold=2,inverse_separable,survival_loglog,480,480.0,0.3777110660451529,0.11871327427917905,True,44,direct,exact_correct,binary
cell,cell_fold=3,inverse_separable,survival_loglog,480,480.0,0.4247698322316623,0.12859461989161056,True,70,direct,exact_correct,binary
cell,cell_fold=4,inverse_separable,survival_loglog,480,480.0,0.4023564815043027,0.12270675595431481,True,61,direct,exact_correct,binary
seed,seed=1234,logL_rawN,logistic,480,480.0,0.44145662146436304,0.1381480975320173,True,19,direct,exact_correct,binary
seed,seed=1235,logL_rawN,logistic,480,480.0,0.40325782488946776,0.11998533583027256,True,19,direct,exact_correct,binary
seed,seed=1236,logL_rawN,logistic,480,480.0,0.381746285159736,0.12390833734219525,True,19,direct,exact_correct,binary
seed,seed=1237,logL_rawN,logistic,480,480.0,0.49356014063555237,0.14049342565681897,True,19,direct,exact_correct,binary
