"pca_dim","model_label","endpoint","mode","selector","discovery_metric","confirmation_metric","selected_layer","discovery_value","confirmation_value","pca_components","discovery_rows","confirmation_rows"
"2","Gemma4-E4B","running_index","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","16","7.062662358615128","5.363811777523915","2","1045","519"
"4","Gemma4-E4B","running_index","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","15","0.09851387309431474","-0.8390905907369627","4","1045","519"
"8","Gemma4-E4B","running_index","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","16","-0.48295154823069736","-1.2503716081047997","8","1045","519"
"16","Gemma4-E4B","running_index","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","22","-2.0549298600084582","-3.1899020621756424","16","1045","519"
"32","Gemma4-E4B","running_index","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","22","-3.0005477154411553","-4.815685442953337","32","1045","519"
"2","Gemma4-E4B","running_index","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","23","2.581771669040944","0.23228305858489642","2","1100","550"
"4","Gemma4-E4B","running_index","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","22","-0.1360222520128672","-2.1046406208720376","4","1100","550"
"8","Gemma4-E4B","running_index","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","22","-3.269973295936894","-4.983963421839445","8","1100","550"
"16","Gemma4-E4B","running_index","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","39","-4.429378369991541","-6.84619138032166","16","1100","550"
"32","Gemma4-E4B","running_index","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","32","-5.045713635300965","-7.483748657561657","32","1100","550"
"2","Gemma4-E4B","running_index","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","16","0.0890769199906964","0.09163001605933965","2","1045","519"
"4","Gemma4-E4B","running_index","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","16","0.10894779032089022","0.09035030591405735","4","1045","519"
"8","Gemma4-E4B","running_index","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","16","0.17361977093386052","0.1460369561434654","8","1045","519"
"16","Gemma4-E4B","running_index","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","16","0.2350921496533084","0.1954036516892401","16","1045","519"
"32","Gemma4-E4B","running_index","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","16","0.23611797106671323","0.18014081265561058","32","1045","519"
