model_label,site,running_index,marker_kind,trace_order_class,noise_total_rms__count,noise_total_rms__mean,noise_total_rms__std,noise_total_rms__median,noise_orthogonal_rms__count,noise_orthogonal_rms__mean,noise_orthogonal_rms__std,noise_orthogonal_rms__median,count_axis_deviation_abs__count,count_axis_deviation_abs__mean,count_axis_deviation_abs__std,count_axis_deviation_abs__median
Qwen3-8B,marker_middle,8,bullet,forward,2,0.5149852228647152,0.001572368081769669,0.5149852228647152,2,0.5146714896033524,0.0021114164897848586,0.5146714896033524,2,0.8826274126768112,1.0958013079109616,0.8826274126768112
Qwen3-8B,marker_middle,8,completion_recap,forward,40,0.7030306070747356,0.03570861439001169,0.7004371492684172,40,0.6601788905223842,0.04223378090658539,0.6609291426210453,40,13.63507058620453,3.0311245986281126,13.2773118019104
Qwen3-8B,marker_middle,8,indexed,forward,68,0.3410111095389591,0.029372677917252895,0.3337681723704349,68,0.30591926781283013,0.03033642529592319,0.3022032730406248,68,8.58015378783731,1.124639281474868,8.638710021972656
Qwen3-8B,marker_middle,8,indexed,other_permutation,1,0.3398299817332673,,0.3398299817332673,1,0.3123650433481489,,0.3123650433481489,1,8.013716697692871,,8.013716697692871
Qwen3-8B,marker_middle,8,ordinal,forward,2,0.5020579943080361,0.04074977309465105,0.5020579943080361,2,0.48409829672011284,0.03495655829159189,0.48409829672011284,2,7.712967872619629,0.6365576772263442,7.712967872619629
Qwen3-8B,marker_middle,9,audit_sentence,forward,1,0.66417560736104,,0.66417560736104,1,0.5012906005621287,,0.5012906005621287,1,26.22659683227539,,26.22659683227539
Qwen3-8B,marker_middle,9,bullet,forward,1,0.5000300994396353,,0.5000300994396353,1,0.4906456998902502,,0.4906456998902502,1,3.3382840156555176,,3.3382840156555176
Qwen3-8B,marker_middle,9,completion_recap,forward,29,0.6982943711857033,0.031525428679704384,0.7042321706999178,29,0.6387259783203195,0.03892782858275064,0.6363367455573626,29,15.399919608543659,2.344068384934679,14.787473678588867
Qwen3-8B,marker_middle,9,indexed,forward,50,0.33648457776667745,0.02955759829984291,0.32974474018605116,50,0.3013663557831748,0.03420833009068612,0.29222094347794647,50,7.713288450241089,1.3811925685894464,8.111623764038086
Qwen3-8B,marker_middle,9,ordinal,forward,2,0.507766144314111,0.01437617325428837,0.507766144314111,2,0.49451024187467496,0.010070923715715515,0.49451024187467496,2,5.734862804412842,0.3379368031082292,5.734862804412842
Qwen3-8B,marker_middle,10,bullet,forward,1,0.5310035582744681,,0.5310035582744681,1,0.4951636114913864,,0.4951636114913864,1,2.418963432312012,,2.418963432312012
Qwen3-8B,marker_middle,10,completion_recap,forward,18,0.6927692647381929,0.03758337562518942,0.6900916106114046,18,0.6412709439434928,0.04572429520358188,0.6397893232881386,18,13.653673277960884,3.189331056896895,13.132036209106445
Qwen3-8B,marker_middle,10,indexed,forward,21,0.36706062423236013,0.026703082358289713,0.3570888614708841,21,0.32298323381470073,0.024053348873394522,0.3144714013107441,21,9.382140931629,0.8051585147213571,9.336426734924316
Qwen3-8B,marker_span_mean,1,audit_sentence,forward,104,0.3131803987874331,0.006093910083982821,0.31291603404041524,104,0.3021654020908752,0.007026105673823493,0.3021900962579311,104,0.5964511056932119,0.34324940920655195,0.5865208208560944
Qwen3-8B,marker_span_mean,1,bullet,forward,7,0.4996688963694373,0.01760956247211286,0.4903329544955194,7,0.49521705150070966,0.017898548039692437,0.4854810718752108,7,0.459769321339471,0.2813320503591474,0.4248613715171814
Qwen3-8B,marker_span_mean,1,completion_recap,forward,162,0.47984774737978775,0.07906762024803365,0.48561401693491085,162,0.47521405147957735,0.08039155771547625,0.48094030375948194,162,1.2058543984628753,0.9767767373008115,0.9594039022922516
Qwen3-8B,marker_span_mean,1,indexed,forward,159,0.3537432809260094,0.014910122360978755,0.3527405181721575,159,0.3389855435467701,0.013792363547809343,0.3374619028346941,159,0.35812351679277116,0.271418880689445,0.3112151026725769
Qwen3-8B,marker_span_mean,1,ordinal,forward,33,0.5588449373308413,0.04897176552209218,0.5729278274373815,33,0.5532147307131372,0.047761729229538884,0.5673184562045553,33,2.072759328466473,0.64750142298448,2.185004711151123
Qwen3-8B,marker_span_mean,2,audit_sentence,forward,75,0.29787075447474665,0.005098554112372627,0.2975395444425626,75,0.29240798029213394,0.005151675914966396,0.2920129475736003,75,3.1675045490264893,0.3480510595571031,3.1963930130004883
Qwen3-8B,marker_span_mean,2,bullet,forward,4,0.4270932204419353,0.06256073522013417,0.42737492723145687,4,0.42244961188881747,0.06527066870420528,0.4222692754215368,4,1.8374707102775574,0.2879135349223515,1.799045741558075
Qwen3-8B,marker_span_mean,2,completion_recap,forward,140,0.47452869266444153,0.08012735494769772,0.46275869341966086,140,0.4695272361154161,0.08001072644526722,0.45683608180141716,140,0.7470246527876173,0.6239360976824697,0.5969670414924622
Qwen3-8B,marker_span_mean,2,indexed,forward,154,0.31071510448311757,0.02531974098783953,0.3020473051950445,154,0.30198912722488447,0.027924630478540213,0.29230342203910586,154,1.9723771098372225,0.4639434405006455,2.080042839050293
Qwen3-8B,marker_span_mean,2,indexed,other_permutation,1,0.2977060556669423,,0.2977060556669423,1,0.2902866516460214,,0.2902866516460214,1,1.5226954221725464,,1.5226954221725464
Qwen3-8B,marker_span_mean,2,ordinal,forward,22,0.4730199123309365,0.06471218939013178,0.5036687221265632,22,0.46906454442767065,0.06548322350267659,0.4999938323626235,22,0.5752264647321268,0.3650627774379382,0.6461552977561951
Qwen3-8B,marker_span_mean,3,audit_sentence,forward,73,0.29739327735290605,0.005076374417515603,0.2976530570512263,73,0.2835412602886221,0.0048747933616942124,0.2834592090913996,73,5.127325809165223,0.35819505998765955,5.148447036743164
Qwen3-8B,marker_span_mean,3,bullet,forward,4,0.36798712921217785,0.05230289707700314,0.34382654353126785,4,0.35677690737958107,0.05582659570266579,0.3309895923425936,4,3.3538944125175476,0.3466194275117041,3.2308237552642822
Qwen3-8B,marker_span_mean,3,completion_recap,forward,107,0.4770066691510704,0.07288448388610798,0.4622360623364376,107,0.4698793994973077,0.07382083185636203,0.4554883175885986,107,1.4001982341581416,0.9448537218544522,1.2241477966308594
Qwen3-8B,marker_span_mean,3,indexed,forward,130,0.27329497224193156,0.02780630462604211,0.2616603808313199,130,0.2590399827031605,0.032972267867435734,0.24566732779557326,130,3.275060207110185,0.6694999600970125,3.461918354034424
