scope,feature_set,target,model,rows,groups,heldout_r2_log1p,heldout_mae_log1p,numeric_factors,categorical_factors,post_outcome_diagnostic,feature_order,incremental_r2
Gemma4-E4B/item_end,plus_trace_form,count_axis_deviation_abs,elastic_net,1004,10,0.041342989907260486,0.557759478415732,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,-0.016047580194329614
Gemma4-E4B/item_end,plus_outcome_diagnostic,count_axis_deviation_abs,elastic_net,1004,10,0.041342989907260486,0.557759478415732,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/item_end,count_only,count_axis_deviation_abs,hist_gradient_boosting,1004,10,0.17869636789897614,0.4825637550625603,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/item_end,plus_trace_position,count_axis_deviation_abs,hist_gradient_boosting,1004,10,0.10248336250736001,0.5092612286564907,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,-0.07621300539161613
Gemma4-E4B/item_end,plus_trace_form,count_axis_deviation_abs,hist_gradient_boosting,1004,10,0.11549221624338146,0.5008073148789653,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.013008853736021453
Gemma4-E4B/item_end,plus_outcome_diagnostic,count_axis_deviation_abs,hist_gradient_boosting,1004,10,0.11549221624338146,0.5008073148789653,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/item_end,count_only,noise_total_rms,elastic_net,1004,10,0.29652240843038646,0.07551780646488858,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/item_end,plus_trace_position,noise_total_rms,elastic_net,1004,10,0.339013375861557,0.07300622577560303,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.042490967431170534
Gemma4-E4B/item_end,plus_trace_form,noise_total_rms,elastic_net,1004,10,0.3821895598771966,0.07064123939638355,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.04317618401563961
Gemma4-E4B/item_end,plus_outcome_diagnostic,noise_total_rms,elastic_net,1004,10,0.3821895598771966,0.07064123939638355,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
