registered_bank_size,evaluation_scope,analysis_population,grammar_class,estimand,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed,sign_flip_p,sign_flip_method,inferential_status,holm_family,holm_p
8,full_panel,all_examples,same_unit_rank_after_city,selected_failure_minus_mean_random_failure,0.8541666666666666,0.7083333333333333,1.0,4,8,0.8333333333333333,1.0,0.17647058823529413,exact,descriptive_or_secondary,,
8,full_panel,all_examples,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.6896642948367085,0.6021435413245758,0.7681905674147053,29,140,0.7023809523809524,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_or_secondary,,
8,full_panel,all_examples,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,2,2,0.0,1.0,1.0,exact,descriptive_or_secondary,,
8,full_panel,clean_correct_only,pooled,selected_failure_minus_mean_random_failure,0.7473324514991181,0.6984556878306878,0.7966291887125219,30,264,0.7474747474747474,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_or_secondary,pooled_K_grid:full_panel:clean_correct_only,4.9999750001249995e-06
8,full_panel,clean_correct_only,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.73929012345679,0.6797247574955908,0.7974699074074073,30,254,0.7506561679790026,2.1,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_or_secondary,,
8,full_panel,clean_correct_only,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.747783251231527,0.6377360426929392,0.8466379310344826,29,113,0.7905604719764012,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_or_secondary,,
8,full_panel,clean_correct_only,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,5,5,1.0,1.0,0.09090909090909091,exact,descriptive_or_secondary,,
8,full_panel,clean_correct_only,same_unit_rank_after_city,selected_failure_minus_mean_random_failure,0.8541666666666666,0.7083333333333333,1.0,4,8,0.8333333333333333,1.0,0.17647058823529413,exact,descriptive_or_secondary,,
8,full_panel,clean_correct_only,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.691215106732348,0.6024083196496989,0.7727702517788725,29,136,0.7083333333333333,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_or_secondary,,
8,full_panel,clean_correct_only,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,2,2,0.0,1.0,1.0,exact,descriptive_or_secondary,,
8,discovery,all_examples,pooled,selected_failure_minus_mean_random_failure,0.7555555555555554,0.6962962962962963,0.812962962962963,20,180,0.7555555555555555,1.0,2.8610202207372468e-06,exact,descriptive_or_secondary,pooled_K_grid:discovery:all_examples,2.8610202207372468e-06
8,discovery,all_examples,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.7643386243386242,0.7067787698412697,0.8231223544973546,20,171,0.756335282651072,2.15,2.8610202207372468e-06,exact,descriptive_or_secondary,,
8,discovery,all_examples,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.7898412698412698,0.6842857142857143,0.8851190476190476,20,85,0.788235294117647,1.0,2.8610202207372468e-06,exact,descriptive_or_secondary,,
8,discovery,all_examples,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,4,4,1.0,1.0,0.17647058823529413,exact,descriptive_or_secondary,,
8,discovery,all_examples,same_unit_rank_after_city,selected_failure_minus_mean_random_failure,0.8541666666666666,0.7083333333333333,1.0,4,8,0.8333333333333333,1.0,0.17647058823529413,exact,descriptive_or_secondary,,
8,discovery,all_examples,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.7032581453634085,0.5914786967418546,0.8036779448621553,19,82,0.7113821138211381,1.0,9.536724974203159e-06,exact,descriptive_or_secondary,,
8,discovery,all_examples,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
8,discovery,clean_correct_only,pooled,selected_failure_minus_mean_random_failure,0.7527777777777778,0.6916435185185186,0.813912037037037,20,177,0.7551789077212807,1.0,2.8610202207372468e-06,exact,descriptive_or_secondary,pooled_K_grid:discovery:clean_correct_only,2.8610202207372468e-06
8,discovery,clean_correct_only,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.7636441798941799,0.704938492063492,0.821356316137566,20,168,0.7559523809523809,2.15,2.8610202207372468e-06,exact,descriptive_or_secondary,,
8,discovery,clean_correct_only,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.7967857142857142,0.692063492063492,0.8916666666666666,20,84,0.7936507936507935,1.0,2.8610202207372468e-06,exact,descriptive_or_secondary,,
8,discovery,clean_correct_only,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,4,4,1.0,1.0,0.17647058823529413,exact,descriptive_or_secondary,,
8,discovery,clean_correct_only,same_unit_rank_after_city,selected_failure_minus_mean_random_failure,0.8541666666666666,0.7083333333333333,1.0,4,8,0.8333333333333333,1.0,0.17647058823529413,exact,descriptive_or_secondary,,
8,discovery,clean_correct_only,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.694486215538847,0.5794444444444444,0.7949895572263992,19,80,0.7041666666666666,1.0,9.536724974203159e-06,exact,descriptive_or_secondary,,
8,discovery,clean_correct_only,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
