registered_bank_size,evaluation_scope,analysis_population,grammar_class,arm,metric,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed
2,confirmation,clean_correct_only,adjacent_rank_before_city,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,clean_correct_only,adjacent_rank_before_city,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,clean_correct_only,adjacent_rank_before_city,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,clean_correct_only,same_unit_rank_before_city,clean,failure_rate,0.0,0.0,0.0,10,56,0.0,1.0
2,confirmation,clean_correct_only,same_unit_rank_before_city,selected_bank,failure_rate,0.4227380952380952,0.34285714285714286,0.5132142857142857,10,56,0.42857142857142855,1.0
2,confirmation,clean_correct_only,same_unit_rank_before_city,layer_matched_random_mean,failure_rate,0.2115079365079365,0.13690476190476192,0.3095238095238095,10,56,0.18452380952380953,1.0
2,confirmation,clean_correct_only,same_unit_rank_before_city,layer_matched_random_repeat_1,failure_rate,0.22452380952380951,0.11619047619047618,0.351672619047619,10,56,0.19642857142857142,1.0
2,confirmation,clean_correct_only,same_unit_rank_before_city,layer_matched_random_repeat_2,failure_rate,0.09857142857142856,0.03428571428571429,0.16857142857142857,10,56,0.08928571428571429,1.0
2,confirmation,clean_correct_only,same_unit_rank_before_city,layer_matched_random_repeat_3,failure_rate,0.31142857142857144,0.1757142857142857,0.44714285714285706,10,56,0.26785714285714285,1.0
2,confirmation,clean_correct_only,structural_invariant_bullet,clean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,clean_correct_only,structural_invariant_bullet,selected_bank,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,clean_correct_only,structural_invariant_bullet,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,clean_correct_only,structural_invariant_bullet,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,clean_correct_only,structural_invariant_bullet,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,clean_correct_only,structural_invariant_bullet,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,all_examples,pooled,clean,failure_rate,0.03333333333333333,0.0,0.07777777777777778,10,90,0.03333333333333333,1.0
4,confirmation,all_examples,pooled,selected_bank,failure_rate,0.6,0.4999999999999999,0.7,10,90,0.6,1.0
4,confirmation,all_examples,pooled,layer_matched_random_mean,failure_rate,0.0925925925925926,0.044444444444444446,0.14814814814814817,10,90,0.0925925925925926,1.0
4,confirmation,all_examples,pooled,layer_matched_random_repeat_1,failure_rate,0.05555555555555556,0.01111111111111111,0.1,10,90,0.05555555555555555,1.0
4,confirmation,all_examples,pooled,layer_matched_random_repeat_2,failure_rate,0.08888888888888889,0.03333333333333333,0.15555555555555556,10,90,0.08888888888888889,1.0
4,confirmation,all_examples,pooled,layer_matched_random_repeat_3,failure_rate,0.13333333333333333,0.06666666666666667,0.2111111111111111,10,90,0.13333333333333333,1.0
4,confirmation,all_examples,macro_primary_grammars,clean,failure_rate,0.04722222222222222,0.0,0.11666666666666665,10,89,0.033707865168539325,2.0
4,confirmation,all_examples,macro_primary_grammars,selected_bank,failure_rate,0.6480753968253967,0.544047619047619,0.747283234126984,10,89,0.6067415730337079,2.0
4,confirmation,all_examples,macro_primary_grammars,layer_matched_random_mean,failure_rate,0.10262566137566138,0.047996031746031745,0.16481646825396823,10,89,0.09363295880149815,2.0
4,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_1,failure_rate,0.06436507936507936,0.01,0.12595238095238095,10,89,0.056179775280898875,2.0
4,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_2,failure_rate,0.10595238095238094,0.03333333333333333,0.18095238095238092,10,89,0.0898876404494382,2.0
4,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_3,failure_rate,0.1375595238095238,0.059226190476190474,0.22422619047619047,10,89,0.1348314606741573,2.0
4,confirmation,all_examples,adjacent_rank_after_city,clean,failure_rate,0.05555555555555555,0.0,0.16666666666666666,9,30,0.03333333333333333,1.0
4,confirmation,all_examples,adjacent_rank_after_city,selected_bank,failure_rate,0.7962962962962963,0.6296296296296295,0.9444444444444444,9,30,0.7666666666666667,1.0
4,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_mean,failure_rate,0.09876543209876543,0.01851851851851852,0.21003086419752864,9,30,0.07777777777777778,1.0
4,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_1,failure_rate,0.05555555555555555,0.0,0.16666666666666666,9,30,0.03333333333333333,1.0
4,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_2,failure_rate,0.1111111111111111,0.0,0.2777777777777778,9,30,0.06666666666666667,1.0
4,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_3,failure_rate,0.12962962962962962,0.0,0.2777777777777778,9,30,0.13333333333333333,1.0
4,confirmation,all_examples,adjacent_rank_before_city,clean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,all_examples,adjacent_rank_before_city,selected_bank,failure_rate,1.0,1.0,1.0,1,1,1.0,1.0
4,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,all_examples,same_unit_rank_before_city,clean,failure_rate,0.02222222222222222,0.0,0.06666666666666667,10,58,0.034482758620689655,1.0
4,confirmation,all_examples,same_unit_rank_before_city,selected_bank,failure_rate,0.5072619047619047,0.3834494047619048,0.6263095238095238,10,58,0.5172413793103449,1.0
4,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_mean,failure_rate,0.0922883597883598,0.03333333333333334,0.15735582010582008,10,58,0.10344827586206896,1.0
4,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_repeat_1,failure_rate,0.05650793650793651,0.0,0.11523809523809522,10,58,0.06896551724137931,1.0
4,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_repeat_2,failure_rate,0.09523809523809523,0.0,0.19047619047619047,10,58,0.10344827586206896,1.0
4,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_repeat_3,failure_rate,0.12511904761904763,0.039285714285714285,0.21833333333333335,10,58,0.13793103448275862,1.0
4,confirmation,all_examples,structural_invariant_bullet,clean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,all_examples,structural_invariant_bullet,selected_bank,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
4,confirmation,clean_correct_only,pooled,clean,failure_rate,0.0,0.0,0.0,10,87,0.0,1.0
4,confirmation,clean_correct_only,pooled,selected_bank,failure_rate,0.5849206349206348,0.48650793650793644,0.6833333333333332,10,87,0.5862068965517241,1.0
4,confirmation,clean_correct_only,pooled,layer_matched_random_mean,failure_rate,0.06137566137566138,0.030158730158730163,0.09312169312169313,10,87,0.06130268199233717,1.0
4,confirmation,clean_correct_only,pooled,layer_matched_random_repeat_1,failure_rate,0.02222222222222222,0.0,0.05555555555555556,10,87,0.022988505747126436,1.0
