registered_bank_size,evaluation_scope,analysis_population,gold_count,estimand,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed,sign_flip_p,sign_flip_method,inferential_status,holm_family,holm_p
8,confirmation,clean_correct_only,7,selected_failure_minus_mean_random_failure,0.8888888888888888,0.7407407407407407,1.0,9,9,0.8888888888888888,1.0,0.005847953216374269,exact,descriptive_count_stratum,count_strata:K8:confirmation:clean_correct_only,0.03902439024390244
8,confirmation,clean_correct_only,8,selected_failure_minus_mean_random_failure,0.8,0.6,0.9666666666666666,10,10,0.8,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K8:confirmation:clean_correct_only,0.03902439024390244
8,confirmation,clean_correct_only,9,selected_failure_minus_mean_random_failure,0.9,0.7,1.0,10,10,0.9,1.0,0.004878048780487805,exact,descriptive_count_stratum,count_strata:K8:confirmation:clean_correct_only,0.03902439024390244
8,confirmation,clean_correct_only,10,selected_failure_minus_mean_random_failure,0.8333333333333333,0.6666666666666666,0.9583333333333333,8,8,0.8333333333333333,1.0,0.011673151750972763,exact,descriptive_count_stratum,count_strata:K8:confirmation:clean_correct_only,0.03902439024390244
8,full_panel,all_examples,2,selected_failure_minus_mean_random_failure,0.26666666666666666,0.1111111111111111,0.4333333333333333,30,30,0.26666666666666666,1.0,0.0038349808250958744,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:all_examples,0.0038349808250958744
8,full_panel,all_examples,3,selected_failure_minus_mean_random_failure,0.47777777777777775,0.31111111111111106,0.6555555555555554,30,30,0.47777777777777775,1.0,9.499952500237499e-05,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:all_examples,0.00018999905000474998
8,full_panel,all_examples,4,selected_failure_minus_mean_random_failure,0.7777777777777778,0.6333333333333333,0.9,30,30,0.7777777777777778,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:all_examples,4.4999775001124996e-05
8,full_panel,all_examples,5,selected_failure_minus_mean_random_failure,0.8,0.6666666666666667,0.9111111111111111,30,30,0.8,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:all_examples,4.4999775001124996e-05
8,full_panel,all_examples,6,selected_failure_minus_mean_random_failure,0.8777777777777778,0.7777777777777776,0.9666666666666667,30,30,0.8777777777777778,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:all_examples,4.4999775001124996e-05
8,full_panel,all_examples,7,selected_failure_minus_mean_random_failure,0.8888888888888888,0.7999999999999999,0.9666666666666667,30,30,0.8888888888888888,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:all_examples,4.4999775001124996e-05
8,full_panel,all_examples,8,selected_failure_minus_mean_random_failure,0.8333333333333334,0.7333333333333335,0.9111111111111112,30,30,0.8333333333333334,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:all_examples,4.4999775001124996e-05
