model_label,role,layer,rows,seeds,fold,algorithm,rows_train,rows_test,r2,mae,pearson_r
Qwen3-8B,answer_query,8,200,20,group_fold_4,ridge,160,40,0.2347753643989563,2.290330171585083,0.7181595140625299
Qwen3-8B,answer_query,8,200,20,group_fold_4,knn5_distance,160,40,0.13957388945426152,2.1651159077779836,0.4538958245734629
Qwen3-8B,answer_query,9,200,20,group_fold_0,ridge,160,40,0.9283667206764221,0.6585850119590759,0.9745464910613869
Qwen3-8B,answer_query,9,200,20,group_fold_0,knn5_distance,160,40,0.20489292706205364,2.0906634134791497,0.46531215634623563
Qwen3-8B,answer_query,9,200,20,group_fold_1,ridge,160,40,0.6638810634613037,1.5391499996185303,0.8710690210965852
Qwen3-8B,answer_query,9,200,20,group_fold_1,knn5_distance,160,40,0.1530790363800375,2.116698038063412,0.5222842761843336
Qwen3-8B,answer_query,9,200,20,group_fold_2,ridge,160,40,0.8917914628982544,0.7889593839645386,0.9525350336256261
Qwen3-8B,answer_query,9,200,20,group_fold_2,knn5_distance,160,40,0.24358949738475388,2.040219014336999,0.5004201970548224
Qwen3-8B,answer_query,9,200,20,group_fold_3,ridge,160,40,0.8185785412788391,1.0168015956878662,0.9099506960183293
Qwen3-8B,answer_query,9,200,20,group_fold_3,knn5_distance,160,40,0.3332686202172709,1.9878243186928752,0.5869063702562967
Qwen3-8B,answer_query,9,200,20,group_fold_4,ridge,160,40,0.017211735248565674,2.4506678581237793,0.7085008589932498
Qwen3-8B,answer_query,9,200,20,group_fold_4,knn5_distance,160,40,0.15241574676962444,2.225637681569652,0.3969266275047701
Qwen3-8B,answer_query,10,200,20,group_fold_0,ridge,160,40,0.8837549090385437,0.8417811393737793,0.9445801542637584
Qwen3-8B,answer_query,10,200,20,group_fold_0,knn5_distance,160,40,0.3914237245002189,1.8468465445447262,0.6967171400714557
Qwen3-8B,answer_query,10,200,20,group_fold_1,ridge,160,40,0.5956088304519653,1.6656200885772705,0.8514215074986466
Qwen3-8B,answer_query,10,200,20,group_fold_1,knn5_distance,160,40,0.4184295634209211,1.78094130144767,0.6914848273812051
Qwen3-8B,answer_query,10,200,20,group_fold_2,ridge,160,40,0.8831861615180969,0.8056133389472961,0.9544505172065632
Qwen3-8B,answer_query,10,200,20,group_fold_2,knn5_distance,160,40,0.15985047229081295,2.1279019570166775,0.5505561217440709
Qwen3-8B,answer_query,10,200,20,group_fold_3,ridge,160,40,0.7039797306060791,1.3315454721450806,0.860337128337842
Qwen3-8B,answer_query,10,200,20,group_fold_3,knn5_distance,160,40,0.3446328344217835,1.9739922823986098,0.6363010258212642
Qwen3-8B,answer_query,10,200,20,group_fold_4,ridge,160,40,-0.11690175533294678,2.7527642250061035,0.6949741528152249
Qwen3-8B,answer_query,10,200,20,group_fold_4,knn5_distance,160,40,0.2520386425596616,2.1121604086184997,0.5027456593655899
Qwen3-8B,answer_query,11,200,20,group_fold_0,ridge,160,40,0.8333054780960083,0.9625390768051147,0.9146418011401396
Qwen3-8B,answer_query,11,200,20,group_fold_0,knn5_distance,160,40,0.15822273051660918,2.1306031793817084,0.4466490527220608
Qwen3-8B,answer_query,11,200,20,group_fold_1,ridge,160,40,0.5682133436203003,1.5448616743087769,0.8397276731003981
Qwen3-8B,answer_query,11,200,20,group_fold_1,knn5_distance,160,40,0.3560011395799425,1.7606380205131054,0.6126831473489305
Qwen3-8B,answer_query,11,200,20,group_fold_2,ridge,160,40,0.8333733677864075,0.9864257574081421,0.9335182989866628
