model_label,role,layer,folds,silhouette_cosine_mean,silhouette_cosine_min,silhouette_cosine_max,calinski_harabasz_mean,calinski_harabasz_min,calinski_harabasz_max,davies_bouldin_mean,davies_bouldin_min,davies_bouldin_max
Gemma4-E4B,prompt_running,28,1,-0.057173676788806915,-0.057173676788806915,-0.057173676788806915,9.049463791442724,9.049463791442724,9.049463791442724,5.08723057884198,5.08723057884198,5.08723057884198
Gemma4-E4B,prompt_running,29,1,-0.03732908144593239,-0.03732908144593239,-0.03732908144593239,6.32459726634643,6.32459726634643,6.32459726634643,4.628562288013891,4.628562288013891,4.628562288013891
Gemma4-E4B,prompt_running,30,1,-0.05442246049642563,-0.05442246049642563,-0.05442246049642563,6.437322167605805,6.437322167605805,6.437322167605805,4.96475367596459,4.96475367596459,4.96475367596459
Gemma4-E4B,prompt_running,31,1,-0.05154553800821304,-0.05154553800821304,-0.05154553800821304,6.332925168930587,6.332925168930587,6.332925168930587,5.127853672348619,5.127853672348619,5.127853672348619
Gemma4-E4B,prompt_running,32,1,-0.05798469856381416,-0.05798469856381416,-0.05798469856381416,6.101491280137423,6.101491280137423,6.101491280137423,5.39304074763986,5.39304074763986,5.39304074763986
Gemma4-E4B,prompt_running,33,1,-0.06932816654443741,-0.06932816654443741,-0.06932816654443741,6.085299589306202,6.085299589306202,6.085299589306202,5.64570720500813,5.64570720500813,5.64570720500813
Gemma4-E4B,prompt_running,34,1,-0.06302102655172348,-0.06302102655172348,-0.06302102655172348,6.120590444344632,6.120590444344632,6.120590444344632,5.649418662197676,5.649418662197676,5.649418662197676
Gemma4-E4B,prompt_running,35,1,-0.06817817687988281,-0.06817817687988281,-0.06817817687988281,6.192225785752597,6.192225785752597,6.192225785752597,5.434691171536674,5.434691171536674,5.434691171536674
Gemma4-E4B,prompt_running,36,1,-0.07510891556739807,-0.07510891556739807,-0.07510891556739807,6.376589801472672,6.376589801472672,6.376589801472672,5.528226286561273,5.528226286561273,5.528226286561273
Gemma4-E4B,prompt_running,37,1,-0.08072882890701294,-0.08072882890701294,-0.08072882890701294,6.521596540339796,6.521596540339796,6.521596540339796,5.75908122016957,5.75908122016957,5.75908122016957
Gemma4-E4B,prompt_running,38,1,-0.08222583681344986,-0.08222583681344986,-0.08222583681344986,7.060486224888686,7.060486224888686,7.060486224888686,5.77526180899452,5.77526180899452,5.77526180899452
Gemma4-E4B,prompt_running,39,1,-0.08793243765830994,-0.08793243765830994,-0.08793243765830994,7.944737926053991,7.944737926053991,7.944737926053991,5.835076927611595,5.835076927611595,5.835076927611595
Gemma4-E4B,prompt_running,40,1,-0.09153041988611221,-0.09153041988611221,-0.09153041988611221,8.946747111674792,8.946747111674792,8.946747111674792,5.622634185165697,5.622634185165697,5.622634185165697
Gemma4-E4B,prompt_running,41,1,-0.18295437097549438,-0.18295437097549438,-0.18295437097549438,14.183820117330473,14.183820117330473,14.183820117330473,6.586190598295561,6.586190598295561,6.586190598295561
Qwen3-8B,answer_query,0,5,-0.25383824706077573,-0.256403386592865,-0.25238656997680664,0.002452747481637158,0.0010475643440386456,0.003508326946625157,145.72550664397065,97.20007357633833,214.91529987812442
Qwen3-8B,answer_query,1,5,-0.2559007167816162,-0.2598247528076172,-0.2530524432659149,0.013156313832963396,0.00502044916574529,0.02614534722761489,63.258102982210595,40.393042239767965,77.28102797413763
Qwen3-8B,answer_query,2,5,-0.2573841094970703,-0.2633112967014313,-0.2532947063446045,0.03241190001441506,0.016894121938995785,0.050985451622127524,39.574662202999136,27.916224949965105,50.60370147480457
Qwen3-8B,answer_query,3,5,-0.2592308342456818,-0.2707524299621582,-0.25331196188926697,0.05437373860273735,0.024119516177643175,0.08309032422468529,32.43752214749783,24.811138554929126,39.68587008120572
Qwen3-8B,answer_query,4,5,-0.26021071076393126,-0.2726532220840454,-0.2542828917503357,0.06216291492658739,0.030514892610205107,0.11036450347900242,27.590762103719715,22.556048778265033,32.75849379215978
