model_label,role,layer,rows,seeds,population,ss_count,ss_seed_context,ss_count_by_seed_interaction,fraction_count,fraction_seed_context,fraction_count_by_seed_interaction
Gemma4-E4B,prompt_running,8,300,30,discovery,12564.835351148762,8977.484675446856,20110.162090164602,0.3016587418710612,0.21553300593902602,0.4828082521899128
Gemma4-E4B,prompt_running,8,300,30,confirmation,5997.221323157162,5079.391584467669,8349.996848547513,0.30871167941445304,0.2614656725090086,0.4298226480765384
Gemma4-E4B,prompt_running,9,300,30,all,28307.038883105233,15968.72640490545,32078.843672057326,0.3707312403093999,0.20913899792554483,0.42012976176505523
Gemma4-E4B,prompt_running,9,300,30,discovery,19567.882241677984,9810.858349441576,21658.101294460852,0.3834069961763554,0.19223090589023037,0.42436209793341423
Gemma4-E4B,prompt_running,9,300,30,confirmation,9570.97689650696,5674.662142584681,9588.922122516778,0.38538941091911333,0.2284985873379193,0.3861120017429673
Gemma4-E4B,prompt_running,10,300,30,all,48227.05342338758,22920.1209410467,58050.324181158816,0.37328163444564305,0.17740375161333574,0.4493146139410213
Gemma4-E4B,prompt_running,10,300,30,discovery,33389.010562027026,14122.8085283043,38571.22976975228,0.3878697490872607,0.16406027336762924,0.4480699775451102
Gemma4-E4B,prompt_running,10,300,30,confirmation,16432.209301751966,8117.510717093665,17884.927971015117,0.38723566896744954,0.19129440449307478,0.4214699265394756
Gemma4-E4B,prompt_running,11,300,30,all,66022.92081486064,71198.26852602922,73057.19762359653,0.3139786345517819,0.3385905206608504,0.34743084478736774
Gemma4-E4B,prompt_running,11,300,30,discovery,45371.14351219669,46628.69053322076,50862.57642354735,0.31758629413615447,0.326388798706083,0.35602490715776247
Gemma4-E4B,prompt_running,11,300,30,confirmation,22568.42196316527,22332.2178433078,20277.976539547817,0.3462550024589937,0.34263105133668836,0.31111394620431787
Gemma4-E4B,prompt_running,12,300,30,all,79715.3102316523,68834.26644003256,82882.81949237405,0.3444431788847026,0.29742710001255396,0.35812972110274344
Gemma4-E4B,prompt_running,12,300,30,discovery,53820.43102806786,43889.58620896099,56810.96091727944,0.348305011209038,0.28403642491268605,0.367658563878276
Gemma4-E4B,prompt_running,12,300,30,confirmation,28190.22977122286,22815.694467550147,23776.508007456247,0.3769632642918524,0.30509430867970444,0.3179424270284433
Gemma4-E4B,prompt_running,13,300,30,all,101272.5039601079,71418.0484279133,102266.19778615257,0.368321577469751,0.25974284458436797,0.37193557794588117
Gemma4-E4B,prompt_running,13,300,30,discovery,67411.48188315923,44989.03608233064,69100.44142435532,0.3714111600829964,0.24787216681152008,0.3807166731054834
Gemma4-E4B,prompt_running,13,300,30,confirmation,36751.03825098805,24444.51892760047,30275.740187757863,0.4017767246024575,0.267237041907246,0.33098623349029643
Gemma4-E4B,prompt_running,14,300,30,all,106947.60571716115,80930.78568438395,126070.47701774415,0.3406529421674138,0.2577833329735025,0.40156372485908376
Gemma4-E4B,prompt_running,14,300,30,discovery,71383.63546160862,51141.710625847394,85387.38926905712,0.34333459823519386,0.24597680626996435,0.4106885954948419
Gemma4-E4B,prompt_running,14,300,30,confirmation,39141.332604578354,27690.115712786992,37105.725399661256,0.37658646281014246,0.26641205184368894,0.35700148534616866
Gemma4-E4B,prompt_running,15,300,30,all,95725.89292293532,75082.4536367674,137431.6086522066,0.3105564068004277,0.2435844294914642,0.4458591637081082
Gemma4-E4B,prompt_running,15,300,30,discovery,63486.101445677996,48141.81991295437,93640.35848792188,0.30928354587048834,0.2345312190901692,0.4561852350393425
Gemma4-E4B,prompt_running,15,300,30,confirmation,36202.994717043,24889.784639166493,39828.046924499016,0.3587266974642614,0.24662684161875806,0.3946464609169806
Gemma4-E4B,prompt_running,16,300,30,all,138262.08175379035,104433.71870961504,226918.7880054559,0.29441607043039736,0.22238176000901583,0.48320216956058676
Gemma4-E4B,prompt_running,16,300,30,discovery,92274.57711911642,66107.13441142175,154101.64161484657,0.29529437709337797,0.21155409958963484,0.4931515233169873
Gemma4-E4B,prompt_running,16,300,30,confirmation,52413.56856339568,35367.21284690302,66391.08246188749,0.33996844331367976,0.22940121471336472,0.4306303419729555
Gemma4-E4B,prompt_running,17,300,30,all,122545.91992026674,129626.75605393671,236932.07867128158,0.25055147952730694,0.26502861569582026,0.48441990477687275
Gemma4-E4B,prompt_running,17,300,30,discovery,82090.45149228704,80898.25506006757,162481.88079902157,0.252220798691289,0.24855780584784543,0.4992213954608656
Gemma4-E4B,prompt_running,17,300,30,confirmation,46899.62850129202,44785.49021017613,68006.03779894768,0.2936895788479871,0.2804506598163124,0.4258597613357005
Gemma4-E4B,prompt_running,18,300,30,all,121845.67596580142,125070.39846912198,246403.13708895663,0.24699154851362048,0.25352833529992724,0.4994801161864523
Gemma4-E4B,prompt_running,18,300,30,discovery,81817.01301710484,78613.31753974527,169168.74806821355,0.24823192272990546,0.23851194568772466,0.5132561315823699
Gemma4-E4B,prompt_running,18,300,30,confirmation,46361.416852556074,42879.820478281,70901.63511688364,0.2895003451851467,0.2677597811434242,0.442739873671429
Gemma4-E4B,prompt_running,19,300,30,all,129385.16123992145,132541.89379736604,275218.52123131295,0.2408754106079098,0.2467522765766729,0.5123723128154173
Gemma4-E4B,prompt_running,19,300,30,discovery,86209.61626916766,81824.54257651688,185734.86810146595,0.2436889883015296,0.23129368696468908,0.5250173247337814
Gemma4-E4B,prompt_running,19,300,30,confirmation,50688.59675205409,45974.9598905737,81970.60134854676,0.2837564624933512,0.25736936545386296,0.4588741720527858
Gemma4-E4B,prompt_running,20,300,30,all,129460.2642339747,106680.11732866273,239793.94457516176,0.27201287472694613,0.22414881942718964,0.5038383058458642
Gemma4-E4B,prompt_running,20,300,30,discovery,86067.65455249893,66096.74888216936,159784.12491469822,0.27590338383038476,0.21188350921836807,0.5122131069512471
Gemma4-E4B,prompt_running,20,300,30,confirmation,49696.407073962546,36972.32113446591,73706.02226797678,0.309876753830236,0.23053704541791556,0.4595862007518485
Gemma4-E4B,prompt_running,21,300,30,all,108988.50642179161,83134.84996717998,203026.64586225944,0.2758155277764574,0.21038807919409797,0.5137963930294447
Gemma4-E4B,prompt_running,21,300,30,discovery,73228.5829886253,52447.416741440524,133539.00525816888,0.2825013273901679,0.20233171588126625,0.5151669567285658
Gemma4-E4B,prompt_running,21,300,30,confirmation,40891.58681143685,28187.192889134152,64355.97722581999,0.3064537887530654,0.21124325879113762,0.4823029524557971
Gemma4-E4B,prompt_running,22,300,30,all,36984.43183614936,27315.45799994689,79510.32050269957,0.25717528504422216,0.18994101973424327,0.5528836952215346
