model_label,role,layer,algorithm,folds,r2_mean,r2_min,r2_max,mae_mean,mae_min,mae_max,pearson_r_mean,pearson_r_min,pearson_r_max
Gemma4-E4B,answer_query,40,knn5_distance,5,0.7724064954916626,0.6891376241503098,0.8096070136508614,0.9402661090168536,0.8825325998661213,1.0301643514641476,0.9063435227500174,0.8696269955921807,0.9314925401710703
Gemma4-E4B,answer_query,40,ridge,5,0.8744849920272827,0.8289521932601929,0.9206628203392029,0.7444848775863647,0.604584813117981,0.8478971719741821,0.9505654893808455,0.9349423326320041,0.9692401293310365
Gemma4-E4B,answer_query,41,knn5_distance,5,0.7996028887313082,0.6842580822357345,0.8686099293758661,0.8523419297623736,0.7007454443425527,1.0304623192666011,0.9169266919422588,0.87330471323277,0.9466546445076074
Gemma4-E4B,answer_query,41,ridge,5,0.8714873909950256,0.8281660079956055,0.9293776750564575,0.7557795643806458,0.5644873380661011,0.916581928730011,0.9487219249329144,0.9150193677621993,0.9711828827311775
Gemma4-E4B,prompt_running,0,knn5_distance,1,-0.2686145526897925,-0.2686145526897925,-0.2686145526897925,2.693099760196501,2.693099760196501,2.693099760196501,-0.004253084685897083,-0.004253084685897083,-0.004253084685897083
Gemma4-E4B,prompt_running,0,ridge,1,0.024839460849761963,0.024839460849761963,0.024839460849761963,2.3651626110076904,2.3651626110076904,2.3651626110076904,0.2678122415705242,0.2678122415705242,0.2678122415705242
Gemma4-E4B,prompt_running,1,knn5_distance,1,-0.20066373270883653,-0.20066373270883653,-0.20066373270883653,2.657924800480117,2.657924800480117,2.657924800480117,0.050964711327180154,0.050964711327180154,0.050964711327180154
Gemma4-E4B,prompt_running,1,ridge,1,0.08547306060791016,0.08547306060791016,0.08547306060791016,2.3346097469329834,2.3346097469329834,2.3346097469329834,0.3325458846771986,0.3325458846771986,0.3325458846771986
Gemma4-E4B,prompt_running,2,knn5_distance,1,-0.23470800517034185,-0.23470800517034185,-0.23470800517034185,2.7010011486506715,2.7010011486506715,2.7010011486506715,0.055222724204239425,0.055222724204239425,0.055222724204239425
Gemma4-E4B,prompt_running,2,ridge,1,0.014066874980926514,0.014066874980926514,0.014066874980926514,2.400712490081787,2.400712490081787,2.400712490081787,0.2245737602371303,0.2245737602371303,0.2245737602371303
Gemma4-E4B,prompt_running,3,knn5_distance,1,0.0680099892304683,0.0680099892304683,0.0680099892304683,2.3076934381253436,2.3076934381253436,2.3076934381253436,0.3098224226758155,0.3098224226758155,0.3098224226758155
Gemma4-E4B,prompt_running,3,ridge,1,0.10852521657943726,0.10852521657943726,0.10852521657943726,2.2701287269592285,2.2701287269592285,2.2701287269592285,0.3696914215031144,0.3696914215031144,0.3696914215031144
Gemma4-E4B,prompt_running,4,knn5_distance,1,0.1194857523431112,0.1194857523431112,0.1194857523431112,2.236702659871908,2.236702659871908,2.236702659871908,0.36855555303977805,0.36855555303977805,0.36855555303977805
Gemma4-E4B,prompt_running,4,ridge,1,0.19598692655563354,0.19598692655563354,0.19598692655563354,2.0977513790130615,2.0977513790130615,2.0977513790130615,0.4933866944614558,0.4933866944614558,0.4933866944614558
Gemma4-E4B,prompt_running,5,knn5_distance,1,0.27120868166154277,0.27120868166154277,0.27120868166154277,1.9241043780488858,1.9241043780488858,1.9241043780488858,0.752054126470598,0.752054126470598,0.752054126470598
Gemma4-E4B,prompt_running,5,ridge,1,0.7918161749839783,0.7918161749839783,0.7918161749839783,1.0536353588104248,1.0536353588104248,1.0536353588104248,0.8938930885537001,0.8938930885537001,0.8938930885537001
Gemma4-E4B,prompt_running,6,knn5_distance,1,0.2578842554613411,0.2578842554613411,0.2578842554613411,2.0089632930962646,2.0089632930962646,2.0089632930962646,0.7557472469717481,0.7557472469717481,0.7557472469717481
Gemma4-E4B,prompt_running,6,ridge,1,0.7804460525512695,0.7804460525512695,0.7804460525512695,1.0890169143676758,1.0890169143676758,1.0890169143676758,0.8850042367011681,0.8850042367011681,0.8850042367011681
Gemma4-E4B,prompt_running,7,knn5_distance,1,0.3829836299975594,0.3829836299975594,0.3829836299975594,1.7610014852729514,1.7610014852729514,1.7610014852729514,0.730909561047165,0.730909561047165,0.730909561047165
Gemma4-E4B,prompt_running,7,ridge,1,0.7182621359825134,0.7182621359825134,0.7182621359825134,1.2344741821289062,1.2344741821289062,1.2344741821289062,0.8509758686240895,0.8509758686240895,0.8509758686240895
Gemma4-E4B,prompt_running,8,knn5_distance,1,0.2847960538748173,0.2847960538748173,0.2847960538748173,2.0055704137919452,2.0055704137919452,2.0055704137919452,0.6542276483539642,0.6542276483539642,0.6542276483539642
Gemma4-E4B,prompt_running,8,ridge,1,0.5914545655250549,0.5914545655250549,0.5914545655250549,1.4734277725219727,1.4734277725219727,1.4734277725219727,0.7713211950473674,0.7713211950473674,0.7713211950473674
Gemma4-E4B,prompt_running,9,knn5_distance,1,0.373735099556581,0.373735099556581,0.373735099556581,1.840026199076865,1.840026199076865,1.840026199076865,0.6806378971375701,0.6806378971375701,0.6806378971375701
Gemma4-E4B,prompt_running,9,ridge,1,0.7194881439208984,0.7194881439208984,0.7194881439208984,1.248538613319397,1.248538613319397,1.248538613319397,0.8484631378327977,0.8484631378327977,0.8484631378327977
Gemma4-E4B,prompt_running,10,knn5_distance,1,0.4804540470694275,0.4804540470694275,0.4804540470694275,1.6964575692206316,1.6964575692206316,1.6964575692206316,0.7175449488321456,0.7175449488321456,0.7175449488321456
Gemma4-E4B,prompt_running,10,ridge,1,0.7813552618026733,0.7813552618026733,0.7813552618026733,1.1137080192565918,1.1137080192565918,1.1137080192565918,0.8862798241123255,0.8862798241123255,0.8862798241123255
Gemma4-E4B,prompt_running,11,knn5_distance,1,0.427938645137664,0.427938645137664,0.427938645137664,1.6672976550514098,1.6672976550514098,1.6672976550514098,0.743507264709258,0.743507264709258,0.743507264709258
Gemma4-E4B,prompt_running,11,ridge,1,0.8567773103713989,0.8567773103713989,0.8567773103713989,0.8591480851173401,0.8591480851173401,0.8591480851173401,0.9325501363551403,0.9325501363551403,0.9325501363551403
Gemma4-E4B,prompt_running,12,knn5_distance,1,0.5302829213652941,0.5302829213652941,0.5302829213652941,1.5076142689223366,1.5076142689223366,1.5076142689223366,0.7871631666944807,0.7871631666944807,0.7871631666944807
Gemma4-E4B,prompt_running,12,ridge,1,0.8502401113510132,0.8502401113510132,0.8502401113510132,0.8779172301292419,0.8779172301292419,0.8779172301292419,0.9257312904699243,0.9257312904699243,0.9257312904699243
Gemma4-E4B,prompt_running,13,knn5_distance,1,0.5825424668558508,0.5825424668558508,0.5825424668558508,1.4531263113089243,1.4531263113089243,1.4531263113089243,0.8091801372825348,0.8091801372825348,0.8091801372825348
Gemma4-E4B,prompt_running,13,ridge,1,0.8381535410881042,0.8381535410881042,0.8381535410881042,0.9271450042724609,0.9271450042724609,0.9271450042724609,0.917311456369519,0.917311456369519,0.917311456369519
Gemma4-E4B,prompt_running,14,knn5_distance,1,0.6920453287726651,0.6920453287726651,0.6920453287726651,1.2187986467458998,1.2187986467458998,1.2187986467458998,0.8493162974780121,0.8493162974780121,0.8493162974780121
Gemma4-E4B,prompt_running,14,ridge,1,0.8242456912994385,0.8242456912994385,0.8242456912994385,0.9533334970474243,0.9533334970474243,0.9533334970474243,0.9140125943079703,0.9140125943079703,0.9140125943079703
Gemma4-E4B,prompt_running,15,knn5_distance,1,0.6885930076734459,0.6885930076734459,0.6885930076734459,1.260290976539111,1.260290976539111,1.260290976539111,0.832388244927049,0.832388244927049,0.832388244927049
Gemma4-E4B,prompt_running,15,ridge,1,0.8275551795959473,0.8275551795959473,0.8275551795959473,0.9244555830955505,0.9244555830955505,0.9244555830955505,0.9136469176072997,0.9136469176072997,0.9136469176072997
Gemma4-E4B,prompt_running,16,knn5_distance,1,0.7189105052171413,0.7189105052171413,0.7189105052171413,1.1968180400935071,1.1968180400935071,1.1968180400935071,0.8576393487175826,0.8576393487175826,0.8576393487175826
Gemma4-E4B,prompt_running,16,ridge,1,0.83352130651474,0.83352130651474,0.83352130651474,0.9290434122085571,0.9290434122085571,0.9290434122085571,0.9141313092796387,0.9141313092796387,0.9141313092796387
Gemma4-E4B,prompt_running,17,knn5_distance,1,0.6801238124219335,0.6801238124219335,0.6801238124219335,1.2713472338452825,1.2713472338452825,1.2713472338452825,0.8510680446669121,0.8510680446669121,0.8510680446669121
Gemma4-E4B,prompt_running,17,ridge,1,0.7759568095207214,0.7759568095207214,0.7759568095207214,1.0287460088729858,1.0287460088729858,1.0287460088729858,0.8811515354799738,0.8811515354799738,0.8811515354799738
Gemma4-E4B,prompt_running,18,knn5_distance,1,0.6476495809746339,0.6476495809746339,0.6476495809746339,1.3361991738714643,1.3361991738714643,1.3361991738714643,0.8296554808742997,0.8296554808742997,0.8296554808742997
Gemma4-E4B,prompt_running,18,ridge,1,0.8048213720321655,0.8048213720321655,0.8048213720321655,0.9647018313407898,0.9647018313407898,0.9647018313407898,0.8982535259987907,0.8982535259987907,0.8982535259987907
Gemma4-E4B,prompt_running,19,knn5_distance,1,0.6116474051055454,0.6116474051055454,0.6116474051055454,1.420328872381461,1.420328872381461,1.420328872381461,0.8080516304220772,0.8080516304220772,0.8080516304220772
Gemma4-E4B,prompt_running,19,ridge,1,0.8344529867172241,0.8344529867172241,0.8344529867172241,0.9146134853363037,0.9146134853363037,0.9146134853363037,0.9144155041830724,0.9144155041830724,0.9144155041830724
Gemma4-E4B,prompt_running,20,knn5_distance,1,0.6256255102305219,0.6256255102305219,0.6256255102305219,1.3640102548461612,1.3640102548461612,1.3640102548461612,0.8310425104936706,0.8310425104936706,0.8310425104936706
Gemma4-E4B,prompt_running,20,ridge,1,0.8459003567695618,0.8459003567695618,0.8459003567695618,0.8977729082107544,0.8977729082107544,0.8977729082107544,0.9214223079722598,0.9214223079722598,0.9214223079722598
Gemma4-E4B,prompt_running,21,knn5_distance,1,0.638614915136952,0.638614915136952,0.638614915136952,1.345125456033112,1.345125456033112,1.345125456033112,0.8437544517163816,0.8437544517163816,0.8437544517163816
Gemma4-E4B,prompt_running,21,ridge,1,0.8423572778701782,0.8423572778701782,0.8423572778701782,0.9485242366790771,0.9485242366790771,0.9485242366790771,0.9178790619740177,0.9178790619740177,0.9178790619740177
Gemma4-E4B,prompt_running,22,knn5_distance,1,0.7284898303124527,0.7284898303124527,0.7284898303124527,1.1854134694747902,1.1854134694747902,1.1854134694747902,0.8569743148205485,0.8569743148205485,0.8569743148205485
Gemma4-E4B,prompt_running,22,ridge,1,0.8342087268829346,0.8342087268829346,0.8342087268829346,0.968112587928772,0.968112587928772,0.968112587928772,0.9137269747929371,0.9137269747929371,0.9137269747929371
Gemma4-E4B,prompt_running,23,knn5_distance,1,0.528111795164194,0.528111795164194,0.528111795164194,1.541980777790705,1.541980777790705,1.541980777790705,0.7526369574670242,0.7526369574670242,0.7526369574670242
Gemma4-E4B,prompt_running,23,ridge,1,0.7427107095718384,0.7427107095718384,0.7427107095718384,1.1266043186187744,1.1266043186187744,1.1266043186187744,0.8643229282367293,0.8643229282367293,0.8643229282367293
Gemma4-E4B,prompt_running,24,knn5_distance,1,0.6120036604745432,0.6120036604745432,0.6120036604745432,1.3554682617467555,1.3554682617467555,1.3554682617467555,0.785534047872168,0.785534047872168,0.785534047872168
Gemma4-E4B,prompt_running,24,ridge,1,0.759951114654541,0.759951114654541,0.759951114654541,1.0913234949111938,1.0913234949111938,1.0913234949111938,0.8722206918245878,0.8722206918245878,0.8722206918245878
Gemma4-E4B,prompt_running,25,knn5_distance,1,0.5889940299457733,0.5889940299457733,0.5889940299457733,1.4129563992986274,1.4129563992986274,1.4129563992986274,0.7675846043322081,0.7675846043322081,0.7675846043322081
Gemma4-E4B,prompt_running,25,ridge,1,0.6947876214981079,0.6947876214981079,0.6947876214981079,1.273940086364746,1.273940086364746,1.273940086364746,0.8339050807484603,0.8339050807484603,0.8339050807484603
Gemma4-E4B,prompt_running,26,knn5_distance,1,0.5535391111661067,0.5535391111661067,0.5535391111661067,1.5448125679388625,1.5448125679388625,1.5448125679388625,0.7446315826699662,0.7446315826699662,0.7446315826699662
Gemma4-E4B,prompt_running,26,ridge,1,0.6562202572822571,0.6562202572822571,0.6562202572822571,1.3570446968078613,1.3570446968078613,1.3570446968078613,0.8105242153877379,0.8105242153877379,0.8105242153877379
Gemma4-E4B,prompt_running,27,knn5_distance,1,0.553108108476899,0.553108108476899,0.553108108476899,1.5144071794546163,1.5144071794546163,1.5144071794546163,0.7452449607824717,0.7452449607824717,0.7452449607824717
Gemma4-E4B,prompt_running,27,ridge,1,0.6485354900360107,0.6485354900360107,0.6485354900360107,1.382203221321106,1.382203221321106,1.382203221321106,0.8057174814412273,0.8057174814412273,0.8057174814412273
Gemma4-E4B,prompt_running,28,knn5_distance,1,0.4827083040007841,0.4827083040007841,0.4827083040007841,1.5726409725203823,1.5726409725203823,1.5726409725203823,0.7021298836445682,0.7021298836445682,0.7021298836445682
Gemma4-E4B,prompt_running,28,ridge,1,0.6430740356445312,0.6430740356445312,0.6430740356445312,1.371401071548462,1.371401071548462,1.371401071548462,0.8026670608667372,0.8026670608667372,0.8026670608667372
Gemma4-E4B,prompt_running,29,knn5_distance,1,0.45035024131227086,0.45035024131227086,0.45035024131227086,1.6020726403726664,1.6020726403726664,1.6020726403726664,0.6781665758147707,0.6781665758147707,0.6781665758147707
Gemma4-E4B,prompt_running,29,ridge,1,0.5724599361419678,0.5724599361419678,0.5724599361419678,1.5239150524139404,1.5239150524139404,1.5239150524139404,0.7582751717586146,0.7582751717586146,0.7582751717586146
Gemma4-E4B,prompt_running,30,knn5_distance,1,0.34469482893423187,0.34469482893423187,0.34469482893423187,1.7332792411669533,1.7332792411669533,1.7332792411669533,0.623286821196643,0.623286821196643,0.623286821196643
Gemma4-E4B,prompt_running,30,ridge,1,0.6483855247497559,0.6483855247497559,0.6483855247497559,1.3487759828567505,1.3487759828567505,1.3487759828567505,0.8064782845961301,0.8064782845961301,0.8064782845961301
Gemma4-E4B,prompt_running,31,knn5_distance,1,0.4608758146001264,0.4608758146001264,0.4608758146001264,1.630954555068073,1.630954555068073,1.630954555068073,0.6936367829968905,0.6936367829968905,0.6936367829968905
Gemma4-E4B,prompt_running,31,ridge,1,0.6549312472343445,0.6549312472343445,0.6549312472343445,1.3867110013961792,1.3867110013961792,1.3867110013961792,0.811700972017134,0.811700972017134,0.811700972017134
Gemma4-E4B,prompt_running,32,knn5_distance,1,0.45175650107478893,0.45175650107478893,0.45175650107478893,1.6359132104630616,1.6359132104630616,1.6359132104630616,0.697824142518397,0.697824142518397,0.697824142518397
Gemma4-E4B,prompt_running,32,ridge,1,0.6415528059005737,0.6415528059005737,0.6415528059005737,1.4156582355499268,1.4156582355499268,1.4156582355499268,0.805049523608032,0.805049523608032,0.805049523608032
Gemma4-E4B,prompt_running,33,knn5_distance,1,0.379517297897495,0.379517297897495,0.379517297897495,1.7720858313742054,1.7720858313742054,1.7720858313742054,0.6369495456290857,0.6369495456290857,0.6369495456290857
Gemma4-E4B,prompt_running,33,ridge,1,0.6674123406410217,0.6674123406410217,0.6674123406410217,1.3245331048965454,1.3245331048965454,1.3245331048965454,0.8264556944213822,0.8264556944213822,0.8264556944213822
Gemma4-E4B,prompt_running,34,knn5_distance,1,0.4651044506504709,0.4651044506504709,0.4651044506504709,1.6005027363895648,1.6005027363895648,1.6005027363895648,0.701402380334262,0.701402380334262,0.701402380334262
Gemma4-E4B,prompt_running,34,ridge,1,0.6645769476890564,0.6645769476890564,0.6645769476890564,1.3291823863983154,1.3291823863983154,1.3291823863983154,0.8241193171715884,0.8241193171715884,0.8241193171715884
Gemma4-E4B,prompt_running,35,knn5_distance,1,0.48435354169522915,0.48435354169522915,0.48435354169522915,1.5880245282958287,1.5880245282958287,1.5880245282958287,0.7172096160115082,0.7172096160115082,0.7172096160115082
Gemma4-E4B,prompt_running,35,ridge,1,0.6749029159545898,0.6749029159545898,0.6749029159545898,1.280657172203064,1.280657172203064,1.280657172203064,0.8351993800136476,0.8351993800136476,0.8351993800136476
Gemma4-E4B,prompt_running,36,knn5_distance,1,0.492858512882727,0.492858512882727,0.492858512882727,1.5991625312826432,1.5991625312826432,1.5991625312826432,0.7191751237645683,0.7191751237645683,0.7191751237645683
Gemma4-E4B,prompt_running,36,ridge,1,0.6596627831459045,0.6596627831459045,0.6596627831459045,1.3123936653137207,1.3123936653137207,1.3123936653137207,0.8289902196377008,0.8289902196377008,0.8289902196377008
Gemma4-E4B,prompt_running,37,knn5_distance,1,0.5005680087223039,0.5005680087223039,0.5005680087223039,1.5732016324322873,1.5732016324322873,1.5732016324322873,0.7186303863012363,0.7186303863012363,0.7186303863012363
Gemma4-E4B,prompt_running,37,ridge,1,0.6357254981994629,0.6357254981994629,0.6357254981994629,1.3553751707077026,1.3553751707077026,1.3553751707077026,0.8141916088523,0.8141916088523,0.8141916088523
Gemma4-E4B,prompt_running,38,knn5_distance,1,0.4999931393171254,0.4999931393171254,0.4999931393171254,1.5922944482749344,1.5922944482749344,1.5922944482749344,0.7215896890368099,0.7215896890368099,0.7215896890368099
Gemma4-E4B,prompt_running,38,ridge,1,0.6154974102973938,0.6154974102973938,0.6154974102973938,1.3938461542129517,1.3938461542129517,1.3938461542129517,0.7992123094175884,0.7992123094175884,0.7992123094175884
Gemma4-E4B,prompt_running,39,knn5_distance,1,0.46687322154077615,0.46687322154077615,0.46687322154077615,1.683438234232025,1.683438234232025,1.683438234232025,0.6967112957968725,0.6967112957968725,0.6967112957968725
Gemma4-E4B,prompt_running,39,ridge,1,0.6102932691574097,0.6102932691574097,0.6102932691574097,1.4114733934402466,1.4114733934402466,1.4114733934402466,0.7968819987433317,0.7968819987433317,0.7968819987433317
Gemma4-E4B,prompt_running,40,knn5_distance,1,0.48398901149460627,0.48398901149460627,0.48398901149460627,1.6409500775048438,1.6409500775048438,1.6409500775048438,0.7077655837946382,0.7077655837946382,0.7077655837946382
Gemma4-E4B,prompt_running,40,ridge,1,0.6641534566879272,0.6641534566879272,0.6641534566879272,1.3249478340148926,1.3249478340148926,1.3249478340148926,0.8266166184691165,0.8266166184691165,0.8266166184691165
Gemma4-E4B,prompt_running,41,knn5_distance,1,0.429709884702585,0.429709884702585,0.429709884702585,1.706067340579381,1.706067340579381,1.706067340579381,0.670620524551932,0.670620524551932,0.670620524551932
Gemma4-E4B,prompt_running,41,ridge,1,0.6440170407295227,0.6440170407295227,0.6440170407295227,1.3805934190750122,1.3805934190750122,1.3805934190750122,0.8068355786923468,0.8068355786923468,0.8068355786923468
Qwen3-8B,answer_query,0,knn5_distance,5,-0.30757895095553056,-0.5806047875767193,-0.033468336928243136,2.665903083770575,2.3862462961404374,2.9529454150750176,0.13088177797219439,0.04869678248166395,0.26004212757300393
Qwen3-8B,answer_query,0,ridge,5,-13.301297283172607,-24.647438049316406,-2.8454575538635254,8.395506381988525,4.622176647186279,10.38017463684082,0.23317439633614714,0.11658204967898739,0.33713674477376493
Qwen3-8B,answer_query,1,knn5_distance,5,-0.03208464240355964,-0.1845829579503666,0.07289147569543719,2.420311737191041,2.2493147507966964,2.593525793066036,0.23449304815035638,0.055523583211099306,0.37784119420367945
