model_label,role,layer,rows,seeds,fit_population,stable_rank,effective_rank,numeric_rank_90,numeric_rank_95,numeric_rank_99,total_variance_capture_k1,total_variance_capture_k2,total_variance_capture_k3,total_variance_capture_k5,total_variance_capture_k9,total_variance_capture_k16,total_variance_capture_k32,count_eta_squared,centroid_curve_capture_k1,centroid_curve_capture_k2,centroid_curve_capture_k3,centroid_curve_capture_k5,centroid_curve_capture_k9,centroid_curve_capture_k16,centroid_curve_capture_k32
Gemma4-E4B,answer_query,8,200,20,all_available,4.884104498759289,13.3415542258183,13,17,38,0.20474582397940716,0.384040963724809,0.4918198908388587,0.6783731496067495,0.8413502646344935,0.9495413366140347,0.9881177460394522,0.007818919178558047,0.8588448327012631,0.8925362217954809,0.9177853170790361,0.958097439028301,1.0,1.0,1.0
Gemma4-E4B,answer_query,9,200,20,all_available,4.236854214506141,13.038817071923857,12,17,49,0.23602417014401866,0.4031257316979636,0.5071255896759098,0.6875639379127878,0.8503917931759959,0.94694861182974,0.9851438739996458,0.007402773330510852,0.8149545359269272,0.8793149475035034,0.9099281312026813,0.9510941887370115,1.0000000000000002,1.0000000000000002,1.0000000000000002
Gemma4-E4B,answer_query,10,200,20,all_available,4.355172752049215,13.74366722506215,13,17,56,0.2296120170042567,0.3821987473913412,0.5024745018578496,0.6634419680307263,0.8356637910109003,0.9444960597375941,0.9836761591762284,0.007924096015352797,0.8213072493732412,0.8656468025894063,0.9015030789526257,0.9441770325040817,0.9999999999999998,0.9999999999999998,0.9999999999999998
Gemma4-E4B,answer_query,11,200,20,all_available,3.6152490182154993,14.306124946224555,14,18,61,0.27660611895929754,0.3973326944667802,0.4977224009979425,0.6474441275346647,0.8029432460420047,0.9274430664492517,0.9822284558966348,0.0119115372292483,0.8190918263538272,0.9012714513573257,0.9337662445816252,0.9631506408620182,1.0,1.0,1.0
Gemma4-E4B,answer_query,12,200,20,all_available,3.704897238212576,15.053004211125023,15,19,75,0.2699130193641886,0.3895163552228851,0.4893011923602002,0.6323210995074731,0.7838070852867779,0.922304960614764,0.9785721277579443,0.01496993087219982,0.8687531514713519,0.909630207288191,0.9385209700011303,0.9642330623768245,0.9999999999999999,0.9999999999999999,0.9999999999999999
Gemma4-E4B,answer_query,13,200,20,all_available,4.139829384748666,16.1945933434667,15,19,87,0.2415558485777334,0.3703935213777082,0.46180686702252655,0.6049713447383628,0.7721524967405229,0.9181791852528283,0.9754410124218117,0.017833019721166115,0.888111357738061,0.9211671736727235,0.9411922233084846,0.9653555816769859,0.9999999999999999,0.9999999999999999,0.9999999999999999
Gemma4-E4B,answer_query,14,200,20,all_available,4.722227024470118,16.97770343771209,16,19,91,0.21176449052917148,0.35869304080721476,0.45587348451312565,0.6003835176568619,0.7618858565134483,0.9144390246379019,0.9739519260643376,0.025258597308988426,0.9083454899428792,0.9371575307020713,0.9545717644069062,0.9738039803103363,0.9999999999999999,0.9999999999999999,0.9999999999999999
Gemma4-E4B,answer_query,15,200,20,all_available,4.7125997041465935,16.993114264388446,15,20,91,0.21219710197751462,0.36300070265103423,0.4556796206474683,0.5973947296647519,0.760241289191239,0.9138025198091667,0.9742898981845134,0.028322409180672407,0.910601259534508,0.938038982027341,0.9586634266059281,0.9746407122755133,1.0,1.0,1.0
Gemma4-E4B,answer_query,16,200,20,all_available,3.9116667774319835,15.959683364673303,16,19,80,0.2556454976608467,0.395761744459034,0.48361426656218787,0.6068082935544622,0.7662504792339682,0.9149262344640406,0.9767869267731407,0.0460673743921722,0.9481791649956993,0.9665493829125826,0.9752349227164189,0.9866576420090408,0.9999999999999999,0.9999999999999999,0.9999999999999999
Gemma4-E4B,answer_query,17,200,20,all_available,2.837477025947858,11.957351155279536,13,17,49,0.3524257609331482,0.45683197241366325,0.5553099105451582,0.6996072409438285,0.8309324061313708,0.9392412160424213,0.9846911913055705,0.09671807080386809,0.9661428572948276,0.9894996500916956,0.9932735237246468,0.9966336401088198,1.0,1.0,1.0
Gemma4-E4B,answer_query,18,200,20,all_available,3.1440544390911485,13.780208874164565,15,19,53,0.3180606504666853,0.434129769555785,0.5286842977447356,0.6497763229118309,0.7937893098588656,0.9229867663106252,0.9818749118755392,0.1110727134207343,0.9390780292045664,0.9874942479023276,0.9927400139013985,0.9965911392120995,0.9999999999999997,0.9999999999999997,0.9999999999999997
Gemma4-E4B,answer_query,19,200,20,all_available,3.6154225577143504,14.425612693311361,16,21,53,0.276592841925563,0.4560304244426442,0.5492515962137537,0.6605363107639947,0.7938703037616639,0.9088294326727132,0.9772233263682821,0.286689855458246,0.9150571815541105,0.9920876776180557,0.9975854094776845,0.9989328334153795,0.9999999999999999,0.9999999999999999,0.9999999999999999
Gemma4-E4B,answer_query,20,200,20,all_available,2.099916825720009,9.939390282319533,15,21,51,0.4762093373184554,0.5743640067318468,0.6378495953052138,0.7292062173780338,0.8298246247859652,0.9160821551818367,0.9764944377843049,0.4748010450861165,0.9285214737006524,0.9953307593542505,0.9985937347153696,0.9995096629515539,1.0,1.0,1.0
Gemma4-E4B,answer_query,21,200,20,all_available,1.8455582797967065,8.238830327726427,14,21,52,0.5418414638795112,0.6213947332270067,0.6797121867265715,0.7623500174177992,0.8494715005040646,0.9233062816029135,0.9772305599525973,0.5044461849982488,0.9464402350279503,0.9952521919686391,0.9986098358424824,0.999502941397391,1.0,1.0,1.0
Gemma4-E4B,answer_query,22,200,20,all_available,1.9968118448177523,9.076826770202077,14,21,56,0.5007983113658209,0.5968971195914998,0.6729180435529638,0.7609963176781004,0.8443344187202328,0.9209126483442985,0.9750398007340088,0.47135302508238797,0.947697308165788,0.9941158085067441,0.9984600503196543,0.9993728718385994,0.9999999999999999,0.9999999999999999,0.9999999999999999
Gemma4-E4B,answer_query,23,200,20,all_available,2.190208203633253,9.502904284015031,14,21,56,0.45657759766452255,0.6083696933741352,0.6844441191939131,0.7556016575989524,0.8452769605496379,0.9243719656490088,0.9755452945186451,0.4533047201963513,0.9453939845583019,0.9922397046495776,0.9981469266122108,0.9992775263416495,0.9999999999999997,0.9999999999999997,0.9999999999999997
