model_label,role,layer,rows,seeds,fold,rows_test,silhouette_cosine,calinski_harabasz,davies_bouldin
Gemma4-E4B,answer_query,5,200,20,group_fold_0,40,-0.2842063307762146,0.12533440583678418,18.522787259751983
Gemma4-E4B,answer_query,5,200,20,group_fold_1,40,-0.27249589562416077,0.09744214666556805,23.411288392892846
Gemma4-E4B,answer_query,5,200,20,group_fold_2,40,-0.2594664990901947,0.08931931015037797,26.16815678733359
Gemma4-E4B,answer_query,5,200,20,group_fold_3,40,-0.2633153796195984,0.058781799421451265,30.60856131385732
Gemma4-E4B,answer_query,5,200,20,group_fold_4,40,-0.2658671438694,0.04804228938164007,32.987853613311856
Gemma4-E4B,answer_query,6,200,20,group_fold_0,40,-0.266649067401886,0.11072914419216269,21.159972373096622
Gemma4-E4B,answer_query,6,200,20,group_fold_1,40,-0.27629896998405457,0.14889280150806616,19.48084760408533
Gemma4-E4B,answer_query,6,200,20,group_fold_2,40,-0.25798410177230835,0.1144534129165674,25.313380971365547
Gemma4-E4B,answer_query,6,200,20,group_fold_3,40,-0.2563072741031647,0.06243905007119169,29.676610249755704
Gemma4-E4B,answer_query,6,200,20,group_fold_4,40,-0.26559361815452576,0.06999950614314975,25.523939977817435
Gemma4-E4B,answer_query,7,200,20,group_fold_0,40,-0.28568965196609497,0.12309279503812424,16.336131319050804
Gemma4-E4B,answer_query,7,200,20,group_fold_1,40,-0.28495317697525024,0.18668432953967892,16.13631473069746
Gemma4-E4B,answer_query,7,200,20,group_fold_2,40,-0.26576685905456543,0.10530186541756979,21.473441217008123
Gemma4-E4B,answer_query,7,200,20,group_fold_3,40,-0.26229432225227356,0.05703154385894386,26.726956470089515
Gemma4-E4B,answer_query,7,200,20,group_fold_4,40,-0.2610633969306946,0.06777881181622748,25.150404601946217
Gemma4-E4B,answer_query,8,200,20,group_fold_0,40,-0.26102977991104126,0.08805991645400281,15.572633860773564
Gemma4-E4B,answer_query,8,200,20,group_fold_1,40,-0.25992727279663086,0.08612280097242432,17.391869269237038
Gemma4-E4B,answer_query,8,200,20,group_fold_2,40,-0.2651495337486267,0.07118836634090739,22.075382033933373
Gemma4-E4B,answer_query,8,200,20,group_fold_3,40,-0.2595231533050537,0.047862205804661793,23.68706480094742
Gemma4-E4B,answer_query,8,200,20,group_fold_4,40,-0.2648813724517822,0.036419651989854904,25.19845444404924
Gemma4-E4B,answer_query,9,200,20,group_fold_0,40,-0.28524067997932434,0.12397577423172325,15.54738953984872
Gemma4-E4B,answer_query,9,200,20,group_fold_1,40,-0.27085620164871216,0.08274487652176167,18.040280505769342
Gemma4-E4B,answer_query,9,200,20,group_fold_2,40,-0.27990004420280457,0.09010258097886344,18.41913237574361
Gemma4-E4B,answer_query,9,200,20,group_fold_3,40,-0.26771360635757446,0.05015146782609614,21.075800973655898
Gemma4-E4B,answer_query,9,200,20,group_fold_4,40,-0.27885180711746216,0.044977582281640886,24.1717002373218
Gemma4-E4B,answer_query,10,200,20,group_fold_0,40,-0.2783166766166687,0.08840655994011126,18.449381899281498
Gemma4-E4B,answer_query,10,200,20,group_fold_1,40,-0.25688451528549194,0.07325674499533093,21.376403768826343
Gemma4-E4B,answer_query,10,200,20,group_fold_2,40,-0.2765016555786133,0.09749213152386989,19.060829221895684
