model,mode,target,candidate,label,formula,k,parsed_n,seed_cv_mse,seed_cv_se,request_oof_r2,cell_crossfit_r2,cell_fit_r2,leave_N_out_r2,leave_L_out_r2,selection_score,overall_f_p,quality,mean_abs_cell_target,max_abs_cell_target,numeric_formula,fdr_q
Qwen3-4B,enumeration_index,signed_error,N2_L,quadratic N + L,b=\alpha+\beta_1N+\beta_2N^2+\beta_LL_k,4,495,10.912851122161705,6.6324064969297725,-0.03702063755200191,0.33380628756712794,0.33356333246116165,0.17760378896616524,0.047290729513915,0.3038062875671279,0.00029182752119797875,weak,0.37549999999999994,4.3,\bar b=0.612 - 0.178N + 0.00637N^2 + 0.0285L_k,0.0003526249214475577
Qwen3-4B,enumeration_index,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,495,10.043148477397999,6.202975705998153,0.028728370622156385,0.6090696167193808,0.6091079872826555,-0.1986728536192921,0.40009668175123325,0.5790696167193807,1.8012147540008366e-09,moderate,0.4955,9.1,\overline{|b|}=0.334 - 0.0504N - 0.0452L_k + 0.0137NL_k,2.0090472256163175e-09
Qwen3-4B,enumeration_bullet,signed_error,N_L2,N + quadratic L,b=\alpha+\beta_NN+\beta_1L_k+\beta_2L_k^2,4,487,1.4283611774418876,0.570941355805746,-0.0008575826575913936,0.22028537102133583,0.22542649249592517,0.06491629144975997,-0.16575302751124488,0.19028537102133583,0.007536181685391305,weak,0.27649999999999997,2.6,\bar b=-0.173 - 0.0189N + 0.13L_k - 0.00657L_k^2,0.007805331031298137
Qwen3-4B,enumeration_bullet,absolute_error,N_piece10_logL,segmented N at 10 + log₂L,b=\alpha+\beta_NN+\beta_H(N-10)_++\beta_L\log_2L_k,4,487,1.0106895563667055,0.47241803481020395,0.22035960135000732,0.789153719428366,0.7891040585513971,0.7147672113907548,0.7309010106246798,0.759153719428366,1.3754395429225364e-15,moderate,0.3782777777777778,2.6,\overline{|b|}=-0.113 + 0.00152N + 0.0844(N-10)_+ + 0.0895\log_2L_k,2.2159859302640865e-15
Qwen3-4B,native_thinking,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,496,0.8856428336295681,0.40492579650100263,0.12690899058879068,0.8450211861423671,0.8439532650483076,0.7674601737232049,0.5213580049105251,0.8150211861423671,1.3904821392796218e-18,strong,0.1442222222222222,2.888888888888889,\bar b=-0.0977 + 0.0221N + 0.0252L_k - 0.00584NL_k,2.8802844313649307e-18
Qwen3-4B,native_thinking,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,496,0.8247425134886607,0.34669333298843713,0.17198828866862548,0.7503733358157338,0.7500561042565453,0.5692073640677855,0.6018515291454926,0.7203733358157338,6.724401669536203e-14,moderate,0.18022222222222223,2.888888888888889,\overline{|b|}=-0.0257 + 0.00213N - 0.0193L_k + 0.00479NL_k,8.863984018934086e-14
Qwen3-8B,direct,signed_error,N_L2,N + quadratic L,b=\alpha+\beta_NN+\beta_1L_k+\beta_2L_k^2,4,486,4.895872951410752,0.6934201401282292,-0.020127972473029,0.24022742445414635,0.2380300691619157,0.00012165706711342317,-5.598254313336291,0.21022742445414636,0.004315433233888526,weak,0.7265873015873017,4.0,\bar b=-0.227 - 0.0309N + 0.157L_k - 0.0101L_k^2,0.004635094954917306
Qwen3-8B,direct,absolute_error,N_L,N + L,b=\alpha+\beta_NN+\beta_LL_k,3,486,1.920185674544269,0.33499264867728823,0.4804178026505158,0.8671266397982713,0.8667395039537663,0.8536762110190199,0.7909624738260644,0.8521266397982713,2.544777868805081e-21,strong,1.1265873015873016,5.6,\overline{|b|}=-0.553 + 0.156N + 0.0368L_k,5.676812168872873e-21
Qwen3-8B,enumeration_index,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.20676681378696954,0.07487378157335622,0.15452160737430432,0.8621445888451141,0.8621445888451141,0.7640320458257258,0.5368845420658079,0.8321445888451141,8.246630041205026e-20,strong,0.07800000000000001,1.6,\bar b=-0.0414 + 0.0148N + 0.0132L_k - 0.00329NL_k,1.9929355932912146e-19
Qwen3-8B,enumeration_index,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.21234522852536103,0.07885879541199871,0.11491843593023787,0.7664452364521998,0.7664452364521998,0.6258674932972497,0.004934124560707409,0.7364452364521997,1.4395017549052423e-14,moderate,0.07800000000000001,1.6,\overline{|b|}=0.0667 - 0.00969N - 0.0133L_k + 0.00287NL_k,2.0872775446126015e-14
Qwen3-8B,enumeration_bullet,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.8667945187276149,0.2614296187995349,0.44273212222964153,0.7425385900139609,0.7425385900139609,-0.02342859286053356,0.6928535014411122,0.7125385900139609,1.3339587613757795e-13,moderate,0.30200000000000005,5.8,\bar b=0.0177 + 0.00921N + 0.0426L_k - 0.00959NL_k,1.9342402039948803e-13
Qwen3-8B,enumeration_bullet,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.7262499884131348,0.20185013106302413,0.513981285744119,0.7746144781741888,0.7746144781741888,0.11769341431570057,0.7582337376344601,0.7446144781741888,6.378957393708363e-15,moderate,0.34600000000000003,5.8,\overline{|b|}=-0.0685 + 0.017N - 0.0407L_k + 0.00827NL_k,9.736303390396975e-15
Qwen3-8B,native_thinking,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,499,0.2591815022251639,0.09651565771218767,0.1324452220129374,0.8409030914190747,0.8409470018580192,0.7969560498889581,0.34083951737718576,0.8109030914190747,2.1861349946918287e-18,strong,0.07800000000000001,1.5,\bar b=-0.0574 + 0.0135N + 0.0151L_k - 0.00345NL_k,4.2265276564042025e-18
Qwen3-8B,native_thinking,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,499,0.2575125962652949,0.09575445415444321,0.12951625641462827,0.8502541037277931,0.850170264330624,0.805315345987731,0.21662308995607238,0.8202541037277931,5.562618025575549e-19,strong,0.08200000000000002,1.5,\overline{|b|}=0.032 - 0.0111N - 0.00982L_k + 0.00319NL_k,1.0754394849446062e-18
Qwen3-32B,direct,signed_error,N,N,b=\alpha+\beta_NN,2,500,2.970606301814551,0.3315404284574609,0.6557297246707559,0.9034314243478225,0.9034314243478225,0.8925086523467864,0.8681389275751763,0.9034314243478225,5.202907727687897e-26,strong,1.536,10.0,\bar b=-0.919 + 0.276N,1.8860540512868628e-25
Qwen3-32B,direct,absolute_error,N,N,b=\alpha+\beta_NN,2,500,2.9115838620986523,0.31743576973269544,0.6601342262351015,0.908259407646042,0.908259407646042,0.8987688065502624,0.8741446002474469,0.908259407646042,1.5155020039859998e-26,strong,1.556,10.0,\overline{|b|}=-0.898 + 0.276N,5.49369476444925e-26
Qwen3-32B,enumeration_index,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,1.611828783634812,1.5678225371844214,-0.010738534320357873,0.13375834675606235,0.13375834675606235,-0.10951955250634304,-0.01278607227316142,0.10375834675606235,0.08299244755044809,weak,0.07600000000000001,2.8,\bar b=-0.123 + 0.00704N + 0.0282L_k - 0.00181NL_k,0.08299244755044809
Qwen3-32B,enumeration_index,absolute_error,L,L,b=\alpha+\beta_LL_k,2,500,1.604876903386567,1.5635221764105969,-0.009214364382984952,0.09823638323141726,0.09823638323141759,-0.07982294542179669,-0.008964417659332202,0.09823638323141726,0.026665289669753796,weak,0.07600000000000001,2.8,\overline{|b|}=-0.0741 + 0.0188L_k,0.026665289669753796
