model,mode,target,candidate,label,formula,k,parsed_n,seed_cv_mse,seed_cv_se,request_oof_r2,cell_crossfit_r2,cell_fit_r2,leave_N_out_r2,leave_L_out_r2
Qwen3-32B,native_thinking,signed_error,N_L2,N + quadratic L,b=\alpha+\beta_NN+\beta_1L_k+\beta_2L_k^2,4,500,0.03600621635655006,0.011789952552742167,-0.0006173954132417947,0.18268029017910759,0.18268029017910759,-0.0175834755055142,-0.1810873577980885
Qwen3-32B,native_thinking,signed_error,N2_L2,quadratic N + quadratic L,b=\alpha+\beta_1N+\beta_2N^2+\beta_3L_k+\beta_4L_k^2,5,500,0.03607658589284142,0.011825210233082323,-0.0025729739006628005,0.18817007850422807,0.18817007850422807,-0.0036020023534160117,-0.18098218012794853
Qwen3-32B,native_thinking,absolute_error,constant,constant,b=\alpha,1,500,0.03538864197530865,0.011773888814507711,-0.004902373219805023,0.0,0.0,-0.02209697620325657,-0.2771739130434785
Qwen3-32B,native_thinking,absolute_error,N,N,b=\alpha+\beta_NN,2,500,0.03561575340359802,0.01180058146682444,-0.011351471024478199,0.014878866111576516,0.014878866111576516,-0.039084443389082235,-0.32909606934637314
Qwen3-32B,native_thinking,absolute_error,L,L,b=\alpha+\beta_LL_k,2,500,0.03396478876429947,0.010560845426787775,0.03552962391244141,0.45505916766387433,0.45505916766387444,0.36621903115720456,0.17368323737609226
Qwen3-32B,native_thinking,absolute_error,logN,log₂ N,b=\alpha+\beta_N\log_2N,2,500,0.035537522890809775,0.011793032065626078,-0.009130023023903311,0.0012460895869980115,0.0012460895869981226,-0.061876880814151214,-0.30427877108386037
Qwen3-32B,native_thinking,absolute_error,logL,log₂ L,b=\alpha+\beta_L\log_2L_k,2,500,0.034247153004290834,0.010864927621660265,0.027511557124862862,0.34757377658956723,0.3475737765895671,0.27859747960149406,-0.1597670497987118
Qwen3-32B,native_thinking,absolute_error,density,N/L,b=\alpha+\beta_DN/L_k,2,500,0.03522864512891383,0.011657948214749664,-0.0003590734016873931,0.048031965170049484,0.04803196517004904,-0.023728753924103563,-0.2739612181855433
Qwen3-32B,native_thinking,absolute_error,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,500,0.03503804631711032,0.011368951060108715,0.005053205443255271,0.1353487107077196,0.1353487107077196,-0.07016533978651163,-0.02223118919333711
Qwen3-32B,native_thinking,absolute_error,product,NL,b=\alpha+\beta_PNL_k,2,500,0.03497453801252941,0.011022354549757574,0.006856598917270418,0.3534334363726116,0.3534334363726116,0.309655912440027,-0.32640012815110153
Qwen3-32B,native_thinking,absolute_error,log_product,log₂(NL),b=\alpha+\beta_P\log_2(NL_k),2,500,0.034969625160118735,0.011352166621261147,0.006996105176092171,0.16717068728693896,0.16717068728693896,0.0758071877789025,-0.3510528752796278
Qwen3-32B,native_thinking,absolute_error,N_L,N + L,b=\alpha+\beta_NN+\beta_LL_k,3,500,0.03419190019258885,0.010590162527022766,0.029080526107767457,0.46993803377545096,0.46993803377545107,0.34923156397137856,0.12176108107319739
Qwen3-32B,native_thinking,absolute_error,N_logL,N + log₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k,3,500,0.03447426443258022,0.010892792952518915,0.02106245932018913,0.36245264270114363,0.36245264270114386,0.2616100124156685,-0.21168920610160713
Qwen3-32B,native_thinking,absolute_error,logN_L,log₂N + L,b=\alpha+\beta_N\log_2N+\beta_LL_k,3,500,0.034113669679800604,0.010580596833034967,0.03130197410834257,0.4563052572508727,0.4563052572508727,0.3264391265463089,0.1465783793357095
Qwen3-32B,native_thinking,absolute_error,logN_logL,log₂N + log₂L,b=\alpha+\beta_N\log_2N+\beta_L\log_2L_k,3,500,0.034396033919791964,0.010884031081877634,0.02328390732076424,0.34881986617656524,0.34881986617656524,0.23881757499059963,-0.18687190783909524
Qwen3-32B,native_thinking,absolute_error,N_density,N + N/L,b=\alpha+\beta_NN+\beta_DN/L_k,3,500,0.035156353678727326,0.011342713201822976,0.001693727887115859,0.20487431626343144,0.20487431626343122,0.14642010227232383,-0.6703434694465777
Qwen3-32B,native_thinking,absolute_error,L_density,L + N/L,b=\alpha+\beta_LL_k+\beta_DN/L_k,3,500,0.03398052940848574,0.010550227174198018,0.03508264969088648,0.4595020047773778,0.4595020047773778,0.3673179812488876,0.17372169142831506
Qwen3-32B,native_thinking,absolute_error,N_L_density,N + L + N/L,b=\alpha+\beta_NN+\beta_LL_k+\beta_DN/L_k,4,500,0.03441718418527832,0.01065586647467431,0.022683320499820914,0.4720793337684652,0.4720793337684652,0.3088429563786086,0.07942000836171192
Qwen3-32B,native_thinking,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.03474238766267357,0.01062819464018051,0.013448782863653697,0.5472426190805213,0.5472426190805214,0.35699628614948264,-0.04755414129166158
Qwen3-32B,native_thinking,absolute_error,N_logL_interaction,N + log₂L + Nlog₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k+\beta_{NL}N\log_2L_k,4,500,0.03490347968365825,0.01093078339269207,0.00887438426686038,0.40931710890607054,0.40931710890607065,0.2522162499370493,-0.34039389018745014
Qwen3-32B,native_thinking,absolute_error,logN_logL_interaction,log₂N + log₂L + interaction,b=\alpha+\beta_N\log_2N+\beta_L\log_2L_k+\beta_{NL}\log_2N\log_2L_k,4,500,0.03465199642851585,0.010915689917794492,0.01601554894037227,0.35827325686820455,0.35827325686820455,0.17326535302955925,-0.2801162430820725
Qwen3-32B,native_thinking,absolute_error,N_piece10_logL,segmented N at 10 + log₂L,b=\alpha+\beta_NN+\beta_H(N-10)_++\beta_L\log_2L_k,4,500,0.034391932115574,0.010786206882758354,0.023400382906235806,0.40483782749094566,0.40483782749094566,0.3332424229414165,-0.24013484445103872
Qwen3-32B,native_thinking,absolute_error,logN_L_piece5,log₂N + segmented L at 5k,b=\alpha+\beta_N\log_2N+\beta_LL_k+\beta_H(L_k-5)_+,4,500,0.03410263605953406,0.01050869087665672,0.03161528681468495,0.48211112581888227,0.48211112581888216,0.34255174013771883,0.25461519889158923
Qwen3-32B,native_thinking,absolute_error,N_piece10_L_piece5,segmented N at 10 + segmented L at 5k,b=\alpha+\beta_NN+\beta_{NH}(N-10)_++\beta_LL_k+\beta_{LH}(L_k-5)_+,5,500,0.0340985342553161,0.010411165669628802,0.03173176240015607,0.5381290871332627,0.5381290871332627,0.4369765880885351,0.20135226227964553
Qwen3-32B,native_thinking,absolute_error,N2_L,quadratic N + L,b=\alpha+\beta_1N+\beta_2N^2+\beta_LL_k,4,500,0.034239147647190736,0.010551162578663474,0.027738878714483994,0.49922832343439627,0.4992283234343964,0.23887762504579968,0.10505329217591108
Qwen3-32B,native_thinking,absolute_error,N_L2,N + quadratic L,b=\alpha+\beta_NN+\beta_1L_k+\beta_2L_k^2,4,500,0.03431154341096265,0.010493988780244455,0.025683115317962302,0.5075668166639125,0.5075668166639126,0.3607943352789834,0.43220521003606993
Qwen3-32B,native_thinking,absolute_error,N2_L2,quadratic N + quadratic L,b=\alpha+\beta_1N+\beta_2N^2+\beta_3L_k+\beta_4L_k^2,5,500,0.03435879086556452,0.010453744795474068,0.024341467924678506,0.5368571063228578,0.5368571063228578,0.2504403963534054,0.4154974211387845
Gemma4-E4B,direct,signed_error,constant,constant,b=\alpha,1,330,17.216557487276326,1.7747292721283037,-0.004281597846433449,-0.027773120695937736,-0.02215827923765623,-0.2488006190665184,-0.057528245208101625
Gemma4-E4B,direct,signed_error,N,N,b=\alpha+\beta_NN,2,330,5.262972844413129,0.7044437639273087,0.6784435298205496,0.6895902247495387,0.6915469606643398,0.6915233359261149,0.5418910833307553
Gemma4-E4B,direct,signed_error,L,L,b=\alpha+\beta_LL_k,2,330,16.584943662956302,1.690090599260368,0.02999124948128251,0.04350514259078453,0.04767587310739352,-0.1989302504254309,-0.05788150299204253
Gemma4-E4B,direct,signed_error,logN,log₂ N,b=\alpha+\beta_N\log_2N,2,330,7.79203706541288,0.7206659380674556,0.5304245084262539,0.5106540556577441,0.514434900443588,0.25559642740864197,0.3986323535857723
Gemma4-E4B,direct,signed_error,logL,log₂ L,b=\alpha+\beta_L\log_2L_k,2,330,16.408971824483576,1.6378822391698438,0.037989088221997536,0.05675481191736276,0.06072147787606863,-0.18899701590542373,0.0500593293054592
Gemma4-E4B,direct,signed_error,density,N/L,b=\alpha+\beta_DN/L_k,2,330,16.12663670079261,1.6527784234401306,0.05735457881180683,0.019079978933481345,0.027478034711762356,-0.12459377064754285,-0.39104319686582856
Gemma4-E4B,direct,signed_error,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,330,14.85098782599692,1.2723567337595445,0.11721475624638711,0.02262666089952814,0.033060926452758044,-0.3983644268764155,-0.2128294512808484
Gemma4-E4B,direct,signed_error,product,NL,b=\alpha+\beta_PNL_k,2,330,4.013204239714808,0.5213993265962689,0.7496201344944503,0.8107110520963947,0.8116730947477612,0.7725971854545578,0.31059492635291575
Gemma4-E4B,direct,signed_error,log_product,log₂(NL),b=\alpha+\beta_P\log_2(NL_k),2,330,8.342847010874335,0.5756761979783046,0.4910041786317727,0.5139748265929682,0.5176853909353871,0.18820702500710584,0.4038885590781487
