model_label,mode,layer,n_confirmation,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Gemma4-E4B,native_thinking,24,30,16,0.6,0.5999999999999999,0.5,0.36666666666666664,-224265812.36518106,1.6539974212646484,0.43552127480506897,4.8360158018248045,515.6062079918383,6.90151155783624e-08,16.488940289987603,6.77650521993637e-05,1,0.06862289029309766,67.76505219936371
Gemma4-E4B,non_thinking,25,30,16,0.23333333333333334,0.23333333333333334,0.26666666666666666,0.5666666666666667,11787741.194877082,1.4819899797439575,0.7731421589851379,5.005048305650322,341.79211657962463,3.712582361192846e-07,14.806367962242492,3.6637416556477546e-05,1,0.16220600933498996,36.63741655647755
Gemma4-E4B,native_thinking,25,30,16,0.5333333333333333,0.5333333333333332,0.5666666666666667,0.4,110405289.86496024,1.6574325561523438,0.42412281036376953,4.911050579939757,716.3307790567894,1.357003303927108e-07,15.812816835379659,6.761510720849037e-05,1,0.0402407450354044,67.61510720849037
Gemma4-E4B,non_thinking,26,30,16,0.26666666666666666,0.2666666666666667,0.23333333333333334,0.4,8672935.758342892,1.4754693508148193,0.7457650899887085,4.929333728911849,1036.5837308448702,1.3577856494429331e-07,15.812240477105833,3.778985884785652e-05,1,0.0765303534062044,37.78985884785652
Gemma4-E4B,native_thinking,26,30,16,0.4666666666666667,0.4666666666666666,0.5,0.5,-412158751.1337929,1.6828447580337524,0.3897528052330017,5.108907955765414,888.494893962726,8.121178510163698e-08,16.326205463590426,6.840858003497124e-05,1,0.05394504351486748,68.40858003497124
Gemma4-E4B,non_thinking,27,30,16,0.26666666666666666,0.26666666666666666,0.23333333333333334,0.7,-16864894.69220196,1.4990463256835938,0.79412841796875,5.3495764162324,847.5795099375177,3.723089001291327e-08,17.10612704354808,3.452120694518089e-05,1,0.11974422918142102,34.52120694518089
Gemma4-E4B,native_thinking,27,30,16,0.43333333333333335,0.4333333333333333,0.5,0.43333333333333335,-15463168.947023004,1.6265225410461426,0.38723254203796387,5.265918513201895,481.37989527428505,1.7664353854588986e-07,15.549132041529514,6.477964851260185e-05,1,0.03411672244687281,64.77964851260185
Gemma4-E4B,non_thinking,28,30,16,0.23333333333333334,0.2333333333333333,0.26666666666666666,0.6666666666666666,77602760.2728649,1.459354281425476,0.774742066860199,5.605422832122608,977.0287592816933,2.2050195871443456e-08,17.62994435203435,3.209462687373161e-05,1,0.056706143487320226,32.09462687373161
Gemma4-E4B,native_thinking,28,30,16,0.5,0.4999999999999999,0.5,0.4666666666666667,-111784605.93644921,1.6046173572540283,0.37186747789382935,5.330524165836676,2028.6667599598554,1.0556986895002086e-08,18.366477931295872,6.517908975481986e-05,1,0.006078493115766737,65.17908975481987
Gemma4-E4B,non_thinking,29,30,16,0.23333333333333334,0.2333333333333333,0.26666666666666666,0.6,112679326.51761413,1.4865642786026,0.7423135638237,5.544392450444015,232.24600547878075,1.946746606350708e-07,15.451936078723248,2.636410577595234e-05,1,0.09725312168105867,26.36410577595234
