model_label,head_bank,top_n,analysis_population,selection_status,examples,seed_clusters,random_replicates_min,ranked_mean_signed_count_shift,random_mean_signed_count_shift,ranked_minus_random_signed_count_shift,ranked_mean_absolute_count_shift,random_mean_absolute_count_shift,ranked_minus_random_absolute_count_shift,ranked_correct_to_wrong_rate,random_correct_to_wrong_rate,ranked_minus_random_correct_to_wrong,ranked_minus_random_accuracy_delta,ranked_minus_random_absolute_error_delta,ranked_minus_random_prediction_changed,ranked_valid_rate,random_valid_rate,random_overlap_mean,primary_metric,primary_effect,primary_effect_ci95_low,primary_effect_ci95_high,primary_ci95_excludes_zero_positive,effect_seed_clusters,bootstrap_repetitions
Qwen3-8B,broad_aggregation,20,clean_correct_only,discovery_only_unfrozen,40,10,3,0.75,0.008333333333333333,0.7416666666666667,0.8,0.05833333333333333,0.7416666666666667,0.575,0.05833333333333333,0.5166666666666667,-0.5166666666666667,0.7416666666666667,0.5166666666666667,1.0,1.0,2.3333333333333335,ranked_minus_random_correct_to_wrong,0.5166666666666667,0.40650406504065045,0.6333333333333334,True,10,10000
Qwen3-8B,broad_aggregation,21,clean_correct_only,discovery_only_unfrozen,40,10,3,0.8,0.025,0.7750000000000001,0.8,0.15833333333333333,0.6416666666666667,0.575,0.14166666666666666,0.4333333333333333,-0.4333333333333334,0.6416666666666667,0.4333333333333334,1.0,1.0,1.3333333333333333,ranked_minus_random_correct_to_wrong,0.4333333333333333,0.297292401096749,0.5772357723577236,True,10,10000
Qwen3-8B,broad_aggregation,22,clean_correct_only,discovery_only_unfrozen,40,10,3,0.825,0.2333333333333333,0.5916666666666666,0.825,0.26666666666666666,0.5583333333333333,0.6,0.18333333333333332,0.4166666666666667,-0.4166666666666667,0.5583333333333333,0.4166666666666667,1.0,1.0,4.666666666666667,ranked_minus_random_correct_to_wrong,0.4166666666666667,0.2764227642276423,0.5333333333333334,True,10,10000
Qwen3-8B,broad_aggregation,23,clean_correct_only,discovery_only_unfrozen,40,10,3,2.375,0.21666666666666665,2.158333333333333,2.375,0.26666666666666666,2.1083333333333334,0.75,0.20833333333333334,0.5416666666666667,-0.5416666666666667,2.1083333333333334,0.5416666666666667,1.0,1.0,5.333333333333333,ranked_minus_random_correct_to_wrong,0.5416666666666667,0.4848484848484849,0.605263157894737,True,10,10000
Qwen3-8B,broad_aggregation,24,clean_correct_only,discovery_only_unfrozen,40,10,3,2.375,0.09166666666666666,2.2833333333333337,2.375,0.19166666666666665,2.183333333333333,0.75,0.15833333333333333,0.5916666666666667,-0.5916666666666668,2.183333333333333,0.5916666666666668,1.0,1.0,3.3333333333333335,ranked_minus_random_correct_to_wrong,0.5916666666666667,0.5,0.6960784313725491,True,10,10000
Qwen3-8B,broad_aggregation,25,clean_correct_only,discovery_only_unfrozen,40,10,3,2.025,0.075,1.9500000000000004,2.025,0.175,1.8499999999999996,0.725,0.13333333333333333,0.5916666666666667,-0.5916666666666666,1.85,0.5916666666666666,1.0,1.0,3.3333333333333335,ranked_minus_random_correct_to_wrong,0.5916666666666667,0.4916666666666667,0.7027027027027027,True,10,10000
Qwen3-8B,broad_aggregation,26,clean_correct_only,discovery_only_unfrozen,40,10,3,2.0,0.03333333333333334,1.9666666666666668,2.0,0.2,1.8,0.725,0.15833333333333333,0.5666666666666667,-0.5666666666666667,1.8,0.5666666666666667,1.0,1.0,4.666666666666667,ranked_minus_random_correct_to_wrong,0.5666666666666667,0.48717948717948717,0.6576576576576577,True,10,10000
Qwen3-8B,broad_aggregation,27,clean_correct_only,discovery_only_unfrozen,40,10,3,2.1,-0.016666666666666663,2.1166666666666667,2.1,0.08333333333333333,2.0166666666666666,0.725,0.08333333333333333,0.6416666666666667,-0.6416666666666667,2.0166666666666666,0.6416666666666667,1.0,1.0,3.6666666666666665,ranked_minus_random_correct_to_wrong,0.6416666666666667,0.5447154471544716,0.7407407407407408,True,10,10000
Qwen3-8B,broad_aggregation,28,clean_correct_only,discovery_only_unfrozen,40,10,3,2.25,-0.008333333333333331,2.2583333333333337,2.25,0.075,2.175,0.725,0.06666666666666667,0.6583333333333333,-0.6583333333333334,2.175,0.6583333333333334,1.0,1.0,3.3333333333333335,ranked_minus_random_correct_to_wrong,0.6583333333333333,0.5581395348837209,0.7543859649122807,True,10,10000
Qwen3-8B,broad_aggregation,29,clean_correct_only,discovery_only_unfrozen,40,10,3,2.25,-0.008333333333333331,2.2583333333333337,2.25,0.09166666666666665,2.1583333333333337,0.725,0.08333333333333333,0.6416666666666667,-0.6416666666666667,2.1583333333333337,0.6416666666666667,1.0,1.0,4.0,ranked_minus_random_correct_to_wrong,0.6416666666666667,0.5213675213675213,0.75,True,10,10000
Qwen3-8B,broad_aggregation,30,clean_correct_only,discovery_only_unfrozen,40,10,3,2.525,0.14166666666666666,2.3833333333333337,2.525,0.20833333333333331,2.3166666666666664,0.725,0.1833333333333333,0.5416666666666666,-0.5416666666666667,2.3166666666666664,0.5416666666666667,1.0,1.0,6.333333333333333,ranked_minus_random_correct_to_wrong,0.5416666666666666,0.44708672086720874,0.6306306306306306,True,10,10000
Qwen3-8B,broad_aggregation,31,clean_correct_only,discovery_only_unfrozen,40,10,3,2.175,0.09166666666666666,2.0833333333333335,2.175,0.24166666666666664,1.9333333333333336,0.75,0.175,0.575,-0.5750000000000001,1.9333333333333331,0.5750000000000001,1.0,1.0,4.666666666666667,ranked_minus_random_correct_to_wrong,0.575,0.4864864864864865,0.6666666666666666,True,10,10000
Qwen3-8B,broad_aggregation,32,clean_correct_only,discovery_only_unfrozen,40,10,3,2.375,-0.049999999999999996,2.4250000000000003,2.375,0.1333333333333333,2.2416666666666667,0.75,0.125,0.625,-0.6250000000000001,2.2416666666666667,0.6250000000000001,1.0,1.0,3.3333333333333335,ranked_minus_random_correct_to_wrong,0.625,0.55,0.7008547008547009,True,10,10000
Gemma4-E4B,broad_aggregation,1,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.22,-0.06,-0.16,0.22,0.07333333333333332,0.1466666666666667,nan,nan,nan,-0.06666666666666667,0.13333333333333333,0.14666666666666667,1.0,1.0,0.0,ranked_minus_random_absolute_count_shift,0.1466666666666667,0.06000000000000002,0.2333333333333333,True,10,10000
Gemma4-E4B,broad_aggregation,2,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.22,0.04666666666666666,-0.26666666666666666,0.22,0.11333333333333333,0.10666666666666667,nan,nan,nan,-0.04666666666666667,0.13333333333333336,0.10666666666666667,1.0,1.0,0.33333333333333326,ranked_minus_random_absolute_count_shift,0.10666666666666667,0.0066666666666666775,0.21333333333333332,True,10,10000
Gemma4-E4B,broad_aggregation,3,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.22,-0.11333333333333333,-0.10666666666666667,0.22,0.12666666666666665,0.09333333333333334,nan,nan,nan,-0.04000000000000001,0.09333333333333334,0.09333333333333334,1.0,1.0,1.333333333333333,ranked_minus_random_absolute_count_shift,0.09333333333333334,0.026666666666666675,0.16,True,10,10000
Gemma4-E4B,broad_aggregation,4,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.2,-0.08,-0.12,0.2,0.1733333333333333,0.026666666666666675,nan,nan,nan,-0.013333333333333338,0.05333333333333334,0.03333333333333334,1.0,1.0,1.333333333333333,ranked_minus_random_absolute_count_shift,0.026666666666666675,-0.05333333333333333,0.1066666666666667,False,10,10000
Gemma4-E4B,broad_aggregation,5,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.2,-0.02666666666666666,-0.17333333333333337,0.2,0.1733333333333333,0.02666666666666668,nan,nan,nan,-0.020000000000000004,0.06666666666666668,0.03333333333333335,1.0,1.0,2.666666666666666,ranked_minus_random_absolute_count_shift,0.02666666666666668,-0.04016666666666652,0.10666666666666667,False,10,10000
Gemma4-E4B,broad_aggregation,6,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.86,0.03333333333333333,-0.8933333333333333,0.86,0.11333333333333333,0.7466666666666667,nan,nan,nan,-0.26,0.7733333333333334,0.4266666666666667,1.0,1.0,1.333333333333333,ranked_minus_random_absolute_count_shift,0.7466666666666667,0.5266666666666666,0.94,True,10,10000
Gemma4-E4B,broad_aggregation,7,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.86,-0.21333333333333332,-0.6466666666666667,0.86,0.21333333333333332,0.6466666666666667,nan,nan,nan,-0.18,0.6466666666666667,0.3266666666666667,1.0,1.0,2.0,ranked_minus_random_absolute_count_shift,0.6466666666666667,0.44,0.8466666666666666,True,10,10000
