model_label,family,site,protocol,layer,k,held_out_seeds,evidence_scope,mean_control_adjusted_transport,ci95_low,ci95_high,exact_sign_flip_p,positive_seed_fraction,holm_p
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,2,1,5,held_out_only,0.8666666666666666,0.5,1.3,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,2,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,2,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666667,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,3,1,5,held_out_only,0.8666666666666666,0.5,1.2999999999999998,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,3,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,3,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666667,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,4,1,5,held_out_only,0.8666666666666666,0.5,1.2999999999999998,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,4,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,4,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666667,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,5,1,5,held_out_only,0.8666666666666666,0.5,1.2999999999999998,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,5,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,5,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666667,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,6,1,5,held_out_only,0.8666666666666666,0.5,1.2999999999999998,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,6,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,6,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666666,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,7,1,5,held_out_only,0.8666666666666666,0.5,1.3,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,7,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,7,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666667,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,8,1,5,held_out_only,0.8666666666666666,0.5000000000000001,1.25,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,8,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,8,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666667,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,9,1,5,held_out_only,0.8666666666666666,0.5,1.2500000000000002,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,9,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,9,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666667,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,10,1,5,held_out_only,0.8666666666666666,0.5,1.2999999999999998,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,10,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,10,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666667,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,11,1,5,held_out_only,0.8666666666666666,0.5,1.2500000000000002,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,11,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,11,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666667,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,12,1,5,held_out_only,0.8666666666666666,0.5,1.2500000000000002,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,12,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,12,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666667,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,13,1,5,held_out_only,0.8666666666666666,0.5,1.2999999999999998,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,13,3,5,held_out_only,0.7777777777777777,0.7055555555555555,0.85,0.0625,1.0,1.0
Qwen3-8B,answer_patching,answer_query,cumulative_from_layer,13,5,5,held_out_only,0.72,0.6633333333333333,0.7766666666666667,0.0625,1.0,1.0
