model_label,mode,layer,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Gemma4-E4B,non_thinking,2,0.10060491127052358,0.07842745189004006,0.08951618158028182,296,5,16,16,0.08857669357669358,0.14465777465777468,0.19334105549178643,-7.136759148265728,2.4122135639190674,12.476468372344971,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,3,0.10493548665073445,0.09533512097227029,0.10013530381150237,296,5,16,16,0.1604135954135954,0.1641049491049491,0.21629635702900754,-6.649507951033177,2.5564029216766357,11.818982791900634,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,4,0.11884337459078356,0.1030876202203775,0.11096549740558054,296,5,16,16,0.20436351936351932,0.21045454545454545,0.21388610705438268,-6.698174240566701,2.234830379486084,10.44869351387024,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,5,0.22368539955576808,0.23600207325764103,0.22984373640670455,296,5,16,16,0.32645080145080146,0.3358652158652159,0.27974838952610515,-5.532324049674014,1.7593854665756226,6.289171028137207,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,6,0.2631965845648059,0.24284054222234586,0.25301856339357587,296,5,16,16,0.2417111267111267,0.25734468234468233,0.22301722331526766,-6.5166159568754045,1.4706318378448486,6.594252300262451,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,7,0.24256121996359686,0.23055085215276963,0.23655603605818326,296,5,16,16,0.22840528840528843,0.2524037674037674,0.2023437243794125,-6.93910260556605,1.4907735586166382,7.367530488967896,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,8,0.2581897234219216,0.22061287064851087,0.23940129703521623,296,5,16,16,0.3197619047619048,0.24991341991341992,0.2332775745316421,-6.32127008849945,1.7255758047103882,7.397092533111572,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,9,0.24118824322559465,0.22135102816086188,0.23126963569322828,296,5,16,16,0.28266233766233767,0.3175207675207675,0.26757314589262937,-5.725574752684405,2.0516836643218994,7.6677487850189205,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,10,0.23462339637611787,0.24234772483218164,0.23848556060414977,296,5,16,16,0.2327705627705628,0.24852813852813851,0.2594989261306996,-5.858644350273786,1.9794384241104126,7.627925300598145,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,11,0.3267170820691244,0.3770041302509094,0.3518606061600169,296,5,16,16,0.41240025740025743,0.3456803556803557,0.30832257166682925,-5.109946802961227,2.023837089538574,6.564025068283081,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,12,0.35841756721113555,0.38040590890885506,0.3694117380599953,296,5,16,16,0.408049608049608,0.3771276471276471,0.33181650660539347,-4.791020132805371,2.3439276218414307,7.063927125930786,212,10,2,44,16,0.1
