model_label,role,site,population,observations,samples,mean_noise_total_rms,rms_noise_total,parallel_energy_share,orthogonal_energy_share,first_count_axis_energy_share,parallel_plus_orthogonal_error
Qwen3-8B,trace_running,city_span_mean,all_confirmation,12051,2278,1.2161577772349563,1.2290348344342972,0.04697691348513603,0.953023086514864,0.007250864036419868,0.0
Qwen3-8B,trace_running,city_span_mean,correct_only_confirmation,11877,2226,1.2168330886110141,1.2296944342654157,0.04710236779048181,0.9528976322095182,0.007157668798086944,0.0
Qwen3-8B,trace_running,city_start,all_confirmation,12051,2278,0.5658799229336979,0.5693178431290572,0.013472737228167771,0.9865272627718322,0.004001414934997099,0.0
Qwen3-8B,trace_running,city_start,correct_only_confirmation,11877,2226,0.5661711321095779,0.5695976352478608,0.01339735371735175,0.9866026462826483,0.003994605277620017,0.0
Qwen3-8B,trace_running,item_end,all_confirmation,12051,2278,1.7401407115204064,1.7619546360317169,0.11614690300591918,0.8838530969940809,0.03969368737458579,0.0
Qwen3-8B,trace_running,item_end,correct_only_confirmation,11877,2226,1.7397938026299746,1.761658393066789,0.116597870534769,0.883402129465231,0.039745378891422385,0.0
Qwen3-8B,trace_running,item_middle,all_confirmation,12051,2278,0.7686983091057116,0.8625256687431728,0.05512806928125071,0.9448719307187493,0.01549512735822334,0.0
Qwen3-8B,trace_running,item_middle,correct_only_confirmation,11877,2226,0.7691172283888787,0.8641205203205784,0.055310902112234744,0.9446890978877652,0.015508855260541713,0.0
Qwen3-8B,trace_running,item_span_mean,all_confirmation,12051,2278,0.7319602073455195,1.3361181151508215,0.04850037623958588,0.9514996237604141,0.0038094643745909622,0.0
Qwen3-8B,trace_running,item_span_mean,correct_only_confirmation,11877,2226,0.7331435789105224,1.3396106405170403,0.04853560060302206,0.9514643993969779,0.0038096344454354833,0.0
Qwen3-8B,trace_running,item_start,all_confirmation,12051,2278,0.8646897350165751,0.8827094738238636,0.08804258716768101,0.911957412832319,0.035588285062728965,0.0
Qwen3-8B,trace_running,item_start,correct_only_confirmation,11877,2226,0.8648077055628625,0.8829623376469665,0.08838281885363694,0.911617181146363,0.035688402094049464,0.0
Qwen3-8B,trace_running,marker_end,all_confirmation,12051,2278,0.47725448452579877,0.4984024449752128,0.042545079728610664,0.9574549202713893,0.016942695533809695,0.0
Qwen3-8B,trace_running,marker_end,correct_only_confirmation,11877,2226,0.47684609509206427,0.49801211606248375,0.042636789094207934,0.957363210905792,0.017006136930109824,0.0
Qwen3-8B,trace_running,marker_middle,all_confirmation,12051,2278,0.5078270797720648,0.5226671165189164,0.07875248918652536,0.9212475108134747,0.05428557688312811,0.0
Qwen3-8B,trace_running,marker_middle,correct_only_confirmation,11877,2226,0.5078965661786284,0.5228723138067026,0.07913218163166857,0.9208678183683314,0.05454994862009331,0.0
Qwen3-8B,trace_running,marker_span_mean,all_confirmation,12051,2278,0.36294879872031544,0.3813989136642185,0.06216153472605797,0.937838465273942,0.02489042142481072,0.0
Qwen3-8B,trace_running,marker_span_mean,correct_only_confirmation,11877,2226,0.36262945959685466,0.38109824510649004,0.06253973359210414,0.9374602664078958,0.025074341975941848,0.0
Qwen3-8B,trace_running,marker_start,all_confirmation,12051,2278,0.8646897350165751,0.8827094738238636,0.08804258716768101,0.911957412832319,0.035588285062728965,0.0
Qwen3-8B,trace_running,marker_start,correct_only_confirmation,11877,2226,0.8648077055628625,0.8829623376469665,0.08838281885363694,0.911617181146363,0.035688402094049464,0.0
