family,target,candidate,label,formula,k,cells,moderate_cells,strong_cells,median_cell_cv_r2,mean_cell_cv_r2,q25_cell_cv_r2,min_cell_cv_r2,median_cell_cv_rmse,median_cell_cv_mae,median_cell_cv_median_ae,median_cell_cv_nrmse_sd,median_request_oof_r2,median_request_oof_rmse,median_request_oof_mae,median_leave_N_out_r2,median_leave_L_out_r2,min_leave_N_out_r2,min_leave_L_out_r2,moderate_fraction,strong_fraction,selected
Direct,signed_error,L_density,L + N/L,b=\alpha+\beta_LL_k+\beta_DN/L_k,3,7,2,0,0.4555599355098704,0.4010994632028208,0.2842714417823673,0.1832236984982637,2.5591867786172875,1.5354138084311237,0.5706892718576813,0.7302938057835635,0.16853746617370224,2.643979017825908,1.646787953588917,0.29028375062856804,-0.16011305875813697,-0.0969578932331383,-0.6490526675144106,0.2857142857142857,0.0,False
Direct,signed_error,N,N,b=\alpha+\beta_NN,2,7,5,3,0.7520993163829414,0.6492040161915638,0.501073268667442,0.044774703380667025,1.1928154753560494,0.7548158867479355,0.36763664962642445,0.4927894946041573,0.6557297246707559,2.236172815423567,1.1950031097194962,0.6915233359261149,0.5852731020732167,-0.09771620588063534,-0.30992538554247484,0.7142857142857143,0.42857142857142855,False
Direct,signed_error,N2_L,quadratic N + L,b=\alpha+\beta_1N+\beta_2N^2+\beta_LL_k,4,7,6,3,0.776169622177044,0.7345938859006427,0.6807549875784107,0.17957805999791798,0.9842356411997644,0.6456686107056402,0.36976841460265497,0.4682546432536573,0.6647297942352675,2.068422101789023,1.1884885637712743,0.721093181062742,0.5082677736607932,-1.010130702284607,-0.7319028387276303,0.8571428571428571,0.42857142857142855,False
Direct,signed_error,N2_L2,quadratic N + quadratic L,b=\alpha+\beta_1N+\beta_2N^2+\beta_3L_k+\beta_4L_k^2,5,7,6,3,0.7938956357395618,0.7550892761907938,0.7074370426106187,0.24316796578924882,0.9460770048970926,0.6630589287094892,0.43516168217861995,0.44933078321534914,0.6661290206502022,2.0198532411420413,1.2035008072688838,0.7242407420911241,0.060306369472407084,-1.0239090877301944,-5.669143355957345,0.8571428571428571,0.42857142857142855,False
Direct,signed_error,N_L,N + L,b=\alpha+\beta_NN+\beta_LL_k,3,7,6,3,0.7534645774571791,0.717770702401486,0.6494798551141874,0.176631376308643,1.03294985220358,0.7576842160707394,0.5593852946446556,0.4914306536927523,0.660550572248785,2.069263331301101,1.186060710330775,0.6941088970287422,0.5105491645723104,0.016373837044858952,-0.6609074092013942,0.8571428571428571,0.42857142857142855,False
Direct,signed_error,N_L2,N + quadratic L,b=\alpha+\beta_NN+\beta_1L_k+\beta_2L_k^2,4,7,6,3,0.7689859428398078,0.7381572197444078,0.6768801077439515,0.24022742445414635,1.003586491184723,0.7185783679526471,0.6096511469039223,0.4757094539370499,0.6619497986637197,2.0221147824164416,1.2033502815893358,0.6835841594272966,0.055761998980812466,0.00012165706711342317,-5.598254313336291,0.8571428571428571,0.42857142857142855,False
Direct,signed_error,N_L_density,N + L + N/L,b=\alpha+\beta_NN+\beta_LL_k+\beta_DN/L_k,4,7,6,4,0.9146041010549923,0.7610415817127498,0.6588622293996087,0.20519608021838065,0.8964124787476113,0.5908288004891312,0.46024733166048976,0.28928875015476746,0.6519958376615358,1.7328660962655356,1.0079882849042203,0.8829926099219335,0.8487665943658864,-0.1266653924897012,-0.7111659253970624,0.8571428571428571,0.5714285714285714,False
Direct,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,7,6,4,0.9293418819371206,0.7638755583494853,0.6538849098650705,0.21404814295538066,0.9250330174789606,0.547407645385286,0.32011006263790853,0.26314436285358983,0.6615436043848819,1.708929505471116,1.0043501695940258,0.8991883287666663,0.6604019498360467,-0.11093764093683944,-3.0479713526408503,0.8571428571428571,0.5714285714285714,False
Direct,signed_error,N_density,N + N/L,b=\alpha+\beta_NN+\beta_DN/L_k,3,7,5,4,0.9105168732423687,0.7204316081068558,0.602925311155003,0.04294871442996351,0.9196486071645894,0.6434641902413374,0.42263432738799706,0.2961308228173465,0.6502637201829635,1.7371732316042585,1.0055349730359053,0.8878396339554163,0.8524233867367903,-0.3033286552122578,-1.2383260705856247,0.7142857142857143,0.5714285714285714,False
Direct,signed_error,N_lnL,N + ln L,b=\alpha+\beta_NN+\beta_L\ln L_k,3,7,6,3,0.7524461709251666,0.7153331309217362,0.6673104765553852,0.12731622452011626,1.0350811457975961,0.753484455735848,0.6122591039643897,0.4924446264445603,0.6569783744937332,2.0282082456414394,1.1919566062696332,0.684074136361006,0.6321192995776961,-0.03317332787374472,-0.5411506012918594,0.8571428571428571,0.42857142857142855,False
