family,model,mode,target,candidate,term,estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_sign_stability
Enumerate,Qwen3-4B,enumeration_bullet,signed_error,N_L_interaction,NLk,-0.0008524529970340925,-0.0035050285303927257,0.0017643007433924712,0.71
Enumerate,Qwen3-4B,enumeration_index,signed_error,N_L_interaction,intercept,0.184405942558633,-0.08502492541136372,0.5911623557983082,0.7525
Enumerate,Qwen3-4B,enumeration_index,signed_error,N_L_interaction,N,-0.018986442365623166,-0.1040502682605364,0.03839746298141163,0.6425
Enumerate,Qwen3-4B,enumeration_index,signed_error,N_L_interaction,Lk,-0.0088924324252821,-0.12580593305842877,0.08252481563503532,0.52
Enumerate,Qwen3-4B,enumeration_index,signed_error,N_L_interaction,NLk,0.0042024277232818735,-0.008634939718364428,0.023206490564131755,0.6425
Enumerate,Qwen3-8B,enumeration_bullet,signed_error,N_L_interaction,intercept,0.017719373563695854,-0.10691177255787428,0.16174423704334343,0.625
Enumerate,Qwen3-8B,enumeration_bullet,signed_error,N_L_interaction,N,0.009205842986864414,-0.02157583268094587,0.0413550984233266,0.685
Enumerate,Qwen3-8B,enumeration_bullet,signed_error,N_L_interaction,Lk,0.04263794237584488,0.030513165901238638,0.056129218121099896,1.0
Enumerate,Qwen3-8B,enumeration_bullet,signed_error,N_L_interaction,NLk,-0.009589254426313875,-0.012931572368112489,-0.006796739806219861,1.0
Enumerate,Qwen3-8B,enumeration_index,signed_error,N_L_interaction,intercept,-0.0413510975141926,-0.1028100993192313,0.011989571420497485,0.9475
Enumerate,Qwen3-8B,enumeration_index,signed_error,N_L_interaction,N,0.01480802971760337,0.005033269958547826,0.0266623152119928,1.0
Enumerate,Qwen3-8B,enumeration_index,signed_error,N_L_interaction,Lk,0.013190253030144511,0.004111968334253297,0.025828456962267335,1.0
Enumerate,Qwen3-8B,enumeration_index,signed_error,N_L_interaction,NLk,-0.0032859886406409137,-0.00583569936541035,-0.0013486653414481902,1.0
