model_label,role,layer,algorithm,rows,seeds,count_classes,count_class_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,seed_accuracy_sd,chance_accuracy,balanced_accuracy,count_mae,signed_error,pca_components
Qwen3-8B,prompt_running,8,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.3433333333333333,0.3,0.3866666666666667,0.12228664272317623,0.1,0.3433333333333333,1.5233333333333334,-0.5433333333333333,32
Qwen3-8B,prompt_running,9,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5533333333333333,0.5,0.6066666666666667,0.15252661346824675,0.1,0.5533333333333333,0.6333333333333333,0.13333333333333333,32
Qwen3-8B,prompt_running,9,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.46,0.41333333333333333,0.51,0.13796551293211173,0.1,0.45999999999999996,0.94,0.16,32
Qwen3-8B,prompt_running,9,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5433333333333333,0.4966666666666667,0.5933333333333333,0.13817363722139078,0.1,0.5433333333333332,0.72,0.04666666666666667,32
Qwen3-8B,prompt_running,9,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.47,0.4133333333333334,0.5299999999999999,0.1643167672515498,0.1,0.47000000000000003,0.8766666666666667,0.13,32
Qwen3-8B,prompt_running,9,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.51,0.4566666666666667,0.5633333333333332,0.14936647825930088,0.1,0.51,0.8633333333333333,0.016666666666666666,32
Qwen3-8B,prompt_running,9,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.38333333333333336,0.33333333333333337,0.43333333333333335,0.14162440207947152,0.1,0.3833333333333334,1.2833333333333334,-0.51,32
Qwen3-8B,prompt_running,10,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.55,0.5033333333333333,0.5934166666666656,0.1306482511067078,0.1,0.55,0.6666666666666666,0.22,32
Qwen3-8B,prompt_running,10,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.44,0.3966666666666667,0.48666666666666664,0.12757688689165256,0.1,0.44000000000000006,0.92,0.16666666666666666,32
Qwen3-8B,prompt_running,10,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5066666666666667,0.4566666666666668,0.5533333333333333,0.13879613761229795,0.1,0.5066666666666666,0.7766666666666666,0.11,32
Qwen3-8B,prompt_running,10,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.4866666666666667,0.43666666666666665,0.5399999999999998,0.14558640835892123,0.1,0.4866666666666667,0.7933333333333333,0.1,32
Qwen3-8B,prompt_running,10,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.48333333333333334,0.43333333333333335,0.5366666666666666,0.14641305136221772,0.1,0.4833333333333333,0.8966666666666666,0.0033333333333333335,32
Qwen3-8B,prompt_running,10,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.35333333333333333,0.31666666666666676,0.39000000000000007,0.10416609195243758,0.1,0.35333333333333333,1.32,-0.4666666666666667,32
Qwen3-8B,prompt_running,11,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5366666666666666,0.48333333333333334,0.5933333333333333,0.15862193902556446,0.1,0.5366666666666667,0.6666666666666666,0.02666666666666667,32
Qwen3-8B,prompt_running,11,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.4666666666666667,0.4166666666666668,0.52,0.14463588845748157,0.1,0.4666666666666667,0.8866666666666667,0.13333333333333333,32
Qwen3-8B,prompt_running,11,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.52,0.4666666666666667,0.5733333333333334,0.14948186373673195,0.1,0.5199999999999999,0.72,0.11333333333333333,32
