model_label,fixed_grammar,site,layer,states,trajectories,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,adjacent_rank_before_city,city_end,16,398,57,0.4279023625869601,0.35604898448358197,0.3919756735352711,268,5,16,16,0.5211827646038172,0.5230393290919607,0.5885235196614905,-2.3023617639727663,4.0518598556518555,6.88478832244873,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,17,398,57,0.46785626081291715,0.40978307146070303,0.4388196661368101,268,5,16,16,0.5403537690379796,0.5096205256731572,0.6147522691800992,-2.112998595138867,4.105240345001221,6.677877497673035,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,18,398,57,0.4810628845555316,0.4483783577533577,0.4647206211544447,268,5,16,16,0.6085723925197609,0.5513916200758306,0.652635523223693,-1.8532929107502414,4.06755256652832,6.232502555847168,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,19,398,57,0.4670868048073931,0.44844865510306686,0.45776772995522996,268,5,16,16,0.46611143242722186,0.45569629201208156,0.608566375712421,-2.156920467954027,3.9151692390441895,6.433430099487305,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,20,398,57,0.418345288970289,0.4490950454630796,0.43372016721668427,268,5,16,16,0.5338770001927896,0.5229667116509221,0.6523075700013694,-1.855475814794342,3.947766065597534,6.052000999450684,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,21,398,57,0.47011855383178913,0.4930136962567303,0.4815661250442597,268,5,16,16,0.48941552599447335,0.4627951288477604,0.6716894808583153,-1.7283145301284537,4.09680700302124,6.0992573499679565,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,22,398,57,0.41212413260400876,0.46864260402766594,0.44038336831583735,268,5,16,16,0.4996847888953152,0.42584634663582027,0.6477646663252861,-1.8858274517805635,3.67372465133667,5.671387839317322,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,23,398,57,0.3917780026990553,0.4008182606150873,0.3962981316570713,268,5,16,16,0.4756352419510314,0.4408733371891266,0.5755897636226831,-2.3988693822694356,3.757467746734619,6.528030872344971,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,24,398,57,0.4090256939482946,0.3711231313263047,0.39007441263729964,268,5,16,16,0.4852361673414305,0.3896397243107769,0.600344682951314,-2.2159933141173167,3.655308485031128,6.088683032989502,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,25,398,57,0.3791825095985313,0.33978365108976566,0.35948308034414844,268,5,16,16,0.4445269423558898,0.39500120493541546,0.5728934978756868,-2.419261068003692,3.3611557483673096,5.866981840133667,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,26,398,57,0.3284155760819848,0.3230766056985097,0.32574609089024725,268,5,16,16,0.4437461442066706,0.36971105648737235,0.5582271947946938,-2.531890100874739,3.3046250343322754,5.919856762886047,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,27,398,57,0.3608442549309422,0.3365933467404056,0.34871880083567386,268,5,16,16,0.3452624349334875,0.28262250176723863,0.5458223460765197,-2.6294868819880053,3.295665740966797,6.037982439994812,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,28,398,57,0.35613658407582555,0.3031034978093802,0.3296200409426029,268,5,16,16,0.349081357239252,0.2938380406143564,0.5207137117525362,-2.8340098606531305,3.105957269668579,5.964807915687561,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,29,398,57,0.3586571593324689,0.3214949113923572,0.34007603536241304,268,5,16,16,0.37593719876614606,0.3218076441102757,0.4751841239989751,-3.231380776540049,2.861629009246826,6.022147762775421,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,30,398,57,0.29407797869485175,0.31744713562438026,0.305762557159616,268,5,16,16,0.3680231829573935,0.3665194235588972,0.49428436178948393,-3.060231295674839,2.672781467437744,5.407376146316528,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,31,398,57,0.3351302007532657,0.31667068469313053,0.3259004427231981,268,5,16,16,0.3662148158858685,0.3819040389435126,0.5062593238293336,-2.9562696525808194,2.641836643218994,5.218346643447876,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,32,398,57,0.3345514222333108,0.31017200334924794,0.32236171279127934,268,5,16,16,0.2962907268170426,0.36276002506265664,0.5316869216523463,-2.7434402225883985,2.6841232776641846,5.048315405845642,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,33,398,57,0.33629884634915597,0.31079582912787246,0.3235473377385142,268,5,16,16,0.2968076441102757,0.3057299498746867,0.5582446723513328,-2.531754129577487,2.6395134925842285,4.728237676620483,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,34,398,57,0.30691183007165984,0.3275488258731293,0.3172303279723946,268,5,16,16,0.36215538847117795,0.3237750626566416,0.5171775555075898,-2.863603309121219,2.6200978755950928,5.066147685050964,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,35,398,57,0.36592581803301616,0.3207400902331243,0.3433329541330702,268,5,16,16,0.3096628590707538,0.3226327838827839,0.6081232247763231,-2.1600841017128896,2.674081802368164,4.397269654273987,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,0,398,57,0.1438746107979854,0.17031270672911542,0.15709365876355041,268,5,16,16,0.12228166570271834,0.16155292076344707,0.170642037638238,-7.67913971613015,1.0759227275848389,6.305144631862641,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,1,398,57,0.1462947062540716,0.1489402088995742,0.1476174575768229,268,5,16,16,0.12633386350491613,0.09358010410641988,0.1359397102044434,-8.666536602394542,1.090276837348938,8.020296907424926,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,item_end,2,398,57,0.297458280095664,0.22630280767277672,0.26188054388422033,268,5,16,16,0.23828802776171196,0.20311957779063042,0.2536750720375019,-5.957222076244073,2.0390830039978027,8.038168621063232,130,8,4,19,16,0.1
