sweep,site_kind,layer,status,reason,confirmation_states,raw_silhouette,raw_marker_kind_nmi,raw_occurrence_nmi,raw_seed_nmi,raw_mean_trajectory_purity,centered_silhouette,centered_marker_kind_nmi,raw_vs_centered_band_nmi
selected_site_across_layers,item_end,5,ok,,519,0.37982964515686035,0.03852111017859344,0.009473444000672451,0.11927814481425185,0.9871944444444444,0.6816727519035339,0.019371455522742234,3.968268771612864e-05
selected_site_across_layers,item_end,6,ok,,519,0.46388599276542664,0.09946316494960808,0.20555794331578978,0.013885176703282693,0.8335039682539683,0.6677500009536743,0.019209258284696547,0.3620652258510316
selected_site_across_layers,item_end,7,ok,,519,0.44035524129867554,0.07975827817258185,0.16819364444712467,0.026533393827330828,0.8485873015873017,0.6818350553512573,0.018883998107601704,0.2818754918978921
selected_site_across_layers,item_end,8,ok,,519,0.466922789812088,0.10460385024164763,0.21105608622193076,0.015922738122990675,0.8278373015873016,0.672181248664856,0.019695092641521403,0.3955191746339653
selected_site_across_layers,item_end,9,ok,,519,0.47369709610939026,0.10614976460990065,0.2151955427509715,0.01291881265699075,0.827297619047619,0.6682631373405457,0.020178961981071067,0.41621573992338506
selected_site_across_layers,item_end,10,ok,,519,0.5477668046951294,0.12935470521895406,0.3358605994627698,0.0011923039563133048,0.7974404761904763,0.6354759931564331,0.02050071013315923,0.6387416417691576
selected_site_across_layers,item_end,11,ok,,519,0.6393613815307617,0.10161664710056623,0.2095923710389617,0.015721448234673835,0.8244920634920636,0.6640320420265198,0.020178961981071067,0.39786245904346734
selected_site_across_layers,item_end,12,ok,,519,0.5499202013015747,0.09875071160339868,0.24579202257028082,0.009718270813483662,0.8065396825396826,0.636340320110321,0.020178961981071067,0.4686650710254921
selected_site_across_layers,item_end,13,ok,,519,0.560787558555603,0.10115932384249725,0.24838701634918428,0.005921287346983578,0.8025119047619047,0.642926037311554,0.020178961981071067,0.48048766364559414
selected_site_across_layers,item_end,14,ok,,519,0.5448800325393677,0.09348364336286247,0.22976002947118285,0.011114523880725816,0.8169960317460319,0.6219292879104614,0.020178961981071067,0.44290569199201824
selected_site_across_layers,item_end,15,ok,,519,0.5808048844337463,0.09309124627232733,0.21549600737678531,0.014459391684024235,0.8250753968253969,0.6338647603988647,0.020178961981071067,0.4194067964605197
selected_site_across_layers,item_end,16,ok,,519,0.5419486165046692,0.10717369854382541,0.26254606344315934,0.0082229561642925,0.8065515873015873,0.6114075183868408,0.020178961981071067,0.5101582444831878
selected_site_across_layers,item_end,17,ok,,519,0.5803570747375488,0.11583056715394892,0.28479179224489065,0.004632584365090836,0.8048452380952382,0.6206149458885193,0.020661389956494716,0.5743385183915203
