model_label,source_layer,target_layer,normalized_depth,condition,rows,seeds,mean_target_donor_fraction,mean_donor_log_odds_gain,argmax_change_rate,mean_replacement_delta_norm,geometry_discovery_centroid_r2
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_2,40,10,1.799037718772888,13.4265625,0.775,46.99624624252319,0.9999959608202944
Gemma4-E4B,36,37,0.902439024390244,matched_orthogonal,40,10,0.0020469724069698547,1.3640625,0.025,23.49808599948883,0.9999959608202944
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_1,40,10,0.9612820699810982,10.859375,0.625,25.85520087480545,0.999997535323454
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_2,40,10,1.8601005345582962,19.35546875,0.7,51.71047079563141,0.999997535323454
Gemma4-E4B,39,40,0.975609756097561,matched_orthogonal,40,10,0.008141585209523312,1.2765625,0.05,25.855198919773102,0.999997535323454
Gemma4-E4B,40,41,1.0,aligned_dose_1,40,10,0.9515932023525238,10.1359375,0.6,25.14563990831375,0.9999990785995926
Gemma4-E4B,40,41,1.0,aligned_dose_2,40,10,1.7611991316080093,18.6955810546875,0.625,50.29131398200989,0.9999990785995926
Gemma4-E4B,40,41,1.0,matched_orthogonal,40,10,0.03473716964945198,0.70625,0.125,25.14564529657364,0.9999990785995926
Qwen3-8B,0,1,0.0285714285714285,aligned_dose_1,40,10,0.022789758999715564,-0.0125,0.0,0.0011059889133320602,0.9999958077153576
Qwen3-8B,0,1,0.0285714285714285,aligned_dose_2,40,10,0.016198060038732347,-0.0375,0.0,0.0022113707585958353,0.9999958077153576
Qwen3-8B,0,1,0.0285714285714285,matched_orthogonal,40,10,0.01808303556172177,-0.00625,0.0,0.00110599713225379,0.9999958077153576
Qwen3-8B,3,4,0.1142857142857142,aligned_dose_1,40,10,0.14713013833388683,0.0,0.0,0.015675654239021192,0.9999727264112848
Qwen3-8B,3,4,0.1142857142857142,aligned_dose_2,40,10,0.3386947877705097,0.0125,0.0,0.03138526072725649,0.9999727264112848
Qwen3-8B,3,4,0.1142857142857142,matched_orthogonal,40,10,0.015688267110090217,0.0,0.0,0.015678103826940005,0.9999727264112848
