model_label,source_layer,target_layer,normalized_depth,contrast,metric,seeds,pairs_per_seed,mean_contrast,bootstrap_95ci_low,bootstrap_95ci_high,exact_seed_signflip_p_two_sided,seed_effect_min,seed_effect_max,holm_p_within_model_metric_contrast,significant_holm_0_05
Qwen3-8B,7,8,0.2285714285714285,dose_2_minus_dose_1,target_donor_fraction,10,4,0.21159875644370912,0.19334834351437166,0.22717554084956645,0.001953125,0.14518623426556587,0.25298847258090973,0.021484375,True
Qwen3-8B,11,12,0.3428571428571428,dose_2_minus_dose_1,target_donor_fraction,10,4,0.5921664465218782,0.5684969942551106,0.6139757747855038,0.001953125,0.5323459878563881,0.6360926143825054,0.021484375,True
Qwen3-8B,15,16,0.4571428571428571,dose_2_minus_dose_1,target_donor_fraction,10,4,0.6025986529886722,0.5782640102691948,0.6277960052341223,0.001953125,0.535426415503025,0.6678803488612175,0.021484375,True
Qwen3-8B,19,20,0.5714285714285714,dose_2_minus_dose_1,target_donor_fraction,10,4,0.2553264569491148,0.2511721417307854,0.25960073582828047,0.001953125,0.2440216913819313,0.2672749534249306,0.021484375,True
Qwen3-8B,23,24,0.6857142857142857,dose_2_minus_dose_1,target_donor_fraction,10,4,0.7623910024762154,0.7557714625075459,0.7706566002592444,0.001953125,0.7475918233394622,0.7934681624174118,0.021484375,True
Qwen3-8B,27,28,0.8,dose_2_minus_dose_1,target_donor_fraction,10,4,0.6750799939036369,0.6673780088685454,0.6815012715756893,0.001953125,0.6472354084253311,0.6900922805070877,0.021484375,True
Qwen3-8B,28,29,0.8285714285714286,dose_2_minus_dose_1,target_donor_fraction,10,4,0.8609159842133522,0.8423813119530678,0.8790332362055778,0.001953125,0.8127429634332656,0.9026864916086197,0.021484375,True
Qwen3-8B,31,32,0.9142857142857144,dose_2_minus_dose_1,target_donor_fraction,10,4,0.8324677973985672,0.8272678596526385,0.8374980363622307,0.001953125,0.8170676976442338,0.846572607755661,0.021484375,True
Qwen3-8B,34,35,1.0,dose_2_minus_dose_1,target_donor_fraction,10,4,0.8155285462737083,0.809519699215889,0.8216916685178877,0.001953125,0.802647829055786,0.8313506096601486,0.021484375,True
Gemma4-E4B,0,1,0.024390243902439,dose_2_minus_dose_1,donor_log_odds_gain,10,4,-0.0171875,-0.0296875,-0.003125,0.109375,-0.046875,0.03125,0.65625,False
Gemma4-E4B,3,4,0.0975609756097561,dose_2_minus_dose_1,donor_log_odds_gain,10,4,-0.0015625,-0.0265625,0.025,1.0,-0.0625,0.09375,1.0,False
Gemma4-E4B,7,8,0.1951219512195122,dose_2_minus_dose_1,donor_log_odds_gain,10,4,-0.0125,-0.046875,0.028125,0.6484375,-0.0625,0.125,1.0,False
Gemma4-E4B,8,9,0.2195121951219512,dose_2_minus_dose_1,donor_log_odds_gain,10,4,0.003125,-0.0265625,0.0328125,0.91796875,-0.09375,0.09375,1.0,False
