model_label,mode,layer,n_confirmation,n_confirmation_seed_clusters,min_confirmation_per_class,max_confirmation_per_class,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,ncc_balanced_accuracy,class_balanced_snr,class_balanced_snr_db,class_balanced_signal_power,class_balanced_noise_power,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Qwen3-8B,native_thinking,13,92,10,9,10,32,0.5869565217391305,0.5811111111111111,0.4891304347826087,0.47888888888888886,0.11189885473248225,-9.511743583859356,268.1229248046875,2396.1185791015623,0.4891304347826087,847805726.0310489,1.483450174331665,0.5124511122703552,4.03988148801384,150.67989805903858,2.72728826167521e-05,10.509617660175088,7.491899037361145e-05,1,0.3107247338213544,74.91899037361145
Qwen3-8B,non_thinking,14,100,10,10,10,32,0.56,0.5599999999999999,0.45,0.45,1.3900059998265923,1.430166748483093,1612.6566162109375,1160.1796081542968,0.49,-259765131.94595727,1.8794777393341064,0.7165675759315491,4.184327822422068,388.8033305858611,7.784378000162401e-07,14.065976746081729,3.6255613073706626e-05,1,0.7534459936517565,36.25561307370663
Qwen3-8B,native_thinking,14,92,10,9,10,32,0.6956521739130435,0.6900000000000001,0.4891304347826087,0.47888888888888886,0.1350854085543208,-8.69391559390837,322.93157958984375,2390.5733642578125,0.45652173913043476,2542987091.0978613,1.5196744203567505,0.5019210577011108,4.538196656715179,221.01522147079527,2.3245362018666747e-06,12.971990021892445,7.477255789935589e-05,1,0.34052825223450756,74.77255789935589
Qwen3-8B,non_thinking,15,100,10,10,10,32,0.58,0.58,0.5,0.5,1.3956629672292011,1.4478055500313711,1567.289794921875,1122.9715423583984,0.4,-16192893.065294255,1.8467079401016235,0.7255257964134216,4.231864229189965,381.26936400479855,6.86747687192003e-07,14.191298879734976,3.5092860430479045e-05,1,0.8862880109488942,35.09286043047905
Qwen3-8B,native_thinking,15,92,10,9,10,32,0.8043478260869565,0.8011111111111111,0.6847826086956522,0.6799999999999999,0.16091042488612187,-7.934158184003262,379.2113952636719,2356.6614501953127,0.31521739130434784,510420747.88704264,1.3335306644439697,0.4636434316635132,5.102031194783075,183.92815537214054,7.435291729859261e-07,14.111857834444177,7.377859714627265e-05,1,0.377686812940804,73.77859714627266
Qwen3-8B,non_thinking,16,100,10,10,10,32,0.58,0.58,0.46,0.45999999999999996,1.2505913864206455,0.9711543310615162,1526.0550537109375,1220.2667236328125,0.41,-143248505.09014478,1.8640508651733398,0.7485795617103577,4.222026759813762,316.4116574509887,1.5485537771213432e-06,13.378189109610929,3.813333161175251e-05,1,1.159136962180123,38.13333161175251
Qwen3-8B,native_thinking,16,92,10,9,10,32,0.7282608695652174,0.7233333333333333,0.5978260869565217,0.5888888888888888,0.16630362905408336,-7.790982735648083,402.2139587402344,2418.551904296875,0.41304347826086957,-2028281366.8084564,1.4886481761932373,0.49865785241127014,4.692635857705548,154.66019696749194,3.4034819420261924e-06,12.59071154977949,7.565423049032688e-05,1,0.3052535102118928,75.65423049032688
Qwen3-8B,non_thinking,17,100,10,10,10,32,0.52,0.52,0.48,0.48,1.2079943639938828,0.8206490804995854,1435.8572998046875,1188.6291381835938,0.35,2230565398.013662,1.8448429107666016,0.7284951210021973,4.192809916160745,320.0546709166715,1.4845333051969952e-06,13.420410107698208,3.714466294646263e-05,1,0.8958057060566672,37.14466294646263
Qwen3-8B,native_thinking,17,92,10,9,10,32,0.6847826086956522,0.6788888888888889,0.5652173913043478,0.56,0.17402242699285922,-7.593947787771384,437.1732482910156,2512.1661376953125,0.4782608695652174,-1558960304.4483724,1.4552243947982788,0.4593484401702881,4.857553885149966,104.41629333590112,5.929674401076861e-06,12.035541253531758,7.847882501780986e-05,1,0.2880353289315066,78.47882501780987
Qwen3-8B,non_thinking,18,100,10,10,10,32,0.52,0.52,0.49,0.48999999999999994,1.1906387261950373,0.7578000411804436,1431.3697509765625,1202.186456298828,0.44,277314804.39550924,1.8245347738265991,0.7239376902580261,4.355935503300536,263.6351742621993,1.4685522629886107e-06,13.431233497571863,3.756832662224769e-05,1,1.2465507759151573,37.568326622247696
Qwen3-8B,native_thinking,18,92,10,9,10,32,0.75,0.7444444444444445,0.5869565217391305,0.5800000000000001,0.17674067113739284,-7.526635001928725,460.1803283691406,2603.7036376953124,0.45652173913043476,-484487144.4370619,1.396855115890503,0.4917753338813782,5.093044426236286,156.68264548592208,1.8749851931507829e-06,13.18690979555933,8.145146079361438e-05,1,0.32169407918396137,81.45146079361439
Qwen3-8B,non_thinking,19,100,10,10,10,32,0.51,0.51,0.52,0.52,1.3462516181602537,1.29126238317289,1443.6807861328125,1072.3706970214844,0.4,78868477.83134706,1.8187215328216553,0.7341064810752869,4.516946586648503,492.6841498583161,5.134170633935682e-07,14.482177333000967,3.351158559322357e-05,1,0.9455767719948299,33.51158559322357
Qwen3-8B,native_thinking,19,92,10,9,10,32,0.7717391304347826,0.7677777777777777,0.6304347826086957,0.6244444444444446,0.1899028396788257,-7.2146854106801825,467.5126953125,2461.85205078125,0.358695652173913,9555033.59326893,1.4116684198379517,0.47697898745536804,5.258567676155491,331.6123528198076,4.339725961528407e-07,14.650284447344553,7.696139478683472e-05,1,0.22010587314915311,76.96139478683472
Qwen3-8B,non_thinking,20,100,10,10,10,32,0.45,0.45,0.4,0.4,0.987575182781839,-0.05429832183123494,1305.1929931640625,1321.613803100586,0.42,334856361.5640772,1.6582359075546265,0.7251185774803162,4.358423063707772,249.31614818637158,2.679121033153653e-06,12.83002178994018,4.130043223500252e-05,1,1.1122879338911482,41.30043223500252
Qwen3-8B,native_thinking,20,92,10,9,10,32,0.6847826086956522,0.6777777777777777,0.5434782608695652,0.5366666666666667,0.21721893440631646,-6.6310232111920575,487.54656982421875,2244.4938842773436,0.5108695652173914,1835699208.2808375,1.4614298343658447,0.5139715671539307,4.868389439764142,314.1412706900684,1.676001127956999e-06,13.29909988289924,7.029197826981544e-05,1,0.279250673450057,70.29197826981544
