model,layer,head,discovery_seeds,first_span_mass_mean,ten_span_total_mass_mean,first_share_ratio_of_means,first_share_mean_of_rows,other_nine_span_mass_mean,first_minus_other_mean,span_1_mass,span_2_mass,span_3_mass,span_4_mass,span_5_mass,span_6_mass,span_7_mass,span_8_mass,span_9_mass,span_10_mass,ten_span_mass_profile,first_span_absolute_mass_rank
Qwen3-8B,35,6,20,4.433589638210833e-05,0.0003193488102624542,0.13883219525906873,0.13856550439282306,3.0556990431149547e-05,1.3778905950958785e-05,4.433589638210833e-05,1.2092154429410585e-05,1.5183458162937314e-05,1.8996715516550468e-05,2.057393649010919e-05,1.8527476822782773e-05,2.2298807743936776e-05,4.035787569591776e-05,3.5270300577394666e-05,9.171218844130635e-05,"[4.433589638210833e-05, 1.2092154429410585e-05, 1.5183458162937314e-05, 1.8996715516550468e-05, 2.057393649010919e-05, 1.8527476822782773e-05, 2.2298807743936776e-05, 4.035787569591776e-05, 3.5270300577394666e-05, 9.171218844130635e-05]",1027
Qwen3-8B,14,9,20,4.337595411243456e-05,0.0034733196105207753,0.012488327875455995,0.014920554607182168,0.0003811048507120378,-0.00033772889659960324,4.337595411243456e-05,0.00013458314105037062,0.0001595089189322607,0.00013239984905339953,0.00013597733377537224,0.00016852447697601747,0.00016648771015752571,0.000431633760990735,0.0008440290144335449,0.0012567994510391145,"[4.337595411243456e-05, 0.00013458314105037062, 0.0001595089189322607, 0.00013239984905339953, 0.00013597733377537224, 0.00016852447697601747, 0.00016648771015752571, 0.000431633760990735, 0.0008440290144335449, 0.0012567994510391145]",1028
Qwen3-8B,29,28,20,4.323334978835191e-05,0.04444550102070934,0.0009727272456262192,0.0141434424732902,0.004933585296768999,-0.004890351946980647,4.323334978835191e-05,0.00013324968167580665,0.0021876771294046192,0.00014513271762552903,0.00285284082092403,0.0001265966820938047,0.004948628097918117,0.010815889367222553,0.01241703331543249,0.01077521985862404,"[4.323334978835191e-05, 0.00013324968167580665, 0.0021876771294046192, 0.00014513271762552903, 0.00285284082092403, 0.0001265966820938047, 0.004948628097918117, 0.010815889367222553, 0.01241703331543249, 0.01077521985862404]",1029
Qwen3-8B,7,27,20,4.321023689044523e-05,0.0008286321736477475,0.05214646288742097,0.05750845423929498,8.726910408414471e-05,-4.405886719369948e-05,4.321023689044523e-05,3.679579858726356e-05,4.5874058741901536e-05,3.259407146742888e-05,2.0966173997294392e-05,5.2287519156379855e-05,0.00010789654988911934,0.00011408760510676075,0.00017970377739402467,0.00019521638241712936,"[4.321023689044523e-05, 3.679579858726356e-05, 4.5874058741901536e-05, 3.259407146742888e-05, 2.0966173997294392e-05, 5.2287519156379855e-05, 0.00010789654988911934, 0.00011408760510676075, 0.00017970377739402467, 0.00019521638241712936]",1030
Qwen3-8B,18,2,20,4.301141234464012e-05,0.010635227184684482,0.004044240108625019,0.01689179911827101,0.0011769128635933158,-0.0011339014512486757,4.301141234464012e-05,6.703595972794574e-05,0.0006689996219392924,7.229845914480393e-05,0.0005919351087868563,9.616798306524287e-05,0.0010260592665872537,0.002354059772915207,0.002707399615974282,0.0030082599841989577,"[4.301141234464012e-05, 6.703595972794574e-05, 0.0006689996219392924, 7.229845914480393e-05, 0.0005919351087868563, 9.616798306524287e-05, 0.0010260592665872537, 0.002354059772915207, 0.002707399615974282, 0.0030082599841989577]",1031
Qwen3-8B,0,31,20,4.203956540766995e-05,0.004584450640407366,0.009170033381346296,0.011950533928357782,0.000504712341666633,-0.000462672776258963,4.203956540766995e-05,9.544511900685392e-05,0.0002046471387907367,0.00026114921075830465,1.748653341844264e-05,6.324900500951359e-05,0.0011668259746109634,0.0010805494505973456,0.0011287223110912237,0.000524336331716313,"[4.203956540766995e-05, 9.544511900685392e-05, 0.0002046471387907367, 0.00026114921075830465, 1.748653341844264e-05, 6.324900500951359e-05, 0.0011668259746109634, 0.0010805494505973456, 0.0011287223110912237, 0.000524336331716313]",1032
Qwen3-8B,17,31,20,4.13305603842673e-05,0.0023083226505974607,0.01790501876917846,0.020327656634384052,0.0002518880100236882,-0.00021055744963942088,4.13305603842673e-05,4.522820487977697e-05,0.0001544172101660024,0.00014185042032295315,0.00012382948776092916,0.00011721147209300397,0.00025072933598835334,0.0005483313758986696,0.0004396875911638176,0.0004457069919396872,"[4.13305603842673e-05, 4.522820487977697e-05, 0.0001544172101660024, 0.00014185042032295315, 0.00012382948776092916, 0.00011721147209300397, 0.00025072933598835334, 0.0005483313758986696, 0.0004396875911638176, 0.0004457069919396872]",1033
Qwen3-8B,29,21,20,4.130350243940484e-05,0.04606150637609971,0.0008967032493934308,0.04739410647090313,0.0051133558748511455,-0.005072052372411741,4.130350243940484e-05,4.587941875797696e-05,0.00194696872458735,3.94943286664784e-05,0.0028274987609620437,4.397597658680752e-05,0.004397034655266907,0.012970045161091548,0.013138532412995119,0.01061077343474608,"[4.130350243940484e-05, 4.587941875797696e-05, 0.00194696872458735, 3.94943286664784e-05, 0.0028274987609620437, 4.397597658680752e-05, 0.004397034655266907, 0.012970045161091548, 0.013138532412995119, 0.01061077343474608]",1034
Qwen3-8B,30,1,20,4.122819955227896e-05,0.04667387879590024,0.0008833249049766223,0.04326111446559787,0.0051814056218164395,-0.00514017742226416,4.122819955227896e-05,5.642524629365653e-05,0.0030631707511929564,3.626131292548962e-05,0.0035503412901562114,3.3358297696395314e-05,0.0047680137735369495,0.01129423436086654,0.012590239706878493,0.011240605856801266,"[4.122819955227896e-05, 5.642524629365653e-05, 0.0030631707511929564, 3.626131292548962e-05, 0.0035503412901562114, 3.3358297696395314e-05, 0.0047680137735369495, 0.01129423436086654, 0.012590239706878493, 0.011240605856801266]",1035
Qwen3-8B,7,24,20,4.118533106520772e-05,0.0012517851559550762,0.032901277722681165,0.040929313230713756,0.00013451109165442984,-9.332576058922212e-05,4.118533106520772e-05,4.0380417249252784e-05,5.6443287030560894e-05,4.609615175468207e-05,4.7367183378810294e-05,6.085966451792046e-05,8.691620860190596e-05,0.00013263868240755982,0.0002471421961672604,0.0004927560337819159,"[4.118533106520772e-05, 4.0380417249252784e-05, 5.6443287030560894e-05, 4.609615175468207e-05, 4.7367183378810294e-05, 6.085966451792046e-05, 8.691620860190596e-05, 0.00013263868240755982, 0.0002471421961672604, 0.0004927560337819159]",1036
