scope,site,layer,rows,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
all_rank_before,post_marker,18,642,0.7017238044340544,0.6250642011190443,0.6633940027765493,426,5,16,16,0.7427724070697554,0.6548679621630221,0.6485092216760011,-1.880838439522582,5.132490634918213,7.914290904998779,216,9,4,40,16,0.1
all_rank_before,post_marker,19,642,0.6960181037327211,0.5949808827039588,0.64549949321834,426,5,16,16,0.70028934519512,0.6151183323339737,0.6412822604288594,-1.9295077365584057,4.820724964141846,7.5173215627670285,216,9,4,40,16,0.1
all_rank_before,post_marker,20,642,0.6295682588825005,0.5778099713569639,0.6036891151197321,426,5,16,16,0.5808867786765216,0.5051753162259287,0.548642015493927,-2.607109367999188,4.491854190826416,8.187222385406494,216,9,4,40,16,0.1
all_rank_before,post_marker,21,642,0.6140540716286516,0.5492971346433311,0.5816756031359913,426,5,16,16,0.5855040443470918,0.5933553600345901,0.5929873410585424,-2.269545777438372,4.447884559631348,7.500808620452881,216,9,4,40,16,0.1
all_rank_before,post_marker,22,642,0.6307430630146796,0.547717731829574,0.5892303974221268,426,5,16,16,0.5408747251761117,0.542756192970219,0.5893598153989554,-2.2961947918416787,4.372829914093018,7.41962685585022,216,9,4,40,16,0.1
all_rank_before,post_marker,23,642,0.5775418307673947,0.53168753729562,0.5546146840315074,426,5,16,16,0.5467837752950151,0.5468276859318723,0.5378690342688192,-2.693234578250294,4.023428916931152,7.480313348770141,216,9,4,40,16,0.1
all_rank_before,post_marker,24,642,0.44069737017614063,0.43707545123312486,0.43888641070463275,426,5,16,16,0.4365511867322339,0.40124299647048334,0.42782999605312677,-3.687287694052999,3.6207828521728516,8.463134622573852,216,9,4,40,16,0.1
all_rank_before,post_marker,25,642,0.44539506592110534,0.4252163224939099,0.43530569420750764,426,5,16,16,0.4295143840769094,0.4082828875257197,0.4528936894931765,-3.440037306250245,3.6361083984375,8.028613519668578,216,9,4,40,16,0.1
all_rank_before,post_marker,26,642,0.4476608871618823,0.4305339337489382,0.4390974104554103,426,5,16,16,0.42911558424076934,0.42452174670575527,0.42925089778709913,-3.672887878302367,3.505516529083252,8.166591024398803,216,9,4,40,16,0.1
all_rank_before,post_marker,27,642,0.43582464652527675,0.4061306891177524,0.4209776678215146,426,5,16,16,0.4419544997112637,0.3693132126992673,0.40665446239082115,-3.9077445764127945,3.478972911834717,8.555108165740966,216,9,4,40,16,0.1
all_rank_before,post_marker,28,642,0.39048978100011944,0.3860810517189332,0.3882854163595263,426,5,16,16,0.4714988733167492,0.41411159699994,0.3657036953538985,-4.368706511913559,3.2415764331817627,8.8639422416687,216,9,4,40,16,0.1
all_rank_before,post_marker,29,642,0.26481692501562026,0.20868010449793953,0.23674851475677988,426,5,16,16,0.33056909449862737,0.24948851872764916,0.24495306374405457,-6.109171242467777,2.3222477436065674,9.480378437042237,216,9,4,40,16,0.1
all_rank_before,post_marker,30,642,0.27473784426051123,0.2094559595768132,0.24209690191866223,426,5,16,16,0.32611363767474955,0.22299783549783553,0.2351971783066928,-6.285678928560346,2.3822550773620605,10.128757047653199,216,9,4,40,16,0.1
all_rank_before,post_marker,31,642,0.24020034066258078,0.19430413042409947,0.2172522355433401,426,5,16,16,0.2869493237278269,0.2722944961217273,0.23591514196781782,-6.272441834805567,2.2236545085906982,9.425654029846191,216,9,4,40,16,0.1
all_rank_before,post_marker,32,642,0.19073703428739916,0.17185665055495883,0.181296842421179,426,5,16,16,0.352367373618888,0.2780474917239623,0.2550629502819129,-5.933526211890888,2.3905797004699707,9.37250862121582,216,9,4,40,16,0.1
all_rank_before,post_marker,33,642,0.20715785612490611,0.17151586599552102,0.18933686106021358,426,5,16,16,0.3064469488648382,0.25509016379591154,0.266716155196433,-5.739506779727597,2.495570659637451,9.356653547286987,216,9,4,40,16,0.1
all_rank_before,post_marker,34,642,0.167156149301826,0.1379673097309099,0.15256172951636796,426,5,16,16,0.2962891097774662,0.23258717445788385,0.26284338354203723,-5.8030295084015115,2.522331953048706,9.596330404281616,216,9,4,40,16,0.1
all_rank_before,post_marker,35,642,0.18255819345281976,0.14416325302050642,0.1633607232366631,426,5,16,16,0.2846628268532293,0.2022926969830995,0.23868766735394753,-6.221700197804003,2.436575412750244,10.208216619491576,216,9,4,40,16,0.1
adjacent_rank_before_city,pre_marker,0,442,0.48872896290280343,0.39002909153559634,0.43937902721919986,305,5,16,16,0.5179159437054174,0.3315750915750916,0.36983953750162096,-4.319866626713685,2.582380533218384,6.982435005903244,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,1,442,0.6174428390176565,0.5596217861443715,0.588532312581014,305,5,16,16,0.6520011567379989,0.6440755735492577,0.5578544040929584,-2.534791339473259,3.0615742206573486,5.488124138116836,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,2,442,0.6812897037282829,0.55213149188605,0.6167105978071665,305,5,16,16,0.7145103142471564,0.6333815307499517,0.5194574282114595,-2.844500389642465,3.251002073287964,6.258457183837891,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,3,442,0.7057031216301178,0.5697948587669048,0.6377489901985114,305,5,16,16,0.7212020435704647,0.6712203585887797,0.5304902785813777,-2.7532257028695373,3.1731503009796143,5.981542789936066,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,4,442,0.7580752382869469,0.6109096144728731,0.6844924263799099,305,5,16,16,0.8251696549064971,0.6615018315018315,0.557031266299922,-2.5412042708762055,3.2412502765655518,5.81879415512085,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,5,442,0.7053053008618371,0.5847488917454338,0.6450270963036354,305,5,16,16,0.7391690765374975,0.6536996336996337,0.5965488285842094,-2.2435400276181396,3.2011852264404297,5.366174691915512,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,6,442,0.6972094134151009,0.6211792508109671,0.659194332113034,305,5,16,16,0.7171544245228455,0.6737227684596105,0.5869573078496746,-2.3139348587261743,3.231116533279419,5.504857832193375,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,7,442,0.6615805207683864,0.5568149732270494,0.6091977469977179,305,5,16,16,0.6991575091575092,0.5631733179101601,0.6106358402652156,-2.1421770908973765,3.3778281211853027,5.531657165288925,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,8,442,0.6563413546371664,0.5622820072713673,0.6093116809542669,305,5,16,16,0.6412502409870832,0.5319144013880857,0.5933986219378568,-2.2665346658924683,3.440196990966797,5.797446882724762,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,9,442,0.6974962515628473,0.5525003834318533,0.6249983174973504,305,5,16,16,0.6508656256024677,0.5947464815885868,0.6209805335953973,-2.0692201380829873,3.48280668258667,5.608560162782669,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,10,442,0.7637979332042784,0.6468980289234678,0.7053479810638731,305,5,16,16,0.7209890109890109,0.6621245421245421,0.7583178841287623,-1.2014870151462906,4.256483554840088,5.61305969953537,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,11,442,0.8495576142368473,0.7645684375398549,0.8070630258883511,305,5,16,16,0.7868681318681319,0.747985347985348,0.9222030019544825,-0.35173468399256325,5.175593852996826,5.61220668554306,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,12,442,0.9561637569246265,0.9384297667768433,0.9472967618507349,305,5,16,16,0.976923076923077,0.9319230769230769,1.4585306393147808,1.6391555676633778,7.144967555999756,4.898743546009063,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,13,442,0.9828758386717714,0.8674902377868232,0.9251830382292974,305,5,16,16,1.0,0.905,1.4271175052109535,1.5445973328545115,7.372422695159912,5.165953516960144,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,14,442,0.9746109618935707,0.8870396578706536,0.9308253098821122,305,5,16,16,0.9673076923076923,0.9319230769230769,1.3751783135448985,1.3835901494277927,7.077702522277832,5.146752572059631,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,15,442,0.9688851554419576,0.8598603372992791,0.9143727463706184,305,5,16,16,0.9846153846153847,0.8823742047426257,1.2645040212933694,1.0192021479765843,6.372795104980469,5.039758670330047,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,16,442,0.763529643666148,0.730838835159578,0.7471842394128629,305,5,16,16,0.8267582417582418,0.7362271062271062,0.9003517524273296,-0.4558778579056765,5.1609907150268555,5.732193779945374,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,17,442,0.7993812627874629,0.7558538469586977,0.7776175548730804,305,5,16,16,0.8991324465008675,0.811062271062271,0.9444648897644811,-0.24814182225963669,5.835408687591553,6.178534269332886,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,18,442,0.8467745670071926,0.7595500180847428,0.8031622925459676,305,5,16,16,0.8635164835164835,0.7852978600347023,1.016372938552881,0.07053093220505417,5.831007480621338,5.737074708938598,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,19,442,0.7997014240419957,0.7298232652885166,0.7647623446652562,305,5,16,16,0.8143956043956043,0.7667765567765568,0.97140896300733,-0.1259789369120317,5.505034446716309,5.667061614990234,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,20,442,0.7934478540092265,0.7132738338764357,0.7533608439428311,305,5,16,16,0.7887295160979371,0.6704626951995374,0.8945955653368626,-0.48373259030009824,5.317023277282715,5.943493890762329,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,21,442,0.7757646066429982,0.7559270164083484,0.7658458115256732,305,5,16,16,0.8420146520146521,0.724107383844226,0.9420261624292009,-0.2593703559262656,5.423157691955566,5.756907725334168,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,22,442,0.8274139267705791,0.7605529012489646,0.7939834140097719,305,5,16,16,0.9272527472527473,0.8172276845961056,1.1282573668661575,0.5240817789249458,6.26578426361084,5.553506183624267,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,23,442,0.9836283643892338,0.9560547318506647,0.9698415481199493,305,5,16,16,1.0,0.9947368421052631,1.8922086915001561,2.7696903300064224,8.75306224822998,4.625844013690949,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,24,442,0.9436283643892338,0.9002162225338944,0.9219222934615641,305,5,16,16,0.9947368421052631,0.9947368421052631,1.9059167107810064,2.801039178980238,8.665499687194824,4.546630835533142,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,25,442,0.9454761904761904,0.9292069057637079,0.9373415481199492,305,5,16,16,1.0,0.9947368421052631,2.156243603249486,3.3369782403354824,9.698806762695312,4.498010683059692,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,26,442,0.9622503840245777,0.906706905763708,0.9344786448941429,305,5,16,16,1.0,1.0,2.1311367175951457,3.2861131165346174,9.653327941894531,4.529661500453949,137,8,4,21,16,0.1
adjacent_rank_before_city,pre_marker,27,442,0.957902557937621,0.900511253589795,0.929206905763708,305,5,16,16,1.0,1.0,2.1044630898967833,3.231413130753806,9.61634349822998,4.569499719142914,137,8,4,21,16,0.1
