target,model_label,prompt_mode,outer_seed,selection_rule,selected_spec,selected_label,inner_loss,inner_fold_se,best_inner_loss
exact,Qwen3-8B,direct,1235,best,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.3946670957371058,0.054393063942562235,0.3946670957371058
exact,Qwen3-8B,direct,1236,best,quadratic_surface__identity__logistic__0.03,Quadratic log surface; ridge=0.03,0.3138712690332214,0.05363952051640846,0.3138712690332214
exact,Qwen3-8B,direct,1237,best,quadratic_log_needles__identity__logistic__0.03,Log T + curved log N; ridge=0.03,0.3287762955094556,0.05279364257323973,0.3287762955094556
exact,Qwen3-8B,direct,1238,best,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.39798397806223157,0.08681506856034635,0.39798397806223157
bias,Qwen3-8B,direct,1234,one_se,log_interaction__asinh__ridge__0.001,Log T x log N; asinh + ridge,1.7489623831624586,0.15153590209341553,1.7489623831624586
bias,Qwen3-8B,direct,1235,one_se,log_interaction__asinh__ridge__0.001,Log T x log N; asinh + ridge,1.6592778110910946,0.08989685378823173,1.6512600465928216
bias,Qwen3-8B,direct,1236,one_se,log_interaction__asinh__ridge__0.001,Log T x log N; asinh + ridge,1.6599074564298073,0.15661323858975232,1.6029765533160403
bias,Qwen3-8B,direct,1237,one_se,log_needles_only__asinh__huber__0.01,Log N only; asinh + Huber,1.9475156030897751,0.15915335235948513,1.7767151074860756
bias,Qwen3-8B,direct,1238,one_se,log_interaction__asinh__ridge__0.001,Log T x log N; asinh + ridge,1.78906634005349,0.13003961661469865,1.7601931622393887
bias,Qwen3-8B,direct,1234,best,log_interaction__asinh__ridge__0.001,Log T x log N; asinh + ridge,1.7489623831624586,0.15153590209341553,1.7489623831624586
bias,Qwen3-8B,direct,1235,best,log_interaction__asinh__huber__0.01,Log T x log N; asinh + Huber,1.6512600465928216,0.06375317102191329,1.6512600465928216
bias,Qwen3-8B,direct,1236,best,length_specific_piecewise_n__asinh__huber__0.01,T-specific piecewise N; asinh + Huber,1.6029765533160403,0.22005742045108967,1.6029765533160403
bias,Qwen3-8B,direct,1237,best,log_interaction__asinh__ridge__0.001,Log T x log N; asinh + ridge,1.7767151074860756,0.203244220055566,1.7767151074860756
bias,Qwen3-8B,direct,1238,best,log_interaction__asinh__huber__0.01,Log T x log N; asinh + Huber,1.7601931622393887,0.09625712581631472,1.7601931622393887
absolute_error,Qwen3-8B,direct,1234,one_se,log_separable__sqrt__huber__0.01,Log T + log N; sqrt + Huber,1.6563358253682723,0.14820551121649161,1.5339317894749582
absolute_error,Qwen3-8B,direct,1235,one_se,log_needles_only__log1p__ridge__0.001,Log N only; log1p + ridge,1.4664388924357035,0.18846166529154157,1.379700763150153
absolute_error,Qwen3-8B,direct,1236,one_se,log_interaction__log1p__ridge__0.001,Log T x log N; log1p + ridge,1.4365235822622153,0.13410427656042617,1.2720886128251339
absolute_error,Qwen3-8B,direct,1237,one_se,log_needles_only__log1p__ridge__0.001,Log N only; log1p + ridge,1.5294355575890528,0.2179252546395321,1.4080776820813268
absolute_error,Qwen3-8B,direct,1238,one_se,log_needles_only__log1p__ridge__0.001,Log N only; log1p + ridge,1.5842518266339647,0.21288240716050053,1.4227491984119731
absolute_error,Qwen3-8B,direct,1234,best,log_interaction__sqrt__huber__0.01,Log T x log N; sqrt + Huber,1.5339317894749582,0.12311344496571501,1.5339317894749582
absolute_error,Qwen3-8B,direct,1235,best,log_interaction__sqrt__huber__0.01,Log T x log N; sqrt + Huber,1.379700763150153,0.11618103631358986,1.379700763150153
absolute_error,Qwen3-8B,direct,1236,best,quadratic_surface__sqrt__huber__0.01,Quadratic log surface; sqrt + Huber,1.2720886128251339,0.2140395502902307,1.2720886128251339
absolute_error,Qwen3-8B,direct,1237,best,log_interaction__sqrt__huber__0.01,Log T x log N; sqrt + Huber,1.4080776820813268,0.19181141331423138,1.4080776820813268
absolute_error,Qwen3-8B,direct,1238,best,length_specific_piecewise_n__sqrt__huber__0.01,T-specific piecewise N; sqrt + Huber,1.4227491984119731,0.22502317917308648,1.4227491984119731
exact,Qwen3-8B,enumeration,1234,one_se,constant__identity__logistic__0.3,Constant; ridge=0.3,0.22370292911178627,0.10092941823934518,0.20363977717377774
exact,Qwen3-8B,enumeration,1235,one_se,constant__identity__logistic__0.3,Constant; ridge=0.3,0.22370292911178627,0.10092941823934518,0.19575085709685533
exact,Qwen3-8B,enumeration,1236,one_se,constant__identity__logistic__0.3,Constant; ridge=0.3,0.22370292911178627,0.10092941823934518,0.21182859624837239
exact,Qwen3-8B,enumeration,1237,one_se,constant__identity__logistic__0.3,Constant; ridge=0.3,0.11978392501817889,0.02824409307963359,0.11476704542237165
exact,Qwen3-8B,enumeration,1238,one_se,constant__identity__logistic__0.3,Constant; ridge=0.3,0.23794988159607222,0.08051639680065989,0.21827737779938158
exact,Qwen3-8B,enumeration,1234,best,quadratic_surface__identity__logistic__0.3,Quadratic log surface; ridge=0.3,0.20363977717377774,0.08553902584770559,0.20363977717377774
exact,Qwen3-8B,enumeration,1235,best,semi_log_needles__identity__logistic__0.3,Log T + linear N; ridge=0.3,0.19575085709685533,0.09069198633803231,0.19575085709685533
exact,Qwen3-8B,enumeration,1236,best,semi_log_needles__identity__logistic__0.3,Log T + linear N; ridge=0.3,0.21182859624837239,0.08940843162698359,0.21182859624837239
exact,Qwen3-8B,enumeration,1237,best,log_length_only__identity__logistic__0.3,Log T only; ridge=0.3,0.11476704542237165,0.02719668222755271,0.11476704542237165
exact,Qwen3-8B,enumeration,1238,best,semi_log_needles__identity__logistic__0.3,Log T + linear N; ridge=0.3,0.21827737779938158,0.07037734206611941,0.21827737779938158
bias,Qwen3-8B,enumeration,1234,one_se,constant__asinh__huber__0.01,Constant; asinh + Huber,0.05000006654280848,0.028867497880005106,0.05000006647373359
bias,Qwen3-8B,enumeration,1235,one_se,constant__asinh__huber__0.01,Constant; asinh + Huber,0.04201686390422283,0.03154947470523413,0.04201686390422283
bias,Qwen3-8B,enumeration,1236,one_se,constant__asinh__huber__0.01,Constant; asinh + Huber,0.04201686390422284,0.03154947470523413,0.04201686390422284
bias,Qwen3-8B,enumeration,1237,one_se,constant__asinh__huber__0.01,Constant; asinh + Huber,0.016806745125563946,0.009622499729554718,0.016806745125563946
bias,Qwen3-8B,enumeration,1238,one_se,constant__asinh__huber__0.01,Constant; asinh + Huber,0.050420234870086435,0.02886749785739974,0.05042023453222324
bias,Qwen3-8B,enumeration,1234,best,log_length_only__asinh__huber__0.01,Log T only; asinh + Huber,0.05000006647373359,0.02886749669703272,0.05000006647373359
bias,Qwen3-8B,enumeration,1235,best,constant__asinh__huber__0.01,Constant; asinh + Huber,0.04201686390422283,0.03154947470523413,0.04201686390422283
bias,Qwen3-8B,enumeration,1236,best,constant__asinh__huber__0.01,Constant; asinh + Huber,0.04201686390422284,0.03154947470523413,0.04201686390422284
bias,Qwen3-8B,enumeration,1237,best,constant__asinh__huber__0.01,Constant; asinh + Huber,0.016806745125563946,0.009622499729554718,0.016806745125563946
bias,Qwen3-8B,enumeration,1238,best,log_length_only__asinh__huber__0.01,Log T only; asinh + Huber,0.05042023453222324,0.028867496998865386,0.05042023453222324
absolute_error,Qwen3-8B,enumeration,1234,one_se,constant__log1p__huber__0.01,Constant; log1p + Huber,0.050000066542811174,0.02886749788000424,0.05000000000000539
absolute_error,Qwen3-8B,enumeration,1235,one_se,constant__log1p__ridge__0.001,Constant; log1p + ridge,0.07048568174781285,0.023599910718597343,0.0420168067226932
absolute_error,Qwen3-8B,enumeration,1236,one_se,constant__log1p__ridge__0.001,Constant; log1p + ridge,0.07048568174781286,0.023599910718597343,0.0420168067226932
absolute_error,Qwen3-8B,enumeration,1237,one_se,constant__log1p__huber__0.01,Constant; log1p + Huber,0.01680674512556422,0.009622499729554606,0.016806722689076212
absolute_error,Qwen3-8B,enumeration,1238,one_se,constant__log1p__huber__0.01,Constant; log1p + Huber,0.050420234870089176,0.02886749785739887,0.05042016806723231
absolute_error,Qwen3-8B,enumeration,1234,best,constant__sqrt__huber__0.01,Constant; sqrt + Huber,0.05000000000000539,0.028867513459479563,0.05000000000000539
absolute_error,Qwen3-8B,enumeration,1235,best,constant__sqrt__huber__0.01,Constant; sqrt + Huber,0.0420168067226932,0.03154949081000008,0.0420168067226932
absolute_error,Qwen3-8B,enumeration,1236,best,constant__sqrt__huber__0.01,Constant; sqrt + Huber,0.0420168067226932,0.03154949081000008,0.0420168067226932
absolute_error,Qwen3-8B,enumeration,1237,best,constant__sqrt__huber__0.01,Constant; sqrt + Huber,0.016806722689076212,0.00962250448649355,0.016806722689076212
absolute_error,Qwen3-8B,enumeration,1238,best,constant__sqrt__huber__0.01,Constant; sqrt + Huber,0.05042016806723231,0.028867513459479546,0.05042016806723231
exact,Qwen3-8B,native_thinking,1234,one_se,constant__identity__logistic__0.3,Constant; ridge=0.3,0.06152124640634285,0.04887580637098393,0.058629738652594285
exact,Qwen3-8B,native_thinking,1235,one_se,constant__identity__logistic__0.3,Constant; ridge=0.3,0.13042967438127084,0.06356573508435337,0.12442509296488473
exact,Qwen3-8B,native_thinking,1236,one_se,constant__identity__logistic__0.3,Constant; ridge=0.3,0.13042967438127084,0.06356573508435337,0.12442509296488473
exact,Qwen3-8B,native_thinking,1237,one_se,constant__identity__logistic__0.3,Constant; ridge=0.3,0.12136714441087365,0.09762240110603501,0.12133232010042079
exact,Qwen3-8B,native_thinking,1238,one_se,constant__identity__logistic__0.3,Constant; ridge=0.3,0.13042967438127084,0.06356573508435337,0.12442509296488473
exact,Qwen3-8B,native_thinking,1234,best,length_factor_curved_n__identity__logistic__0.3,T-level intercepts + curved log N; ridge=0.3,0.058629738652594285,0.046271154189767245,0.058629738652594285
exact,Qwen3-8B,native_thinking,1235,best,length_factor_log_n__identity__logistic__0.3,T-level intercepts + log N; ridge=0.3,0.12442509296488473,0.055795053695707086,0.12442509296488473
exact,Qwen3-8B,native_thinking,1236,best,length_factor_log_n__identity__logistic__0.3,T-level intercepts + log N; ridge=0.3,0.12442509296488473,0.055795053695707086,0.12442509296488473
exact,Qwen3-8B,native_thinking,1237,best,log_length_only__identity__logistic__0.3,Log T only; ridge=0.3,0.12133232010042079,0.09758761901548485,0.12133232010042079
exact,Qwen3-8B,native_thinking,1238,best,length_factor_log_n__identity__logistic__0.3,T-level intercepts + log N; ridge=0.3,0.12442509296488473,0.05579505369570709,0.12442509296488473
bias,Qwen3-8B,native_thinking,1234,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,0.0,0.0,0.0
bias,Qwen3-8B,native_thinking,1235,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,0.0,0.0,0.0
bias,Qwen3-8B,native_thinking,1236,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,0.0,0.0,0.0
bias,Qwen3-8B,native_thinking,1237,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,0.0,0.0,0.0
