model_label,seed,receiver_count,donor_count,support,condition,source_layer,target_layer,replacement_delta_norm,clean_donor_log_odds,condition_donor_log_odds,donor_log_odds_gain,target_donor_fraction,argmax_token_changed
Qwen3-8B,1258,1,2,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-11.75,17.25,29.0,1.9125763177871704,1
Qwen3-8B,1258,1,2,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-11.75,-1.75,10.0,0.11742023378610611,0
Qwen3-8B,1258,2,1,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-20.5,-20.25,0.25,0.0006861306028440595,0
Qwen3-8B,1258,2,1,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-20.5,-20.5,0.0,0.0007013970753178,0
Qwen3-8B,1258,2,1,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-20.5,-20.5,0.0,0.0007437684689648449,0
Qwen3-8B,1258,2,1,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-20.5,9.75,30.25,0.9893103241920471,1
Qwen3-8B,1258,2,1,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-20.5,16.0,36.5,1.8520679473876953,1
Qwen3-8B,1258,2,1,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-20.5,-18.0,2.5,-0.07710757106542587,0
Qwen3-8B,1258,5,6,legacy_endpoint,aligned_dose_1,27,29,12.123069763183594,-9.75,-9.75,0.0,0.0010192132322117686,0
Qwen3-8B,1258,5,6,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,-9.75,-9.75,0.0,0.002732996130362153,0
Qwen3-8B,1258,5,6,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,-9.75,-10.0,-0.25,-0.0006593054276891053,0
Qwen3-8B,1258,5,6,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,-9.75,-3.5,6.25,1.0083266496658325,0
Qwen3-8B,1258,5,6,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-9.75,3.75,13.5,2.1544787883758545,1
Qwen3-8B,1258,5,6,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,-9.75,-10.5,-0.75,-0.08181115984916687,0
Qwen3-8B,1258,6,5,legacy_endpoint,aligned_dose_1,27,29,12.123069763183594,6.25,6.0,-0.25,0.0007270158384926617,0
Qwen3-8B,1258,6,5,legacy_endpoint,aligned_dose_2,27,29,24.246139526367188,6.25,6.25,0.0,0.0009350550826638937,0
Qwen3-8B,1258,6,5,legacy_endpoint,matched_orthogonal,27,29,12.12307357788086,6.25,6.25,0.0,-0.0017859464278444648,0
Qwen3-8B,1258,6,5,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,6.25,11.25,5.0,0.9016936421394348,0
Qwen3-8B,1258,6,5,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,6.25,13.5,7.25,1.578539252281189,0
Qwen3-8B,1258,6,5,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,6.25,7.5,1.25,0.11827555298805237,0
Qwen3-8B,1259,1,2,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-10.0,-10.0,0.0,0.00037866775528527796,0
Qwen3-8B,1259,1,2,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-10.0,-10.0,0.0,0.00037189622526057065,0
Qwen3-8B,1259,1,2,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-10.0,-10.0,0.0,0.0008662790642119944,0
Qwen3-8B,1259,1,2,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-10.0,17.5,27.5,0.9955047369003296,1
Qwen3-8B,1259,1,2,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-10.0,13.0,23.0,1.918289065361023,1
Qwen3-8B,1259,1,2,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-10.0,-0.25,9.75,0.11353049427270889,0
Qwen3-8B,1259,2,1,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-18.5,-18.5,0.0,0.0009037700947374105,0
Qwen3-8B,1259,2,1,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-18.5,-18.5,0.0,0.0007005915977060795,0
Qwen3-8B,1259,2,1,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-18.5,-18.75,-0.25,0.00011874430492753163,0
Qwen3-8B,1259,2,1,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-18.5,8.75,27.25,0.9835790395736694,1
Qwen3-8B,1259,2,1,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-18.5,15.25,33.75,1.8336050510406494,1
Qwen3-8B,1259,2,1,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-18.5,-14.25,4.25,-0.07831136137247086,0
Qwen3-8B,1259,5,6,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,-2.0,-2.0,0.0,-0.0014243863988667727,0
Qwen3-8B,1259,5,6,legacy_endpoint,aligned_dose_2,27,29,24.246139526367188,-2.0,-2.0,0.0,0.00046421869774349034,0
Qwen3-8B,1259,5,6,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,-2.0,-2.0,0.0,-0.0011635358678177,0
Qwen3-8B,1259,5,6,answer_query_relay,aligned_dose_1,28,29,23.792583465576172,-2.0,1.0,3.0,0.9493444561958313,1
Qwen3-8B,1259,5,6,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-2.0,2.25,4.25,1.8304948806762695,1
Qwen3-8B,1259,5,6,answer_query_relay,matched_orthogonal,28,29,23.792585372924805,-2.0,-3.25,-1.25,-0.1307872086763382,1
Qwen3-8B,1259,6,5,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,1.0,0.75,-0.25,-0.0027136236894875765,0
Qwen3-8B,1259,6,5,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,1.0,1.0,0.0,-0.0018204199150204659,0
Qwen3-8B,1259,6,5,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,1.0,1.0,0.0,-0.003046396654099226,0
Qwen3-8B,1259,6,5,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,1.0,5.5,4.5,0.9938283562660217,0
Qwen3-8B,1259,6,5,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,1.0,4.75,3.75,1.7780954837799072,1
Qwen3-8B,1259,6,5,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,1.0,2.5,1.5,0.12047690153121948,0
Qwen3-8B,1260,1,2,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,0.75,0.75,0.0,0.0020213094539940357,0
Qwen3-8B,1260,1,2,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,0.75,0.75,0.0,0.0019008258823305368,0
Qwen3-8B,1260,1,2,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,0.75,0.75,0.0,0.001187597867101431,0
Qwen3-8B,1260,1,2,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,0.75,19.75,19.0,1.0055142641067505,0
Qwen3-8B,1260,1,2,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,0.75,15.0,14.25,1.9029353857040405,0
Qwen3-8B,1260,1,2,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,0.75,10.0,9.25,0.10861896723508835,0
Qwen3-8B,1260,2,1,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-18.75,-18.75,0.0,-0.00017897960788104683,0
Qwen3-8B,1260,2,1,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-18.75,-19.0,-0.25,0.00016038032481446862,0
Qwen3-8B,1260,2,1,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-18.75,-18.75,0.0,-0.00035511600435711443,0
Qwen3-8B,1260,2,1,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-18.75,8.25,27.0,0.994596540927887,1
Qwen3-8B,1260,2,1,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-18.75,15.0,33.75,1.862014889717102,1
Qwen3-8B,1260,2,1,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-18.75,-16.5,2.25,-0.07780565321445465,0
Qwen3-8B,1260,5,6,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,-5.5,-5.75,-0.25,-0.00040383622399531305,0
Qwen3-8B,1260,5,6,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,-5.5,-5.5,0.0,-0.0011525735026225448,0
Qwen3-8B,1260,5,6,legacy_endpoint,matched_orthogonal,27,29,12.123072624206543,-5.5,-5.5,0.0,-0.0018077072454616427,0
Qwen3-8B,1260,5,6,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,-5.5,-1.25,4.25,0.927992582321167,0
Qwen3-8B,1260,5,6,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-5.5,2.75,8.25,1.9367207288742065,1
Qwen3-8B,1260,5,6,answer_query_relay,matched_orthogonal,28,29,23.792585372924805,-5.5,-6.75,-1.25,-0.1219930350780487,0
Qwen3-8B,1260,6,5,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,-0.5,-0.5,0.0,0.00031835032859817147,0
Qwen3-8B,1260,6,5,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,-0.5,-0.5,0.0,0.0003603820805437863,0
Qwen3-8B,1260,6,5,legacy_endpoint,matched_orthogonal,27,29,12.123072624206543,-0.5,-0.5,0.0,0.0006922156317159534,0
Qwen3-8B,1260,6,5,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,-0.5,5.75,6.25,0.9923304319381714,1
Qwen3-8B,1260,6,5,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-0.5,8.25,8.75,1.7498799562454224,1
Qwen3-8B,1260,6,5,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,-0.5,1.0,1.5,0.1418188363313675,1
Qwen3-8B,1261,1,2,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-14.75,-14.75,0.0,0.0002723467769101262,0
Qwen3-8B,1261,1,2,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-14.75,-14.75,0.0,0.000524386006873101,0
Qwen3-8B,1261,1,2,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-14.75,-14.75,0.0,0.00021928730711806566,0
Qwen3-8B,1261,1,2,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-14.75,17.75,32.5,0.955242931842804,1
Qwen3-8B,1261,1,2,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-14.75,17.5,32.25,1.8684632778167725,1
