candidate,candidate_label,scheme,fold,train_n,test_n,asinh_mae,asinh_rmse
shared_raw_separable,Shared raw L + N,seed,1236,2134,534,1.150175679535537,1.7557988665773463
shared_raw_separable,Shared raw L + N,seed,1237,2132,536,1.1179462841905718,1.6725069490643998
shared_raw_separable,Shared raw L + N,seed,1238,2137,531,1.1400306325052587,1.7424895028755851
shared_raw_separable,Shared raw L + N,length,10000,1780,888,1.2906914447867361,1.8185409614929036
shared_raw_separable,Shared raw L + N,length,2000,1774,894,1.1588340586825903,1.742526929645667
shared_raw_separable,Shared raw L + N,length,5000,1782,886,1.0838410074726628,1.6729355518628193
shared_raw_separable,Shared raw L + N,needle_level,1,2400,268,1.2580839995727187,1.9339617084832221
shared_raw_separable,Shared raw L + N,needle_level,10,2402,266,1.1380204751203682,1.7455105581671686
shared_raw_separable,Shared raw L + N,needle_level,2,2401,267,0.9748418157577508,1.4838795468014183
shared_raw_separable,Shared raw L + N,needle_level,20,2404,264,1.5817052656258805,2.080611054606656
shared_raw_separable,Shared raw L + N,needle_level,3,2400,268,0.9588604528787055,1.4194310763600066
shared_raw_separable,Shared raw L + N,needle_level,30,2406,262,2.05531387963591,2.6128890072582123
shared_raw_separable,Shared raw L + N,needle_level,4,2401,267,0.9539832527272778,1.459946108779013
shared_raw_separable,Shared raw L + N,needle_level,5,2399,269,0.9412855006990912,1.4662135587817904
shared_raw_separable,Shared raw L + N,needle_level,6,2399,269,0.9845956069123613,1.571748822479795
shared_raw_separable,Shared raw L + N,needle_level,8,2400,268,1.01473786319777,1.6028592860504767
shared_raw_separable,Shared raw L + N,blocked_cell,0,2139,529,1.079492561713976,1.6472027066014048
shared_raw_separable,Shared raw L + N,blocked_cell,1,2133,535,1.1127363804964614,1.6790544822269742
shared_raw_separable,Shared raw L + N,blocked_cell,2,2135,533,1.078212609756802,1.6535537830051488
shared_raw_separable,Shared raw L + N,blocked_cell,3,2132,536,1.1898352951788465,1.7613828239611273
shared_raw_separable,Shared raw L + N,blocked_cell,4,2133,535,1.1396174749138965,1.6879262822177579
model_specific_log,Model-specific log L + log N,seed,1234,2137,531,1.1414634471870406,1.7292973949642716
model_specific_log,Model-specific log L + log N,seed,1235,2132,536,1.1262686966998317,1.689938383164911
model_specific_log,Model-specific log L + log N,seed,1236,2134,534,1.1549143907696584,1.7342948184478355
model_specific_log,Model-specific log L + log N,seed,1237,2132,536,1.0952723133192652,1.6315095408160007
model_specific_log,Model-specific log L + log N,seed,1238,2137,531,1.1402533467370315,1.7330730850841733
model_specific_log,Model-specific log L + log N,length,10000,1780,888,1.2654954421787683,1.8109869267356036
model_specific_log,Model-specific log L + log N,length,2000,1774,894,1.1697982950833878,1.7609363576992327
model_specific_log,Model-specific log L + log N,length,5000,1782,886,1.0730436893101636,1.6462162070335598
model_specific_log,Model-specific log L + log N,needle_level,1,2400,268,1.4283487797647485,2.127579855676671
model_specific_log,Model-specific log L + log N,needle_level,10,2402,266,1.1271795208226052,1.710831956574079
model_specific_log,Model-specific log L + log N,needle_level,2,2401,267,0.9310808002410746,1.420782924805747
model_specific_log,Model-specific log L + log N,needle_level,20,2404,264,1.532496008924849,1.9982578350777351
model_specific_log,Model-specific log L + log N,needle_level,3,2400,268,0.9391922383354591,1.3926909296808418
model_specific_log,Model-specific log L + log N,needle_level,30,2406,262,2.041715772850709,2.5209054249443383
model_specific_log,Model-specific log L + log N,needle_level,4,2401,267,0.9334654839025047,1.4288488514514783
model_specific_log,Model-specific log L + log N,needle_level,5,2399,269,0.9381118976773222,1.4603977466878155
model_specific_log,Model-specific log L + log N,needle_level,6,2399,269,0.996477198849377,1.5804997838208112
model_specific_log,Model-specific log L + log N,needle_level,8,2400,268,1.0144259472167725,1.5910801346991026
model_specific_log,Model-specific log L + log N,blocked_cell,0,2139,529,1.086845862859578,1.6421455306316026
model_specific_log,Model-specific log L + log N,blocked_cell,1,2133,535,1.1082453801249548,1.6527272707356444
model_specific_log,Model-specific log L + log N,blocked_cell,2,2135,533,1.071505291721382,1.6223865820038725
model_specific_log,Model-specific log L + log N,blocked_cell,3,2132,536,1.170482944608331,1.724302916582828
model_specific_log,Model-specific log L + log N,blocked_cell,4,2133,535,1.130585098109043,1.6688303484528373
model_specific_log_interaction,Model-specific log + interaction,seed,1234,2137,531,1.1343457979107632,1.7156207607991514
model_specific_log_interaction,Model-specific log + interaction,seed,1235,2132,536,1.125459662975517,1.691317921716866
model_specific_log_interaction,Model-specific log + interaction,seed,1236,2134,534,1.1507432569205218,1.7248903937307096
model_specific_log_interaction,Model-specific log + interaction,seed,1237,2132,536,1.0961558905068505,1.6304668032694989
model_specific_log_interaction,Model-specific log + interaction,seed,1238,2137,531,1.1423739784991938,1.7309957957278306
