model,variant,pooling,layer,head,layer_type,examples,seeds,pool_sum,pool_coverage,pool_primary,pool_enrichment,pool_effective_number,positive_contrast,density_enrichment_gt_one,is_broad_candidate,candidate_rank
Qwen3-8B,v4.4,span_mean,2,30,full_attention,180,20,0.0014464736825174,0.954684906378418,0.0013773020928513,2.390741032460857,5.714700766142243,True,True,True,214.0
Qwen3-8B,v4.4,span_mean,2,31,full_attention,180,20,0.0017176196642644,0.8301346095161984,0.0013747580178206,3.101986826606084,4.894545282445852,True,True,True,216.0
Qwen3-8B,v4.4,span_mean,3,0,full_attention,180,20,0.0009592949968047,0.7634508625340503,0.0007369084241799,1.5096633132644408,4.507198585826695,True,True,True,385.0
Qwen3-8B,v4.4,span_mean,3,1,full_attention,180,20,0.0002660429746657,0.7457210436379155,0.0001974332640165,0.421324057048664,4.376537846993697,True,False,False,
Qwen3-8B,v4.4,span_mean,3,2,full_attention,180,20,0.0002035519476949,0.6651524690758114,0.0001312975069505,0.3084019959866951,3.8344256595719,True,False,False,
Qwen3-8B,v4.4,span_mean,3,3,full_attention,180,20,0.0006095438228855,0.6802779833972704,0.0004059815491245,0.9299907085503444,3.9487392586620897,True,False,False,
Qwen3-8B,v4.4,span_mean,3,4,full_attention,180,20,0.0024652307411694,0.8069835380120237,0.0019707662634403,4.258083701020844,4.748399537117559,True,True,True,146.0
Qwen3-8B,v4.4,span_mean,3,5,full_attention,180,20,0.0021487147090358,0.6578537462743321,0.0014011092220872,3.9869137608378535,3.8032298527878896,True,True,True,211.0
Qwen3-8B,v4.4,span_mean,3,6,full_attention,180,20,0.0026336435855581,0.6929633302126229,0.0018346697637831,4.327518223772435,4.062238036511577,True,True,True,154.0
Qwen3-8B,v4.4,span_mean,3,7,full_attention,180,20,0.0020429104009978,0.6329957888064892,0.0013101706403737,3.381910148445738,3.6505246559625695,True,True,True,229.0
Qwen3-8B,v4.4,span_mean,3,8,full_attention,180,20,0.0019333702970836,0.6116184463688299,0.0011834052292934,3.657073464587542,3.5333756435744026,True,True,True,250.0
Qwen3-8B,v4.4,span_mean,3,9,full_attention,180,20,0.0007482804529495,0.8395565970409881,0.0006244497163708,1.338982855248049,4.977627956817539,True,True,True,418.0
Qwen3-8B,v4.4,span_mean,3,10,full_attention,180,20,0.0016850040362848,0.6326276460818243,0.001018363884696,3.1813457101897025,3.639736542007966,True,True,True,296.0
Qwen3-8B,v4.4,span_mean,3,11,full_attention,180,20,0.0004891545254419,0.6701737533811302,0.0003173750298449,0.9674354708199588,3.802803774293942,True,False,False,
Qwen3-8B,v4.4,span_mean,3,12,full_attention,180,20,0.0049901171906639,0.7784780090795435,0.0037604463373833,9.343167888088034,4.435985468801402,True,True,True,76.0
Qwen3-8B,v4.4,span_mean,3,13,full_attention,180,20,0.0028577905531088,0.6729716364454404,0.0019513998946755,4.8987107173493865,3.88531618514188,True,True,True,147.0
Qwen3-8B,v4.4,span_mean,3,14,full_attention,180,20,0.0025782743780003,0.6627003511474776,0.0017006918372443,4.456765291920933,3.8260008594788153,True,True,True,162.0
Qwen3-8B,v4.4,span_mean,3,15,full_attention,180,20,0.0030790550417299,0.7008758640729041,0.0021165305329318,5.459123751797789,4.097564058646023,True,True,True,132.0
Qwen3-8B,v4.4,span_mean,3,16,full_attention,180,20,0.0014431002290721,0.8898263467279791,0.0012691670418501,2.3434293365849177,5.273983708223597,True,True,True,238.0
Qwen3-8B,v4.4,span_mean,3,17,full_attention,180,20,0.0010771411565469,0.5813070732632674,0.0006121415195098,1.9524308725148825,3.3173815330254697,True,True,True,426.0
Qwen3-8B,v4.4,span_mean,3,18,full_attention,180,20,0.0005993445612892,0.781844379460648,0.0004614986913932,1.0808114236313822,4.619960870102271,True,True,True,492.0
Qwen3-8B,v4.4,span_mean,3,19,full_attention,180,20,0.0031170240108823,0.6508539464230473,0.0019709824897644,5.714595663699512,3.759430548429053,True,True,True,145.0
Qwen3-8B,v4.4,span_mean,3,20,full_attention,180,20,0.000813520789269,0.7039329120354767,0.0005632249915505,1.5657313600573028,4.127120434953848,True,True,True,449.0
Qwen3-8B,v4.4,span_mean,3,21,full_attention,180,20,0.0017967941706349,0.8180283848278731,0.0014520775195676,3.001361021384358,4.845876917360931,True,True,True,202.0
Qwen3-8B,v4.4,span_mean,3,22,full_attention,180,20,0.0016471386134778,0.706161101067326,0.0011385392162124,3.159362825781636,4.102181402615264,True,True,True,264.0
Qwen3-8B,v4.4,span_mean,3,23,full_attention,180,20,0.0023500968715274,0.7831456476858742,0.0017949678824287,4.207618241869268,4.5931983829117575,True,True,True,156.0
Qwen3-8B,v4.4,span_mean,3,24,full_attention,180,20,0.0013235673834325,0.7004514665147256,0.0009316608541673,2.205622999423859,4.097801152651414,True,True,True,320.0
Qwen3-8B,v4.4,span_mean,3,25,full_attention,180,20,0.0025737902079239,0.6467788420721728,0.0016976863324911,4.322286167438504,3.764360411354163,True,True,True,163.0
Qwen3-8B,v4.4,span_mean,3,26,full_attention,180,20,0.0010605744286161,0.6388713349064103,0.0006830226680208,1.754754385100613,3.7095481930444647,True,True,True,399.0
