model,pooling,layer,full_space_discovery_cv_r2,pca3_discovery_cv_r2,pca3_ridge_alpha,pca_evr_pc1,pca_evr_pc1_2,pca_evr_pc1_3,pca_evr_pc1_6,count_signal_capture_pc1_3,discovery_loo_noise_to_signal,discovery_compactness,centroid_step_cv,centroid_path_to_chord,centroid_successive_cosine,manifold_fidelity_m3,within_decodability_gate,probe_optimal,manifold_display
Qwen3-8B,span_mean,1,0.9983813405036926,0.6199092397722018,1.0,0.1679118275642395,0.2771943435072899,0.35624242573976517,0.5521508753299713,0.39403729270631876,0.9293023225939201,0.5183220837341418,0.0955908372998237,6.9133548248823,-0.47877663621782,0.07275832270646915,True,False,False
Qwen3-8B,span_mean,2,0.9976778507232666,0.6634214795767932,1.0,0.2454807460308075,0.4000054597854614,0.4709911197423935,0.6174998767673969,0.45863189184930414,1.0484379348898902,0.4881768605079817,0.1689863353967666,4.680287926174716,-0.4452356023353894,0.1054518394784987,True,False,False
Qwen3-8B,span_mean,3,0.9964596033096312,0.7033091173285617,1.0,0.3316502273082733,0.44308028370141983,0.5080701112747192,0.6387165300548077,0.6189131849545138,0.9835820870654557,0.5041384505944075,0.265471488237381,3.4322656945244683,-0.3898906931016297,0.15852698650572872,True,False,False
Qwen3-8B,span_mean,4,0.9961938977241516,0.6834016077318689,1.0,0.3758403956890106,0.4587927758693695,0.5216071233153343,0.6430963538587093,0.6483659151706472,0.9130095765579153,0.5227365363216337,0.304676204919815,3.2416461826676226,-0.3854674530723713,0.17678546098884976,True,False,False
Qwen3-8B,span_mean,5,0.9960957765579224,0.8264066903523408,1.0,0.3712671101093292,0.4443568289279938,0.5050344802439213,0.6365123614668846,0.7158072742645956,0.8703020684030763,0.5346729904725134,0.3078206777572632,3.41693703323543,-0.4005137947600057,0.19328821842222768,True,False,False
Qwen3-8B,span_mean,6,0.9956553339958192,0.856120192337077,1.0,0.38099902868270874,0.4552392065525055,0.5082731507718563,0.6355568766593933,0.7093388191622324,0.8047109509873862,0.5541053537980052,0.2924963235855102,3.56092955471518,-0.410507760685212,0.1997759676601507,True,False,False
Qwen3-8B,span_mean,7,0.9968378901481628,0.9035508266404927,0.1,0.4384135901927948,0.5222713053226471,0.5727189891040325,0.670814061537385,0.7878339629410585,0.7702675731582957,0.5648863568211453,0.402216225862503,3.0073826294336503,-0.3706553626618876,0.25488094437183717,True,False,False
Qwen3-8B,span_mean,8,0.9943049907684326,0.873451537153227,1.0,0.4713231921195984,0.5531999319791794,0.5974582470953465,0.6876730155199766,0.8158983513061412,0.7496369015138655,0.5715471588046379,0.4324663877487182,2.81600222638464,-0.3405826810655458,0.2786093493784757,True,False,False
Qwen3-8B,span_mean,9,0.9953248500823976,0.8737563015056237,0.1,0.4783909022808075,0.5636376589536667,0.6090902388095856,0.6905796434730291,0.8454030358828496,0.769084293367371,0.5652641899253685,0.4978908598423004,2.613866247996585,-0.2967643961248638,0.2910696448703945,True,False,False
Qwen3-8B,span_mean,10,0.9922876119613648,0.8899393983621955,1.0,0.44415879249572754,0.5373513698577881,0.5904313996434212,0.6791650094091892,0.8490250159476586,0.8248605061361959,0.5479870908693809,0.5155867338180542,2.609938935338355,-0.2817835502569012,0.2747010123856781,True,False,False
Qwen3-8B,span_mean,11,0.9925421118736268,0.8842353562606053,1.0,0.4381573498249054,0.5375456884503365,0.5906494185328484,0.681226335465908,0.8531713856576583,0.8261234225079938,0.5476081121760118,0.541066586971283,2.604640774162719,-0.2829851774366341,0.2759535180571041,True,False,False
Qwen3-8B,span_mean,12,0.9938472867012024,0.8909856023410097,1.0,0.4396694004535675,0.5345319360494614,0.5832900255918503,0.6704256888478994,0.8286153619402262,0.8038968434008833,0.5543554242906162,0.4680143594741821,2.768306014732838,-0.3244642128044538,0.26793276868355,True,False,False
Qwen3-8B,span_mean,13,0.993989908695221,0.8548576820513014,1.0,0.4587407112121582,0.5683049038052559,0.6150567568838596,0.6988183800131083,0.8547332158881046,0.7562624840892794,0.5693909703472122,0.5344446301460266,2.6964165153598145,-0.3052348579688381,0.2993342080285108,True,False,False
Qwen3-8B,span_mean,14,0.9918260693550108,0.8728636422809668,1.0,0.44584089517593384,0.548599123954773,0.5980420149862766,0.6833884976804256,0.8478901147933314,0.7876072679923103,0.5594069893904133,0.4924872517585754,2.765092104441268,-0.3183706429775794,0.2836606909231534,True,False,False
Qwen3-8B,span_mean,15,0.9904897093772888,0.8525013384300862,1.0,0.44386693835258484,0.5492561757564545,0.5985285229980946,0.6848849914968014,0.8547448232765491,0.7967138383946137,0.5565716580073277,0.5291634798049927,2.744457327186334,-0.3083904906519591,0.28473602511632656,True,False,False
Qwen3-8B,span_mean,16,0.9904234647750856,0.8171063816230978,0.1,0.9555202722549438,0.9757648650556803,0.9805402415804565,0.9855743661755696,0.9445762797977156,3.655580408541358,0.21479598938197922,0.5554055571556091,4.702046332641135,-0.3103906334059942,0.19894298289527504,True,False,False
Qwen3-8B,span_mean,17,0.9892953038215636,0.8132796339435064,0.1,0.9447382092475891,0.9694612603634596,0.9756572172045708,0.9819087882060558,0.9386235645718197,3.474786762596525,0.22347433588539165,0.5217347741127014,4.463372968979312,-0.3005541649614465,0.204652177544521,True,False,False
Qwen3-8B,span_mean,18,0.9889454364776612,0.8310713460046554,0.1,0.9305554628372192,0.9606802500784397,0.9682366256602108,0.976415931712836,0.9141715808343499,3.322508868945242,0.2313471250884941,0.4543820917606354,4.490213690874302,-0.326669934553861,0.20477330030730462,True,False,False
