model,design_variant,pooling,head_rank,layer,head,metric,confirmation_examples,correct_examples,wrong_examples,counts_with_both_outcomes,wrong_minus_correct_count_adjusted,bootstrap_valid_replicates,bootstrap_ci_low,bootstrap_ci_high,descriptive_only_small_wrong_group
Qwen3-8B,v4.2,span_mean,4,23,13,pool_coverage,100,45,55,2,0.0096234226772759,1000,-0.0724052983300983,0.0997290710058826,False
Qwen3-8B,v4.2,span_mean,4,23,13,pool_enrichment,100,45,55,2,-0.7327105834938769,999,-7.32308309241824,3.3534366764755763,False
Qwen3-8B,v4.2,span_mean,4,23,13,pool_min_to_mean,100,45,55,2,0.0010304827655898,997,-0.0202316167472633,0.0317681037235311,False
Qwen3-8B,v4.2,span_mean,5,23,12,pool_primary,100,45,55,2,-0.0010826627781618,996,-0.0048045251122808,0.0016103114615549,False
Qwen3-8B,v4.2,span_mean,5,23,12,pool_coverage,100,45,55,2,0.0072083026058891,998,-0.0421031210199015,0.0793359100563724,False
Qwen3-8B,v4.2,span_mean,5,23,12,pool_enrichment,100,45,55,2,-3.633627848234886,999,-13.23528897999201,1.6630492791092315,False
Qwen3-8B,v4.2,span_mean,5,23,12,pool_min_to_mean,100,45,55,2,0.0123421166633069,999,-0.0026864706564759,0.0344443409093651,False
Qwen3-8B,v4.2,span_mean,6,23,28,pool_primary,100,45,55,2,-0.0006829723943246,998,-0.0034526311009208,0.0023429827512832,False
Qwen3-8B,v4.2,span_mean,6,23,28,pool_coverage,100,45,55,2,-0.0355338681104256,999,-0.0995718134091971,0.0206044036577238,False
Qwen3-8B,v4.2,span_mean,6,23,28,pool_enrichment,100,45,55,2,0.509422934066732,1000,-5.634108729331341,5.615875046431136,False
Qwen3-8B,v4.2,span_mean,6,23,28,pool_min_to_mean,100,45,55,2,0.0039999905416506,998,-0.0457061433337811,0.0464149437289624,False
Qwen3-8B,v4.2,span_mean,7,24,16,pool_primary,100,45,55,2,-0.0012617654302677,1000,-0.0048413836491815,0.0014085789777861,False
Qwen3-8B,v4.2,span_mean,7,24,16,pool_coverage,100,45,55,2,0.0526156172752549,999,-0.0169421844457564,0.1228971645715535,False
Qwen3-8B,v4.2,span_mean,7,24,16,pool_enrichment,100,45,55,2,-5.411547385069335,1000,-13.39398058676558,0.1353757600477958,False
Qwen3-8B,v4.2,span_mean,7,24,16,pool_min_to_mean,100,45,55,2,0.0049337136462993,999,-0.1678213945771426,0.1244482569998688,False
Qwen3-8B,v4.2,span_mean,8,26,26,pool_primary,100,45,55,2,0.000940051646102,999,-0.0040547579125952,0.0045688029320978,False
Qwen3-8B,v4.2,span_mean,8,26,26,pool_coverage,100,45,55,2,0.0506775043446558,999,-0.0913009911504078,0.1622187306426834,False
Qwen3-8B,v4.2,span_mean,8,26,26,pool_enrichment,100,45,55,2,0.3697386560233379,1000,-13.926789441857366,11.660186424385312,False
Qwen3-8B,v4.2,span_mean,8,26,26,pool_min_to_mean,100,45,55,2,0.0650740800435806,1000,-0.1136117295782688,0.2901397999948473,False
Qwen3-8B,v4.3,span_end,1,29,3,pool_primary,100,48,52,5,-0.0018131438535299,1000,-0.0072931364193786,0.0036587744657748,False
