model_label,grammar_class,layer,rows,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,adjacent_rank_after_city,24,750,0.6697128257075327,0.5879239038866523,0.6288183647970924,494,5,16,16,0.6310535212868972,0.561872958492204,0.35504453041910644,-4.49717173416862,4.400575160980225,12.394431638717652,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,25,750,0.6758561249662818,0.6021615014034869,0.6390088131848843,494,5,16,16,0.6553226460595386,0.5916557662641422,0.35349407644577424,-4.516178593450672,4.527928352355957,12.809064292907715,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,26,750,0.6626921151566665,0.5681753331271511,0.6154337241419088,494,5,16,16,0.6417592664155963,0.5810133334270162,0.3362106657019901,-4.733885134365622,4.371854305267334,13.003318309783936,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,27,750,0.6323558267239037,0.5760045690398784,0.604180197881891,494,5,16,16,0.6478987790768482,0.5887592666285122,0.3266583112306035,-4.859062874950789,4.278708457946777,13.098422145843506,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,28,750,0.6140504936203082,0.5689774808113521,0.5915139872158302,494,5,16,16,0.6351927351208042,0.591652859963282,0.3242891843156932,-4.890675356635733,4.327462196350098,13.344454288482666,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,29,750,0.6168855960112327,0.5636617121351966,0.5902736540732146,494,5,16,16,0.6336651369020294,0.5938651812452964,0.318352288652289,-4.970920236217593,4.1113505363464355,12.91446828842163,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,30,750,0.6009299829967961,0.5711784967799702,0.5860542398883832,494,5,16,16,0.6283095066343148,0.5667347136736522,0.3072534347597918,-5.1250325347361105,4.0017476081848145,13.024256706237793,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,31,750,0.6108418301961696,0.551628455623018,0.5812351429095938,494,5,16,16,0.6118367929669081,0.569783441906204,0.2951103524945371,-5.300155551479907,3.8119964599609375,12.917189884185792,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,32,750,0.5975806686073339,0.5456636255078386,0.5716221470575863,494,5,16,16,0.6195073699389557,0.5690814070129926,0.29355140135327784,-5.323158420499249,3.788536548614502,12.905871105194091,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,33,750,0.5777567229959227,0.5454798250516583,0.5616182740237905,494,5,16,16,0.6273547309113165,0.5602533886261508,0.30911226825340876,-5.098837580262282,3.9549355506896973,12.794495582580566,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,34,750,0.5687553259110342,0.5342030689172171,0.5514791974141257,494,5,16,16,0.6595757150205306,0.5403898504144395,0.28484830010203466,-5.453863679521108,3.719684600830078,13.058475685119628,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,35,750,0.6017722133147186,0.551632037797799,0.5767021255562588,494,5,16,16,0.6347482854017856,0.560035613858157,0.29866704921636167,-5.248126887881783,3.682096004486084,12.328430652618408,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_before_city,0,398,0.1438746107979854,0.17031270672911542,0.15709365876355041,268,5,16,16,0.12228166570271834,0.16155292076344707,0.170642037638238,-7.67913971613015,1.0759227275848389,6.305144631862641,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,1,398,0.1462947062540716,0.1489402088995742,0.1476174575768229,268,5,16,16,0.12633386350491613,0.09358010410641988,0.1359397102044434,-8.666536602394542,1.090276837348938,8.020296907424926,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,2,398,0.297458280095664,0.22630280767277672,0.26188054388422033,268,5,16,16,0.23828802776171196,0.20311957779063042,0.2536750720375019,-5.957222076244073,2.0390830039978027,8.038168621063232,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,3,398,0.3196612312266337,0.24729009710046862,0.2834756641635512,268,5,16,16,0.21318922305764412,0.18507446500867553,0.3432408175724215,-4.644010722440681,1.9947534799575806,5.811527585983276,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,4,398,0.327775447448435,0.25132085414012656,0.28954815079428076,268,5,16,16,0.34976929503245296,0.22018146327356852,0.4123157990275417,-3.8477002367785156,1.8553466796875,4.49981951713562,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,5,398,0.3161856540861959,0.23577171781893144,0.2759786859525637,268,5,16,16,0.30332947754000383,0.2457800751879699,0.3025211045377037,-5.192443226162901,2.932985782623291,9.695144367218017,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,6,398,0.30959286177358936,0.2566128832324653,0.28310287250302735,268,5,16,16,0.29546365914786965,0.2329730576441103,0.29485532131282266,-5.303910300162694,3.1786751747131348,10.78045721054077,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,7,398,0.353831778100354,0.26519411273281246,0.30951294541658325,268,5,16,16,0.27771094402673346,0.2087218045112782,0.30997043683288766,-5.086797246579373,3.1994845867156982,10.32190237045288,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,8,398,0.36969238235105106,0.333681115496131,0.35168674892359103,268,5,16,16,0.33925261872630297,0.2457438467964784,0.3497736035536869,-4.562129686238848,3.307703733444214,9.456699132919312,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,9,398,0.4788750652082695,0.405549208774828,0.4422121369915487,268,5,16,16,0.3521557097872887,0.25778613199665834,0.3719781482890449,-4.294825718283926,3.1059517860412598,8.349823236465454,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,10,398,0.4779394879859275,0.4077668136530366,0.44285315081948207,268,5,16,16,0.41967836257309943,0.3502172096908939,0.40182260872146064,-3.9596563113496384,3.687499523162842,9.176933908462525,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,11,398,0.4695997795204452,0.39831735573221644,0.4339585676263308,268,5,16,16,0.45739155581260843,0.4244152046783626,0.4521428066031332,-3.4472437420554995,3.9426255226135254,8.719867849349976,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,12,398,0.45114207873882795,0.3925313424965128,0.42183671061767036,268,5,16,16,0.4589807852965748,0.33284878863826234,0.4804990811517786,-3.183074384867861,3.9918816089630127,8.307781982421876,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,13,398,0.5362077217301676,0.44192864482725164,0.4890681832787096,268,5,16,16,0.4897329863119337,0.41422305764411027,0.539095526786636,-2.683342717698431,4.616275310516357,8.563000583648682,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,14,398,0.5617944008462585,0.49685131396238214,0.5293228574043203,268,5,16,16,0.4771181158023262,0.4730704967547073,0.6257665472858229,-2.035876574210467,4.737602233886719,7.5708780765533445,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,15,398,0.5678301940434293,0.5514443426943428,0.559637268368886,268,5,16,16,0.4884692500481974,0.4343634727845254,0.6855429961251192,-1.6396530178723152,4.538046836853027,6.619638538360595,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,16,398,0.5280308213028801,0.536793195910843,0.5324120086068616,268,5,16,16,0.44096555491292333,0.374200565516355,0.6322153779662516,-1.991349446168744,4.384541988372803,6.935203003883362,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,17,398,0.555432400918082,0.5019392380208944,0.5286858194694881,268,5,16,16,0.5366695585116638,0.41805828674249723,0.6449870597455335,-1.9044899844610303,4.452603340148926,6.90339949131012,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,18,398,0.6674447407167994,0.5985332872465225,0.632989013981661,268,5,16,16,0.5396873594242015,0.48159629843840374,0.6664682247124486,-1.7622055166798754,4.5869011878967285,6.882400417327881,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,19,398,0.6552812642150878,0.5994191274125484,0.6273501958138181,268,5,16,16,0.5660053981106613,0.4497689737163422,0.6830680583188211,-1.6553602270240406,4.62470006942749,6.770482110977173,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,20,398,0.6127348860146846,0.5439386952486798,0.5783367906316822,268,5,16,16,0.5319388214125056,0.37162971531392586,0.6482039920951905,-1.8828829860529963,4.466494083404541,6.8905686140060425,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,21,398,0.603223795253594,0.5422979000417081,0.5727608476476511,268,5,16,16,0.49247541931752464,0.3747561210719106,0.6721335308287868,-1.7254443834319484,4.280954360961914,6.369202196598053,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,22,398,0.5916243584703337,0.5343998870353359,0.5630121227528349,268,5,16,16,0.5132337253389886,0.39056872951609795,0.708702842172107,-1.495358255463886,4.209588050842285,5.939849257469177,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,23,398,0.622026548586146,0.5312629085597351,0.5766447285729406,268,5,16,16,0.5477282950967162,0.40541610436347275,0.7250427340391262,-1.39636395345651,4.206681251525879,5.801976978778839,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,24,398,0.6043596555806309,0.5244977829188355,0.5644287192497333,268,5,16,16,0.5884888503309555,0.398784782468993,0.7457231434647748,-1.2742237840180526,4.1509013175964355,5.5662766456604,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,25,398,0.5962555749920301,0.5233802013832973,0.5598178881876636,268,5,16,16,0.5189039907460959,0.40931109825846673,0.7563274802455814,-1.2129011975171453,4.04852294921875,5.352870357036591,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,26,398,0.5727887923050461,0.5003438523407563,0.5365663223229011,268,5,16,16,0.5095871087976351,0.425392969603496,0.7705596123701577,-1.1319375756599506,4.0455145835876465,5.2500994324684145,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,27,398,0.5755996388658927,0.5167320450447385,0.5461658419553156,268,5,16,16,0.4949778291883555,0.4303720840562947,0.779302860714294,-1.0829372952220335,4.04071569442749,5.185038959980011,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,28,398,0.5295625281151597,0.5087761872630294,0.5191693576890946,268,5,16,16,0.5056249598354862,0.39963884069147226,0.7805384291403772,-1.0760570995869991,4.024020195007324,5.155441480875015,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,29,398,0.7808738774412148,0.7685350615729872,0.774704469507101,268,5,16,16,0.7997361994730415,0.6628918449971082,0.975678206500339,-0.10693395637649106,4.958968162536621,5.082585763931275,130,8,4,19,16,0.1
