model_label,seed,gold_count,layer,normalized_depth,clean_correct,clean_absolute_error,absolute_error_specificity,candidate_absolute_error_damage_from_clean,control_absolute_error_damage_from_clean,accuracy_damage_specificity,candidate_correct_damage_from_clean,control_correct_damage_from_clean
Gemma4-E4B,1255,5,12,0.2926829268292683,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,16,0.3902439024390244,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,20,0.4878048780487805,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,24,0.5853658536585366,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,28,0.6829268292682927,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,32,0.7804878048780488,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,36,0.8780487804878049,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,40,0.975609756097561,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,5,41,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,6,0,0.0,0.0,1.0,0.0,-1.0,-1.0,-0.0,-1.0,-1.0
Gemma4-E4B,1255,6,4,0.0975609756097561,0.0,1.0,0.0,-1.0,-1.0,-0.0,-1.0,-1.0
Gemma4-E4B,1255,6,8,0.1951219512195122,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,6,9,0.2195121951219512,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,6,12,0.2926829268292683,0.0,1.0,0.0,-1.0,-1.0,-0.0,-1.0,-1.0
Gemma4-E4B,1255,6,16,0.3902439024390244,0.0,1.0,0.0,-1.0,-1.0,-0.0,-1.0,-1.0
Gemma4-E4B,1255,6,20,0.4878048780487805,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,6,24,0.5853658536585366,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,6,28,0.6829268292682927,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,6,32,0.7804878048780488,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,6,36,0.8780487804878049,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,6,40,0.975609756097561,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,6,41,1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,4,0.0975609756097561,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,8,0.1951219512195122,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,9,0.2195121951219512,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,12,0.2926829268292683,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,16,0.3902439024390244,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,20,0.4878048780487805,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,24,0.5853658536585366,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,28,0.6829268292682927,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,32,0.7804878048780488,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,36,0.8780487804878049,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
