model_label,site_kind,layer,pca_dim,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,city_end,7,16,0.15742150345171924,0.19392427738357843,0.17567289041764883,869,5,16,16,0.201812018010081,0.2397745041773594,0.13802820039673402,-8.600321742836204,1.342529535293579,9.726487278938293,465,10,8,85,16,0.1
Qwen3-8B,city_end,8,16,0.1869733006821785,0.1725804464134987,0.1797768735478386,869,5,16,16,0.21675796399036518,0.23278397758377634,0.14026234908677437,-8.530588918960945,1.3462448120117188,9.598048377037049,465,10,8,85,16,0.1
Qwen3-8B,city_end,9,16,0.23564057422509205,0.1669235998849194,0.20128208705500572,869,5,16,16,0.282139375026885,0.24499376268358702,0.13658795106825647,-8.645876096981462,1.3225524425506592,9.682789969444276,465,10,8,85,16,0.1
Qwen3-8B,city_end,10,16,0.2899738508448959,0.19492124905825764,0.24244754995157677,869,5,16,16,0.2965959956846083,0.25219873162768636,0.1436261087262659,-8.42766605740799,1.454777479171753,10.128920793533325,465,10,8,85,16,0.1
Qwen3-8B,city_end,11,16,0.34787704331345404,0.2996583508105063,0.32376769706198016,869,5,16,16,0.3760086048285704,0.30329677383815573,0.18562246615267616,-7.313694616534408,1.8927936553955078,10.197007369995116,465,10,8,85,16,0.1
Qwen3-8B,city_end,12,16,0.3583434374971496,0.32335209919203456,0.3408477683445921,869,5,16,16,0.35976867569421345,0.3064396112880453,0.19103007380471682,-7.188982565255778,2.0393381118774414,10.675481986999511,465,10,8,85,16,0.1
Qwen3-8B,city_end,13,16,0.4124096117695187,0.3943827950280024,0.40339620339876053,869,5,16,16,0.49786144082462896,0.45061666622198676,0.26847779220476214,-5.710916322058015,2.8554656505584717,10.635761070251466,465,10,8,85,16,0.1
Qwen3-8B,city_end,14,16,0.44114293448736674,0.36653317871080715,0.40383805659908695,869,5,16,16,0.48950756327931294,0.3692299881787744,0.22805356259801776,-6.4196313892589245,2.512302875518799,11.016284275054932,465,10,8,85,16,0.1
Qwen3-8B,city_end,15,16,0.4874760095760524,0.4041783784184275,0.44582719399723997,869,5,16,16,0.5194703104464751,0.4070892600544397,0.22868535054327307,-6.407616551658525,2.5107719898223877,10.979155349731446,465,10,8,85,16,0.1
Qwen3-8B,city_end,16,16,0.5204193808543234,0.4717551136388488,0.4960872472465861,869,5,16,16,0.5136888199846775,0.4481966831960543,0.26937484373682086,-5.696429644274664,2.944908618927002,10.932381725311279,465,10,8,85,16,0.1
