model_label,layer,category,rows,seeds,nearest_endpoint_count_accuracy,nearest_endpoint_count_mae,rank3_projection_energy_mean,rank3_projection_energy_median
Qwen3-8B,8,needle_interior,2973,10,0.015700934579439253,4.6441121495327105,97.58642188274936,98.86968994140625
Qwen3-8B,8,ordinary_passage,1280,10,0.024603174603174603,4.733333333333333,64.29272109866142,62.886125564575195
Qwen3-8B,12,hard_negative,3073,10,0.03074141048824593,4.215189873417722,84.20312564798958,83.03583526611328
Qwen3-8B,12,needle_endpoint,100,10,0.47,0.85,156.12850360155105,71.59768295288086
Qwen3-8B,12,needle_interior,2973,10,0.08037383177570094,3.33607476635514,92.83218819843252,92.44297790527344
Qwen3-8B,12,ordinary_passage,1280,10,0.04523809523809524,4.1341269841269845,84.30864277929068,83.10633087158203
Qwen3-8B,16,hard_negative,3073,10,0.019168173598553346,4.467992766726944,271.2364230294046,269.279052734375
Qwen3-8B,16,needle_endpoint,100,10,0.48,0.89,328.9661616706848,126.35093688964844
Qwen3-8B,16,needle_interior,2973,10,0.11887850467289719,2.3816822429906543,1818.958926151146,289.299072265625
Qwen3-8B,16,ordinary_passage,1280,10,0.02857142857142857,4.423015873015873,267.9103231906891,265.8288116455078
Qwen3-8B,20,hard_negative,3073,10,0.11175406871609403,2.657866184448463,1004.6337311456384,997.607177734375
Qwen3-8B,20,needle_endpoint,100,10,0.39,1.03,1055.203628387451,454.54937744140625
Qwen3-8B,20,needle_interior,2973,10,0.14317757009345794,2.426168224299065,5478.414710443589,967.0809326171875
Qwen3-8B,20,ordinary_passage,1280,10,0.11904761904761904,2.542063492063492,997.1975822687149,989.4602661132812
Qwen3-8B,24,hard_negative,3073,10,0.10198915009041591,3.5099457504520797,2286.168638120751,2228.4931640625
Qwen3-8B,24,needle_endpoint,100,10,0.3,1.41,3381.551282272339,1229.5576782226562
Qwen3-8B,24,needle_interior,2973,10,0.1308411214953271,3.324859813084112,18464.747572597655,2315.982666015625
Qwen3-8B,24,ordinary_passage,1280,10,0.0873015873015873,3.56031746031746,2254.881908839941,2188.55078125
Qwen3-8B,27,hard_negative,3073,10,0.10705244122965642,3.186618444846293,3510.164400600976,2978.94140625
Qwen3-8B,27,needle_endpoint,100,10,0.25,1.69,6035.719986877441,2560.411376953125
Qwen3-8B,27,needle_interior,2973,10,0.11738317757009346,3.4717757009345793,17322.043307751228,3748.612548828125
Qwen3-8B,27,ordinary_passage,1280,10,0.10317460317460317,3.134126984126984,3475.2225474298,2899.5223388671875
Qwen3-8B,28,hard_negative,3073,10,0.11464737793851718,3.0014466546112115,4845.004467962,3932.619384765625
Qwen3-8B,28,needle_endpoint,100,10,0.3,1.64,7211.710969543457,3567.2291259765625
Qwen3-8B,28,needle_interior,2973,10,0.11177570093457943,3.398130841121495,22228.29916984386,5026.5546875
Qwen3-8B,28,ordinary_passage,1280,10,0.10555555555555556,3.0468253968253967,4840.646722905338,3791.313720703125
Qwen3-8B,29,hard_negative,3073,10,0.11428571428571428,3.083905967450271,7313.743272968197,5933.3203125
Qwen3-8B,29,needle_endpoint,100,10,0.28,1.69,8514.351991271973,4149.1630859375
Qwen3-8B,29,needle_interior,2973,10,0.11214953271028037,3.4642990654205605,28657.198628476603,7467.10595703125
Qwen3-8B,29,ordinary_passage,1280,10,0.10396825396825397,3.1095238095238096,7367.229072064161,5870.38427734375
Qwen3-8B,32,hard_negative,3073,10,0.07956600361663653,3.5985533453887886,25813.11875963692,19559.759765625
Qwen3-8B,32,needle_endpoint,100,10,0.26,1.88,19377.12400390625,12037.0888671875
Qwen3-8B,32,needle_interior,2973,10,0.11102803738317757,3.4370093457943924,48054.56212163541,21658.0703125
Qwen3-8B,32,ordinary_passage,1280,10,0.07777777777777778,3.5587301587301585,26514.80238531679,20527.2041015625
Qwen3-8B,35,hard_negative,3073,10,0.11717902350813743,3.061482820976492,219302.53551590655,150875.0625
Qwen3-8B,35,needle_endpoint,100,10,0.24,2.23,127795.09309570312,43811.390625
Qwen3-8B,35,needle_interior,2973,10,0.11102803738317757,3.2672897196261683,406953.73733879393,122721.375
Qwen3-8B,35,ordinary_passage,1280,10,0.09841269841269841,3.053174603174603,216702.43482170106,141357.359375
