model_label,running_index,city,noise_total_rms__count,noise_total_rms__mean,noise_total_rms__std,noise_total_rms__median,noise_orthogonal_rms__count,noise_orthogonal_rms__mean,noise_orthogonal_rms__std,noise_orthogonal_rms__median,count_axis_deviation_abs__count,count_axis_deviation_abs__mean,count_axis_deviation_abs__std,count_axis_deviation_abs__median
Qwen3-8B,7,Macau,1,0.1178022117005473,,0.1178022117005473,1,0.111277960438102,,0.111277960438102,1,2.222703695297241,,2.222703695297241
Qwen3-8B,7,Madrid,4,0.09975091644018957,0.005089478078775849,0.09938593188326394,4,0.09696450172731,0.0063933916071841745,0.0974487626716164,4,1.0284668803215027,0.7158977828351003,0.7368284165859222
Qwen3-8B,7,Manila,2,0.12705182910285845,0.008175506328028586,0.12705182910285845,2,0.12052557852886304,0.011463680634880133,0.12052557852886304,2,1.9413785338401794,0.4940467912375492,1.9413785338401794
Qwen3-8B,7,Mexico City,5,0.12063385126142571,0.0197073127761083,0.1241223061335048,5,0.10793384503621055,0.01201225110770661,0.11094854289284,5,2.734808659553528,1.6777842407208543,3.152531623840332
Qwen3-8B,7,Mumbai,2,0.1206979352613787,0.012639742256850444,0.1206979352613787,2,0.11354002386685966,0.006035928036568437,0.11354002386685966,2,1.8869490325450897,1.260887415734768,1.8869490325450897
Qwen3-8B,7,Nagoya,4,0.12240005627765496,0.03159144543688164,0.12247026198211206,4,0.11478186331320614,0.0259760165505003,0.1135970812581861,4,1.9076518714427948,1.4559997047185342,1.7976071834564207
Qwen3-8B,7,Nanjing,3,0.1212814758264749,0.0028998887987385564,0.1217841150317794,3,0.11587196470397976,0.0037208802383502217,0.1159893060339661,3,1.5608288645744324,0.530834044973293,1.6901822090148926
Qwen3-8B,7,New York,5,0.1018535025025542,0.015449956024535869,0.0998763079384537,5,0.0974679312716092,0.01485798228084636,0.0893976490703999,5,1.2694796323776245,0.9296933950835243,1.346005082130432
Qwen3-8B,7,Osaka,1,0.0838405742004705,,0.0838405742004705,1,0.0805034899277471,,0.0805034899277471,1,1.1759860515594482,,1.1759860515594482
Qwen3-8B,7,Oslo,4,0.11243691106844032,0.031014985106341,0.0979442197683334,4,0.10619667265702928,0.02557970036120274,0.0960816265026976,4,1.7213609963655472,1.4009393675750816,1.2377912998199463
Qwen3-8B,7,Paris,3,0.09868598719618539,0.017375744221479535,0.096951896197073,3,0.09371647286630624,0.01781652185461257,0.0882971096476785,3,1.5631996393203735,0.6158333730976473,1.2081987857818604
Qwen3-8B,7,Phnom Penh,2,0.1262483117107949,0.008665346229924927,0.1262483117107949,2,0.11235826859896075,0.003167047356716624,0.11235826859896075,2,3.4186670780181885,0.8616262315467634,3.4186670780181885
Qwen3-8B,7,Porto,7,0.1032529281938405,0.008105144903283287,0.1025067778125843,7,0.09770591127370996,0.008312286358078121,0.0942366441517525,7,1.546418981892722,0.8276808149310634,1.6906901597976685
Qwen3-8B,7,Prague,2,0.1304848468932493,0.05409265751600344,0.1304848468932493,2,0.12032172518781065,0.040272101772666075,0.12032172518781065,2,2.3715088702738285,3.267979257849404,2.3715088702738285
