model_label,layer,rows_discovery,rows_confirmation,frozen_pc1_variance_fraction,frozen_pc2_variance_fraction,frozen_pc3_variance_fraction,frozen_pc3_total_variance_fraction,trajectory_line_r2,centroid_distance_vs_count_gap_spearman,adjacent_step_pairwise_cosine_mean,adjacent_step_cosine_to_mean_mean,adjacent_step_length_cv,second_difference_over_step_norm,discovery_confirmation_same_step_cosine_mean,discovery_confirmation_same_step_cosine_min,frozen_pc3_ridge_r2,frozen_pc3_ridge_mad,frozen_pc3_nearest_centroid_accuracy,frozen_pc3_nearest_centroid_mad,confirmation_seed_projection_spearman_mean,confirmation_seed_projection_spearman_min,confirmation_adjacent_increment_positive_fraction
Qwen3-8B,0,200,100,0.2257504,0.17988935,0.08893067,0.49457042,0.863458299601372,0.7985164136911203,0.39140983582070604,0.6759634443453441,0.5544798430069767,0.815658764676028,0.33136913207401014,-0.9319104567481131,0.641921999617513,1.3922751271927853,0.3,1.38,0.8266666666666665,0.7575757575757575,0.7222222222222221
Qwen3-8B,1,200,100,0.53259861,0.11545249,0.05834012,0.70639122,0.46042506323964993,0.5806544411176233,0.19795449397685128,0.4986362160544796,1.8305530928330835,1.1166200179408072,0.024140250837092033,-0.7316846529272639,0.44733356451283546,1.8057809564761234,0.29,1.8,0.6581818181818181,0.5030303030303029,0.6333333333333334
Qwen3-8B,2,200,100,0.49534431,0.11672762,0.07122805,0.68329998,0.5128062983072594,0.6281431560197643,0.32838766800750213,0.6113672871069099,1.837825714194797,1.0027120869474375,0.4731258799009279,-0.2597777731909258,0.5550605058232809,1.6661328097205739,0.34,1.73,0.8206060606060606,0.5878787878787878,0.6666666666666667
Qwen3-8B,3,200,100,0.60311246,0.09506627,0.05468607,0.7528648,0.6182004805788925,0.6546515831320394,0.707785118911318,0.8584650422634058,1.669295698804531,0.8333384801877065,0.7205495493977092,0.240988484622434,0.6135240572363485,1.551200385262271,0.38,1.3,0.8290909090909089,0.5878787878787878,0.6666666666666667
Qwen3-8B,4,200,100,0.57635242,0.09894158,0.06274775,0.7380417499999999,0.6617507861977093,0.6391994346645825,0.7123628267789958,0.8595411817312716,1.4289546962509365,0.7036861980394883,0.7454848467978118,-0.21791331234253708,0.6261718767841329,1.545867099686734,0.35,1.49,0.875151515151515,0.6969696969696969,0.7222222222222221
Qwen3-8B,5,200,100,0.61562884,0.07508177,0.05044131,0.74115192,0.648711203075163,0.647924570221638,0.7735899210567361,0.89365239880582,1.4812984328511232,0.6953505539630466,0.7678593540219723,-0.1444768930194557,0.6029728731218653,1.6092729579300498,0.34,1.78,0.8557575757575755,0.6606060606060605,0.7222222222222222
Qwen3-8B,6,200,100,0.63403225,0.07548137,0.04662345,0.75613707,0.6438086046197156,0.637068103841485,0.725373027513105,0.8547432400361149,1.4697816196545284,0.686250004195702,0.7610555784599418,-0.028312533379096456,0.630935530096802,1.5284420693748095,0.37,1.39,0.8763636363636362,0.709090909090909,0.7666666666666667
Qwen3-8B,7,200,100,0.59691477,0.06991515,0.0459463,0.7127762200000001,0.6473386720920224,0.647924570221638,0.7602572739040738,0.8655657204678741,1.4496422920633247,0.6983925062527978,0.7340193690076082,0.004283394344803428,0.6766750036624516,1.4391120690860328,0.34,1.48,0.9551515151515151,0.8909090909090909,0.8111111111111111
Qwen3-8B,8,200,100,0.61732209,0.06501069,0.04240991,0.72474269,0.6332696542107332,0.6481909865745251,0.7606871682961445,0.7866166861292144,1.4382815860159017,0.7136925594062343,0.8173552861913306,0.23341336198791007,0.8372065974906215,0.9221189298200663,0.42,1.08,0.9442424242424241,0.9030303030303028,0.7555555555555556
Qwen3-8B,9,200,100,0.54104108,0.09273502,0.04497619,0.6787522899999999,0.6700619577123725,0.6810268020678709,0.6415618297838579,0.7399250884184454,1.2732248331873945,0.7651614514286026,0.7161866743439094,0.1859760950916276,0.7459158712616654,1.1988153432922573,0.42,1.26,0.9430303030303028,0.8545454545454544,0.8111111111111111
Qwen3-8B,10,200,100,0.56058991,0.08652796,0.04197874,0.68909661,0.6666592495100196,0.6730343114812551,0.750795531449539,0.7819768686175825,1.3038035480686136,0.7437564492119666,0.7806089553870109,0.21741893514125404,0.7454292172461991,1.1818177750150176,0.41,1.26,0.943030303030303,0.8545454545454544,0.7999999999999999
Qwen3-8B,11,200,100,0.54813397,0.09584139,0.04322801,0.68720337,0.6614583764553101,0.6892191049191518,0.731024355730724,0.7491328103386962,1.2965657170088467,0.7225513564392366,0.799295141123978,0.2685695516100963,0.7200112334876201,1.2388886040586746,0.37,1.34,0.9478787878787879,0.8181818181818182,0.8333333333333334
